Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Sinner Man,Trini Lopez,spotify:track:7q0CKuWtZgTwOaNWDGtGVf,0.657,0.656,0,-9.806,1,0.0299,0.228,0,0.162,0.961,134.977,170920,4
Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Sinner Man,Trini Lopez,spotify:track:7q0CKuWtZgTwOaNWDGtGVf,0.657,0.656,0,-9.806,1,0.0299,0.228,0,0.162,0.961,134.977,170920,4,25.87102,7
Wichita Lineman,Glen Campbell,spotify:track:6V9VCm1zOY2lGR80RehJ9i,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,186200,4,34.89142,9
Nothing New (Same Old Thing),Fats Domino,spotify:track:3WgjedKdtPCwsA2qJ3IK0o,0.564,0.383,3,-9.386,1,0.0253,0.833,8.38e-06,0.0506,0.66,100.521,129227,3,19.06846,9
He Touched Me,Barbra Streisand,spotify:track:41nHzM661MpSZ2pVIXdZhB,0.243,0.347,8,-9.947,1,0.0327,0.916,0,0.178,0.201,102.429,189573,4,59.32625,8
Gimme Some Lovin',The Spencer Davis Group,spotify:track:3qCHUm73I3o5F1mDEfibzo,0.598,0.564,0,-6.454,1,0.0319,0.216,0.000204,0.277,0.43,147.62,178840,4,28.14543,8
Have I Stayed Too Long,Sonny & Cher,spotify:track:42Iq20zubSV3Ko3uAnHGRA,0.314,0.537,10,-10.627,1,0.0258,0.0846,0,0.0959,0.215,172.98,225600,4,40.16942,11
"Tonight My Love, Tonight",Paul Anka,spotify:track:0hYEYnKYQt5d0zQdUABH3V,0.545,0.66,4,-7.872,1,0.0304,0.657,0,0.634,0.884,125.069,128067,4,82.92362,4
Eternally,The Chantels,spotify:track:2y5OtQnC1UREBEiVfGxbNp,0.222,0.459,6,-6.538,1,0.0308,0.951,0.000162,0.322,0.236,178.879,165627,3,41.47399,7
Honolulu Lulu,Jan & Dean,spotify:track:5stfCnP5f0oXkCUYRLGMI8,0.512,0.813,3,-12.533,1,0.0444,0.463,0.00143,0.0767,0.9,153.751,133800,4,44.0525,7
Don't Come Knockin',Fats Domino,spotify:track:7rtkJqHIA5i5kcPnMzzBMp,0.417,0.41,10,-12.107,1,0.0369,0.305,0.000423,0.11,0.954,172.378,117493,4,36.11071,6
Back In My Arms Again,The Supremes,spotify:track:2WjW8DjQru6Ic4KvYDqLys,0.696,0.521,0,-11.168,1,0.0273,0.0182,1.47e-05,0.404,0.479,121.215,174307,4,33.36172,10
Fly Me To The Moon,Bobby Womack,spotify:track:5dPEN5o9yJSG7sa4J6qvc6,0.559,0.601,3,-9.528,1,0.0464,0.26,0.0121,0.122,0.604,114.08,126133,4,31.4847,7
Reach Out I'll Be There,Four Tops,spotify:track:6Pkj4nv5K53i64cLVgkVyY,0.607,0.599,3,-8.908,0,0.0282,0.0253,0,0.188,0.735,119.842,178533,4,47.82453,9
Make The World Go Away,Timi Yuro,spotify:track:5ZyV6v7aBOMEY39VbREblS,0.363,0.162,6,-11.84,1,0.0324,0.505,0,0.36,0.396,73.015,158840,4,52.73596,7
Cross My Heart,Billy Stewart,spotify:track:4shFFsEAF1j6RcI42EeNS8,0.552,0.601,2,-8.828,1,0.0272,0.772,0.000375,0.16,0.567,76.831,183907,4,27.75342,12
The Beginning Of Loneliness,Dionne Warwick,spotify:track:0bjpECfdKYtTb277HkYwmg,0.331,0.452,1,-9.405,1,0.0853,0.847,0.000701,0.286,0.558,181.035,204573,4,22.93889,11
Popsicle,Jan & Dean,spotify:track:3pQD6KlZPRM0unU42aPT2r,0.593,0.801,0,-11.158,1,0.0376,0.549,0.133,0.0861,0.966,133.974,155733,4,37.3004,9
Rain Rain Go Away,Bobby Vinton,spotify:track:14Z9qaMDQqlwWyhEzKwhDZ,0.502,0.322,10,-10.245,1,0.0287,0.744,0,0.136,0.563,114.861,176693,4,18.11226,11
When I'm Gone,Brenda Holloway,spotify:track:79T991XVouO4qW6yUIH75z,0.39,0.717,5,-5.723,0,0.0625,0.5,0,0.118,0.63,137.076,128000,4,26.67679,5
Quick Joey Small (Run Joey Run),Kasenetz-Katz Singing Orchestral Circus,spotify:track:1AboGOId6vPiP74HGTQhhC,0.818,0.745,5,-6.052,1,0.0385,0.228,0.0045,0.392,0.961,135.994,143813,4,47.17369,7
Walk On By,Dionne Warwick,spotify:track:3xsOtNxtBW0oTI1OWKAzTm,0.7,0.33,5,-9.027,1,0.0303,0.719,8.6e-05,0.136,0.524,98.605,178333,4,23.06501,11
I Only Want To Be With You,Dusty Springfield,spotify:track:31A3oqQxDLdG9HRx45z62d,0.602,0.684,7,-8.021,1,0.029,0.103,0,0.175,0.961,133.0,158200,4,30.72125,7
Right By My Side,Ricky Nelson,spotify:track:1nzQFyBLVFJla6RBpCnFSI,0.566,0.529,5,-10.095,1,0.0394,0.63,0,0.351,0.792,73.5,158160,4,35.25651,8
Mary Ann Regrets,Burl Ives,spotify:track:1znUI2ZoiRBMoeKuxQUdA7,0.529,0.34,2,-11.12,1,0.05,0.636,1.83e-06,0.328,0.537,85.792,213267,3,27.29035,13
Beechwood 4-5789,The Marvelettes,spotify:track:1vFNrZld2sLrmxwLIO1r1L,0.631,0.67,2,-4.755,1,0.0336,0.68,0,0.167,0.972,138.273,133613,4,50.52414,7
Sha La La,Manfred Mann,spotify:track:4BwiV5u18uJhcPJHFx2QG0,0.36,0.838,5,-4.208,1,0.0395,0.521,0,0.861,0.868,144.78,151693,4,34.32434,10
Can't Seem To Make You Mine,The Seeds,spotify:track:6nnSkEpzo8PmHsOlSopoO6,0.699,0.384,7,-13.691,1,0.044,0.148,0,0.121,0.584,109.573,185481,4,46.99669,11
Pandora's Golden Heebie Jeebies,The Association,spotify:track:2E83gwa3sVF1MgjFSf9nx6,0.49,0.547,3,-11.637,1,0.0359,0.349,0,0.321,0.383,132.162,171133,4,31.11037,8
Pride And Joy,Marvin Gaye,spotify:track:7yvOPcquZRqoIxk14gkaMk,0.622,0.625,3,-8.635,1,0.0562,0.678,0,0.28,0.842,119.397,155267,4,26.46017,10
Dang Me,Roger Miller,spotify:track:20iH1uibQIUqNFk3wzG7AG,0.564,0.378,9,-14.468,1,0.168,0.705,0.000716,0.0723,0.687,197.325,102400,4,55.0001,5
Tears And Roses,Al Martino,spotify:track:40yJppEKT0Yud2RUsXb9tk,0.566,0.224,5,-15.366,1,0.0342,0.833,0,0.292,0.5,115.2,139600,3,50.60841,7
When You Dance,Jay & The Americans,spotify:track:2oHcWtwRY6IEiKHCPrN5Ji,0.518,0.768,7,-7.373,1,0.0493,0.586,4.47e-05,0.0811,0.761,133.927,174040,4,26.42985,11
It Ain't No Use,Major Lance,spotify:track:0wGKdgfF9X8KCdZjfsvNui,0.752,0.51,5,-8.587,0,0.0366,0.877,0,0.373,0.951,119.508,167840,4,24.88254,10
(The Man Who Shot) Liberty Valance,Gene Pitney,spotify:track:2ZHxl0iAc5mwJFX6Y5TvRU,0.602,0.591,1,-8.684,0,0.053,0.739,0,0.175,0.837,88.395,178440,4,26.56873,8
Miss Fine,The New Yorkers,spotify:track:2hQGSyxrGKGlvCNDCFhy9d,0.577,0.874,7,-6.105,1,0.0458,0.753,0.000152,0.111,0.885,140.132,148413,4,44.23655,7
Slip Away,Clarence Carter,spotify:track:7r3Hwig1mvtlVq0ZbJ09Wb,0.784,0.433,1,-9.1,1,0.0376,0.299,0.00016,0.0248,0.917,113.491,153298,4,29.73252,8
