Wrap It Up,Buddy Miles Express,spotify:track:06Tq1RacXsP5IwHEhKvsDR
Angel Of The Morning,Merrilee Rush & The Turnabouts,spotify:track:5VRU4rEmimRYkT2CvOJo05
Magnolia Simms,The Monkees,spotify:track:7fxnVsNzGqXhhB11jCTvkL
What'd I Say - Live,The Astronauts,spotify:track:1oZ9424CxDOn5RRfzI7P2I
Eli's Coming - Single Version,Three Dog Night,spotify:track:5VIydaqMX6oEirV8Te449y
Space Oddity - 2015 Remaster,David Bowie,spotify:track:72Z17vmmeQKAg8bptWvpVG
The Problem,Keith,spotify:track:2EMQJyMnwezExynG5V0Xwv
My Sin Is My Pride,The Astronauts,spotify:track:1WYFj3t8RgnoIoCVk1QyD5
Bubble Gum,Kim Fowley,spotify:track:5FZYtrt8hXV4pLbFtMMJ9b
Love Street,The Doors,spotify:track:5Q2Im8o4RthlAMkvUMYwGj
Urizen,David Axelrod,spotify:track:02bEdJ4ERhPXSTsxtQg3QF
The Valentyne Suite: January's Search / February's Valentyne / The Grass Is Always Greener,Colosseum,spotify:track:2RwKgWYu1sCuL8Xn0YD6CI
I Dig Rock and Roll Music,"Peter, Paul and Mary",spotify:track:6XQZ6hb6ynQafnlSA0JSH4
Down the Line - Live,The Astronauts,spotify:track:7FGICbEBS6oz2LsxIBBzf1
Heroin,The Velvet Underground,spotify:track:5by3w3NXvwDpV9FBSOR35u
The Closing: Earth Anthem - Remastered,The Turtles,spotify:track:1CLMvfTYdAmxVm8rCTmzDS
Purple Haze,Jimi Hendrix,spotify:track:0wJoRiX5K5BxlqZTolB2LD
Hole In My Shoe,Traffic,spotify:track:6Tc4qBeOvqXfnh2eozKuSg
Didn't Want To Have To Do It - Demo Version/Previously Unreleased,The Lovin' Spoonful,spotify:track:0aqjQCY73xP8sakbgFf0Pk
That Old Black Magic,Sammy Davis Jr.,spotify:track:2NtKMgMYHgdb1D6xaVo40C
The Hermit of Misty Mountain - MONO Audio,Ben E. King,spotify:track:2kum8AvoeCzjxiALeq665M
Sweet Blindness,Laura Nyro,spotify:track:6xjO42W2ynahl1uUpJGdSt
Bird In A World Of People,Georgie Fame,spotify:track:2oV4ltcZqw7cLKymNerePm
Just Because,Al Hirt,spotify:track:4SKT7IlAwnw8TYVCMRjYWF
