Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
Funky Junk,Jimmy McGriff,spotify:track:1FeIQ1C2H9IPiBsZWayLyS
Miss Poopie,Jimmy McGriff,spotify:track:7Iv7wOnMrAQWqLgu7em3LU
You Haven't Done Nothin',Stevie Wonder,spotify:track:1inwt0v9a4ib9yS6Y4KsdM
Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s
I Feel for You,Barnaby Bye,spotify:track:1GMZgMN6j44k6VrjJVpt5b
MÃ­rese Adentro,Pappo's Blues,spotify:track:4ihWDpjhU4J21apTg2lqrT
Yesterday (Was So Nice Today),Aquarian Dream,spotify:track:6uUsQRhj6RFAMKb1g7U1iZ
Fire and Rain,James Taylor,spotify:track:3LcYYV9ozePfgYYmXv0P3r
One Toke Over the Line,Brewer & Shipley,spotify:track:5NU6nNizcd38J1xJi1tGXE
"Careful with That Axe, Eugene",Pink Floyd,spotify:track:4nuOpZccSy63SGAVYtKd28
Last Morning,The New Dawn,spotify:track:46tGlNemSsgPzOAibTVzL2
God Save the Queen,Sex Pistols,spotify:track:6ui6l3ZNvlrGQZArwo8195
Take Me,KISS,spotify:track:1LyUU5Uly2WPz5vqAdFT4z
Junkman - 2003 Remastered Version,The Groundhogs,spotify:track:3s9vKvMDHl6YQbjOpg68ZJ
Just I Was Born,Blues Creation,spotify:track:31f6ahf14miyCvHFXVruOV
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,spotify:track:2xSXw1EqGSAKc1e4TPaQvV
"You Left A Long, Long Time Ago",Willie Nelson,spotify:track:2xK5iavzHDqn0US3772gxl
Steamroller,Poobah,spotify:track:1iq9bju7W5oyBmztI5VbKX
Union City Blue - Original Single Version,Blondie,spotify:track:3a3JGuTQNYM3YawGpck7Ql
Isolation - Remastered 2010,John Lennon,spotify:track:3sRQJYlA7P4oIRUwy8Im9r
"Erika, Seq. 1",Roberto Pregadio,spotify:track:73lFtrXAHci7wXHJZrfS6q
Let Your Love Flow,The Bellamy Brothers,spotify:track:064SVQsmWl5EF0zahmzkQk
Lake Isle Of Innersfree,Sir Lord Baltimore,spotify:track:1AwZJ097kTE5XG52vLY1xD
Out on the Tiles - Remaster,Led Zeppelin,spotify:track:6fxcpQMUoX0ofnbIHVnVWN
Me and Bobby McGee,Janis Joplin,spotify:track:1IqFh00G2kvvMm8pRMpehA
Jackdaw,Audience,spotify:track:75AvBXtVHn0LWghKq8Wy1X
Love Me With All Your Heart (Cuando Calienta El Sol),Engelbert Humperdinck,spotify:track:4JLftssaZA9VKwV5bLyaxQ
The Shape I'm In - Remastered 2000,The Band,spotify:track:4Qs8uJL6dhsJJKl2rX8a9F
Winter Always Finds Me,Zephyr,spotify:track:7HWZQ7JvO1Xrxi6Xq4j4AE
Walking in the dark,Stefano Torossi,spotify:track:7c9w5yBbFYBx28JLY0Z8T2
