Fade To Black (Remastered),Metallica,spotify:track:4kBsYpQBUbSIQNLTDF7es2
Sugar Walls - Dance Mix,Sheena Easton,spotify:track:7y8oV3VHkKJu1528DuglIe
Tonight I Celebrate My Love,Peabo Bryson,spotify:track:622nEHkm52E6ijVShcea9f
I Like - Extended Version,Guy,spotify:track:6mGleWaJYyueN6w5foKKUs
Turn Up the Night,Black Sabbath,spotify:track:7HZMWLB2VwXM9G5VMuAyCu
Riding on the Wind,Judas Priest,spotify:track:1ANeAe0lHZK2e5n8nPGbPm
Causing a Commotion,Madonna,spotify:track:3sX3c6QUPSAiKf77RZRf5B
In the Night,Zenobia,spotify:track:4mmno0L22X4QJHxCpKBsgY
Memphis Egypt,Mekons,spotify:track:3QzbdqZd1wxHBse6wAVG0o
I Touch Roses,Book Of Love,spotify:track:54KZBYmE7MUlwxM2bUzSVY
Stand Back,Stevie Nicks,spotify:track:0rGAXICbASwG2i3RLnPvTk
Bullshit,Grace Jones,spotify:track:5PXsnU0bJpPN9XMgr32xgK
What's She Done to Your Mind,The Rain Parade,spotify:track:31F4Bzbvh7qn6LdIpN86DJ
Wherewithal,Clifford T. Ward,spotify:track:1SjkiTrZGsZ17PnDT7a76G
Chance - Single / Extended Version,Big Country,spotify:track:1imc8F8tzSFGYZf8b4cDOY
Winners Takes Nothing,Camouflage,spotify:track:5MycUQN2RzqdqbuSCs8nqf
Blind Hearts,Clan of Xymox,spotify:track:5utCPsh8fsISIMIcRMH0LD
Incense And Peppermints,Strawberry Alarm Clock,spotify:track:20MBLB1TCm3tQK3XZlHXTK
Come On,The Rolling Stones,spotify:track:6zMkgfxtxmaXNqC1LGZ1jJ
E=MC2 - 12 Inch Remix,Big Audio Dynamite,spotify:track:1brKHuTnA2VuMtSdfXCkDI
New Year's Day - USA Remix / Kevorkian Remix / Remastered,U2,spotify:track:05kyIeuX78wVXjJzPRFPVW
The Stroke - Remastered,Billy Squier,spotify:track:52KvuGmgcgRdrLMXOtda0E
Surfing with the Alien,Joe Satriani,spotify:track:2ekfM9Dcslm7l9Lh7HGT0i
Total Recall,The Sound,spotify:track:1ROG1HAOwBbfQsf5Ioyqyt
Burning Down the House - Alternate Version,Talking Heads,spotify:track:6XlwqMbcTRFavOMgdU7ulg
Respectable Street - 2001 Remaster,XTC,spotify:track:7DRVJs5vJtoWiRH5dHHBnk
The Breaking Hands,The Gun Club,spotify:track:0sGbiOI0Osyu3xqwEv9VqZ
Shoo Be Doo Da Dabba Doobee (This Means War),Imagination,spotify:track:3OHPeqwcdzBSPCMuwoMRvd
Way Out - Remastered Version,Steve Arrington's Hall Of Fame,spotify:track:5DZZLV0W4RF3wghLHe1Onf
Hammond Song,The Colourfield,spotify:track:4xWbysBOSrE26ddEwCJGKv
Turbo Lover,Judas Priest,spotify:track:6c0OdfIJ9hn0IsS4JGycQV
Love Is a Shield,Camouflage,spotify:track:1OoFnLri3YXLnA2ip6rojP
Tainted Love,Gloria Jones,spotify:track:3xeG6lCRLD35JcHvcFDB4g
On the Beach,Cliff Richard,spotify:track:28eKJshbYmqsT1KquukLJ3
Give Me Time,Minnie Riperton,spotify:track:5svkVx1yLJ1im7RI66TnUR
Shoot The Moon - Remastered,Patti Austin,spotify:track:5OCvg0KQJPb7zxMCNxKhTH
Kings of Metal,Manowar,spotify:track:28TcG73tbc4iGrGBFjiBnR
Dr. Stein,Helloween,spotify:track:7BK6Un1D8hy7DflNExO8bV
In Little Ways,Let's Active,spotify:track:2w0R4THqHMw3GQeHAiZeOG
Because You're Young - 1999 Remaster,David Bowie,spotify:track:6SkvSA8rTSpotZHUU5dqG9
It's a War - Extended,Kano,spotify:track:0GhBU1fuptdqNhFRlFaBLJ
New Moon on Monday - Dance Mix; 2010 Remaster,Duran Duran,spotify:track:25310LOfvA2HXlTTpBl3SU
I'm Into Something Good,Herman's Hermits,spotify:track:4MD2TR2OF1Ruiaiiy1Rr37
Slow Down,Ozzy Osbourne,spotify:track:2U2P0CJmumja8TVooBdScB
I Wanna Take You There (Now),Gino Soccio,spotify:track:59K3ZR73aBlNdOL23ro2uE
Thinking of You,The Colourfield,spotify:track:1L4Cp6evPrp8bxo487OCJs
I Shot The Sheriff,Eric Clapton,spotify:track:3F4Ps0tGnn3C0mZuvS7rMj
Right On Track,Breakfast Club,spotify:track:3UiuKZWtgXjeAfnfGqIeu0
The Whole of the Moon - 2004 Remaster,The Waterboys,spotify:track:15mZo1Kah03g8CTLbSsWrr
Hip House - Original,Fast Eddie,spotify:track:7eQxMfUWGxOqrYYD6stOtZ
Tonight,Suzy Q,spotify:track:6CTv5qKVvkxsvSRQfC6SjO
Party out of Bounds,The B-52's,spotify:track:7kWu31DOcgoosVElnFZ1OO
"Goldmine - 12"" Version",The Pointer Sisters,spotify:track:31zdqj0OJxXqHiWYVZiz2D
Borderline,Madonna,spotify:track:4SuabhTNPBTBFjfOjhvRNQ
I Love You - Club Mix / Remastered 2005,Yello,spotify:track:2fiRQzLSn97h9Bru7TBf3C
In Love And In Life,Blue Zoo,spotify:track:6ugHDqK9X6wQ6cgmcljkrv
Endicott,Kid Creole And The Coconuts,spotify:track:40ggn7fwCteUvrmbqAOvxR
Life Goes On,The Damned,spotify:track:5fHTdGsnnj0minXaTKAdFV
Love Action (I Believe In Love),The Human League,spotify:track:5RBPXlIiZVrr8hab7LpRJB
Get On Up and Do It Again,Suzy Q,spotify:track:4K0BuTBpAXAzDoTRZIdZ0y
Everywhere That I'm Not,Translator,spotify:track:2cQKqfgGY20e6QXFvN3ezm
