Wasting My Time,Default,spotify:track:5dpAN1mjFPL38kh9kWsCiw
By the Way,Red Hot Chili Peppers,spotify:track:1f2V8U1BiWaC9aJWmpOARe
The Zephyr Song,Red Hot Chili Peppers,spotify:track:1ndGB6rvxKYN9seCYO1dTF
Faster,Third Eye Blind,spotify:track:5dLT6dZ6PMUKWSTGCXGerq
Blinded (When I See You),Third Eye Blind,spotify:track:51qMnEke2HrZJPy45SIh1l
Crystal Baller,Third Eye Blind,spotify:track:2TTmk2xlPcdzQnrTHJQP8G
Misfits,Third Eye Blind,spotify:track:18etuLuReLFAzsn02638Rn
All That's Left,Thrice,spotify:track:6VKP3Aru2I3OXMQX2yaMWX
Stare At The Sun,Thrice,spotify:track:0FXSU5PXzvKl3CpA5h3Hqx
The Artist In The Ambulance,Thrice,spotify:track:0arNrzPygksLY2pEbRgBjw
Sic Transit Gloria ... Glory Fades,Brand New,spotify:track:0pvhEbASPopl8PVOXBvXrr
The Quiet Things That No One Ever Knows,Brand New,spotify:track:7BHTgElwzJFMvIFsp4r3eS
Jesus Christ,Brand New,spotify:track:45hOVoUyaw7BfwqQMKQNCU
Semi-Fiction,The Fall of Troy,spotify:track:3bTySqN09xxdQd80wpF6eW
Oh! The Casino!,The Fall of Troy,spotify:track:1LlzcVcElKnrnCjqokoPke
Sledgehammer,The Fall of Troy,spotify:track:07OyWZYJJ66S4btXXHwQGz
F.C.P.R.E.M.I.X.,The Fall of Troy,spotify:track:4OsLDuaH0bWR6xM6nj66F8
Mouths Like Sidewinder Misssles,The Fall of Troy,spotify:track:0AlCpQIejCPdDNo4TCdVVq
Someday,The Strokes,spotify:track:7hm4HTk9encxT0LYC0J6oI
Last Nite,The Strokes,spotify:track:3SUusuA9jH1v6PVwtYMbdv
Reptilia,The Strokes,spotify:track:57Xjny5yNzAcsxnusKmAfA
Poprocks & Coke,Green Day,spotify:track:5iRIyW4gRUXOzpeMGgu7pC
When I Come Around,Green Day,spotify:track:0mhFWJ1HkT8pTeqdlNRxvA
