Outside Woman,Bloodstone
What's The Name Of This Funk (spider Man),Ramsey Lewis
Hurry Sundown,Outlaws
Lady Blue,Leon Russell
I Just Wanna Stop,Gino Vannelli
I Can't Leave Your Love Alone,Clarence Carter
Corazón,Carole King
Puppy Love,Donny Osmond
Teach Your Children,"Crosby, Stills, Nash & Young"
My Elusive Dreams,Charlie Rich
Born To Run,Bruce Springsteen
Tiny Dancer,Elton John
Make Me Smile,Chicago
Hum A Song (From Your Heart),Lulu with The Dixie Flyers
You're The Man (Part 1),Marvin Gaye
Disco Rufus,Stargard
Come Monday,Jimmy Buffett
Church Street Soul Revival,Tommy James
Rock On,David Essex
Love So Right,Bee Gees
Take Me To The River,Talking Heads
Big Yellow Taxi,Joni Mitchell
Hell On Wheels,Cher
Let Me Go To Him,Dionne Warwick
Worse Comes To Worst,Billy Joel
Stay With Me,Faces
Let This Be A Letter (To My Baby),Jackie Wilson
Dependin' On You,The Doobie Brothers
Too Late,Shoes
Cruel To Be Kind,Nick Lowe
Star Wars Theme/Cantina Band,Meco
Mamacita,The Grass Roots
"Pops, We Love You (A Tribute To Father)","Diana Ross, Marvin Gaye, Smokey Robinson & Stevie Wonder"
Stealin',Uriah Heep
Dueling Tubas,Martin Mull and Orchestra
We Are Neighbors,The Chi-lites
Jim Dandy,Black Oak Arkansas
A Sunday Kind Of Love,Lenny Welch
Pain (Part I),Ohio Players
Living Without You,Manfred Mann's Earth Band
Don't Cost You Nothing,Ashford & Simpson
Let's All Chant,The Michael Zager Band
All I Have To Do Is Dream,Bobbie Gentry & Glen Campbell
Stir It Up,Johnny Nash
Last Kiss,J. Frank Wilson and The Cavaliers
One Man Band,Three Dog Night
Follow Me,Mary Travers
The Morning After,Maureen McGovern
"Try Me, I Know We Can Make It",Donna Summer
Whole Lotta Love,King Curtis & The Kingpins
I Know I'm In Love,Chee-Chee & Peppy
I Knew Jesus (Before He Was A Star),Glen Campbell
Men Of Learning,Vigrass & Osborne
If I Were A Carpenter,Johnny Cash & June Carter
Canned Ham,Norman Greenbaum
Surfin' USA,Leif Garrett
Lonely People,America
Just Seventeen,The Raiders
The Morning Of Our Lives,Arkade
In France They Kiss On Main Street,Joni Mitchell
Just Don't Want To Be Lonely,The Main Ingredient
Space Race,Billy Preston
You Ought To Be Havin' Fun,Tower Of Power
Lady,Styx
We Need Order,The Chi-lites
Dancin' Fool,Frank Zappa
Easy Evil,Travis Wammack
Forever Came Today,Jackson 5
Hey Girl/I Knew You When,Donny Osmond
Moondance,Van Morrison
Maggie,Redbone
What A Fool Believes,The Doobie Brothers
People Gotta Move,Gino Vannelli
Delta Dawn,Tanya Tucker
Lola,The Kinks
Secretary,Betty Wright
I'm On Fire,Jim Gilstrap
Jackie Blue,Ozark Mountain Daredevils
Zing Went The Strings Of My Heart,The Trammps
Before The Next Teardrop Falls,Freddy Fender
Take Me To The Kaptin,Prism
Baby Hold On,The Grass Roots
Heaven Help Us All,Stevie Wonder
Mill Valley,Miss Abrams And The Strawberry Point School Third Grade Class
Alright In The City,Dunn & McCashen
I Love The Nightlife (Disco 'round),Alicia Bridges
Still The Lovin' Is Fun,B.J. Thomas
Listen To The Music,The Doobie Brothers
Shadows In The Moonlight,Anne Murray
Sweets For My Sweet,Tony Orlando
Give It To Me,The Mob
Never Had A Dream Come True,Stevie Wonder
Call Me/Son Of A Preacher Man,Aretha Franklin
Tell The World How I Feel About 'Cha Baby,Harold Melvin And The Blue Notes
High Time We Went/Black-Eyed Blues,Joe Cocker
You Got To Pay The Price,Gloria Taylor
That's The Way God Planned It,Billy Preston
The World Is A Ghetto,War
You Keep Tightening Up On Me,The Box Tops
Olena,Don Nix
Psycho Killer,Talking Heads
Power To The People,John Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band
Baby Won't You Let Me Rock 'N Roll You,Ten Years After
Everything Is Beautiful,Ray Stevens
Sweet Surrender,Bread
We're Free,Beverly Bremers
Goin' Down (On The Road To L.A.),Terry Black & Laurel Ward
Thank You Baby,The Stylistics
My Girl Bill,Jim Stafford
Stoney End,Barbra Streisand
Hey Shirley (This Is Squirrely),Shirley & Squirrely
"Darlin' Darlin' Baby (Sweet, Tender, Love)",The O'Jays
Sad Girl,Carl Graves
(You Got To Walk And) Don't Look Back,Peter Tosh with Mick Jagger
Taxi,Harry Chapin
