Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Paperhouse,CAN,spotify:track:7DkBaBFwV7lOrnhAVxf2UB,0.435,0.892,2,-9.418,1,0.069,0.0309,0.715,0.199,0.381,101.189,448893,3,38.24973,14
Fancy Dancer,Bobbi Humphrey,spotify:track:17gs4SRXnoBiDISkgW7nrp,0.683,0.534,8,-12.737,1,0.0591,0.233,0.0492,0.0771,0.757,129.66,346667,4,56.04957,12
Cities On Flame with Rock and Roll,Blue ÃÂÃÂyster Cult,spotify:track:1VtUpALcsZvnC3pvOdmscb,0.356,0.866,4,-8.529,1,0.0793,0.0632,0.00573,0.137,0.668,177.137,243200,4,41.87523,13
Cries From The Midnight Circus,The Pretty Things,spotify:track:2Q3h3aeAhPBgjLa9u3Kv4j,0.358,0.682,2,-9.123,1,0.0627,0.00536,0.0687,0.104,0.697,175.89,388200,4,42.59677,12
Ivory,Dust,spotify:track:1sM2Dtxa1fWdlioa6v1W1T,0.384,0.916,7,-8.733,1,0.0378,3.06e-06,0.884,0.0856,0.51,110.254,160160,4,27.66993,8
Tzima N'arki,Roedelius,spotify:track:4olfVfpBgBZuNQaBLdhIx8,0.858,0.458,11,-12.958,0,0.0448,0.847,0.597,0.202,0.912,119.867,272773,4,93.72899,13
Hosianna-Mantra,Popol Vuh,spotify:track:2QJHhVo4ETLw7TjYi4wFHY,0.219,0.379,5,-11.937,0,0.0521,0.959,0.472,0.179,0.0606,170.858,611887,5,83.44698,26
It Ain't Easy,Stack Waddy,spotify:track:3Uy25L1M4j3haHkWLAHbtk,0.353,0.81,11,-12.311,0,0.0482,0.0486,0.00094,0.102,0.748,129.857,230387,4,31.59578,9
Never In This World,Barrabas,spotify:track:08pYEZIwD862s87HqGHS5t,0.669,0.527,11,-15.715,0,0.0986,0.544,0.000512,0.107,0.826,98.573,207533,4,51.78255,7
Painted Lady,Willis Alan Ramsey,spotify:track:7hCMdUee5cbSfXSCO5ASez,0.406,0.484,9,-12.419,0,0.042,0.507,0,0.0773,0.569,165.203,186107,4,38.51613,10
Surat Shabda,Deuter,spotify:track:5HfoF3NosqWox5zMwr9NFV,0.617,0.863,11,-18.213,1,0.0739,0.813,0.947,0.86,0.243,128.629,160027,4,29.02684,10
J.L.T.,T2,spotify:track:7mn5Ezb8ikURiIEjVU1de2,0.566,0.265,5,-18.376,1,0.0291,0.597,0.459,0.147,0.349,74.439,349785,4,104.1446,9
Los Libros de la Buena Memoria,Invisible,spotify:track:2Xmngyu2TzYsxnleGTHq1D,0.414,0.216,4,-12.573,0,0.0453,0.355,0,0.286,0.122,168.108,308733,3,51.46145,13
La PÃÂÃÂ¡lida Ciudad,Billy Bond y La Pesada,spotify:track:1fJS3yy7RbUUVKqDv6sdEr,0.541,0.934,2,-6.533,1,0.15,0.562,0.0867,0.372,0.459,113.892,182400,4,94.45664,6
Got That Feeling,Bolder Damn,spotify:track:1ucsPO1KstZLF1c3r9QeLs,0.477,0.726,2,-7.395,0,0.0345,0.0491,0.00642,0.298,0.666,129.708,211480,4,36.15236,9
All Gates Open,CAN,spotify:track:0Vi0ZnIN11Ni2JD4QH2M5i,0.722,0.522,0,-9.482,1,0.0402,0.0203,0.792,0.36,0.655,133.208,497120,4,37.51072,17
Those Days,Headstone,spotify:track:4mEtcaUrvpLSAhI5tPCbEX,0.291,0.741,9,-8.429,0,0.053,0.00288,0.0202,0.0888,0.404,143.728,345400,4,87.55838,14
Streets of Baltimore - 2007 Remaster,Gram Parsons,spotify:track:2PFNJwPprlAGmYyuJeoX0x,0.673,0.508,5,-9.906,1,0.0289,0.418,0,0.0888,0.889,118.959,175640,4,29.92107,12
Sunburst Finish,Utopia,spotify:track:0a2WJFHhX7rQQi6VpkIy7o,0.254,0.786,9,-12.655,0,0.071,0.0194,3.82e-05,0.145,0.472,144.992,451000,4,46.47149,15
Broomstraw Philosophers and Scuppernong Wine,Larry Jon Wilson,spotify:track:3185sSEQgoY1suwLvPhXRa,0.684,0.64,5,-14.104,0,0.035,0.377,0.105,0.114,0.961,82.527,192453,4,27.18363,6
Got to Find Another Way,Alamo,spotify:track:6ROEZBSSQPBs0sdjUeMHZd,0.444,0.866,10,-7.793,1,0.0551,0.00092,0.0518,0.663,0.592,91.185,276333,4,54.20582,11
