Paperhouse,CAN,spotify:track:7DkBaBFwV7lOrnhAVxf2UB
Can I Sleep in Your Arms,Willie Nelson,spotify:track:09L0YbNtphz1xkv1PAOM1f
Him,Rupert Holmes,spotify:track:5rMthFHPxRDi4Uxg06iK6H
Fancy Dancer,Bobbi Humphrey,spotify:track:17gs4SRXnoBiDISkgW7nrp
Cities On Flame with Rock and Roll,Blue ÃÂÃÂyster Cult,spotify:track:1VtUpALcsZvnC3pvOdmscb
Dog & Butterfly,Heart,spotify:track:00r40cNOJTjlNw5cG4ADHf
Cries From The Midnight Circus,The Pretty Things,spotify:track:2Q3h3aeAhPBgjLa9u3Kv4j
Heart of Gold - 2009 Remaster,Neil Young,spotify:track:1Q1b8eVkUPGlpSArl8JAVw
Ivory,Dust,spotify:track:1sM2Dtxa1fWdlioa6v1W1T
Free - 2002 Remaster,Chicago,spotify:track:3bWFEP259MczB9xcw33DTs
Tzima N'arki,Roedelius,spotify:track:4olfVfpBgBZuNQaBLdhIx8
Headline Hustler,10cc,spotify:track:6fOZoB9VrPv1jGvURpQKQi
Bad Company - 2015 Remaster,Bad Company,spotify:track:36vTL8WP4ZoD1bbUaW0V3E
(Your Love Has Lifted Me) Higher And Higher,Rita Coolidge,spotify:track:39iKJpLPhsDTOzH2lXliWF
Electric Funeral - 2013 Remaster,Black Sabbath,spotify:track:7As8h8LJTMIritB8QwSmqr
Hosianna-Mantra,Popol Vuh,spotify:track:2QJHhVo4ETLw7TjYi4wFHY
You Mean to Say,Jessi Colter,spotify:track:5ZvlWVBVHlM208P5GAJmTt
It Ain't Easy,Stack Waddy,spotify:track:3Uy25L1M4j3haHkWLAHbtk
Never In This World,Barrabas,spotify:track:08pYEZIwD862s87HqGHS5t
I Heard It Through The Grapevine,Creedence Clearwater Revival,spotify:track:5rnCU9iGOM2rQZZssa87Cg
Painted Lady,Willis Alan Ramsey,spotify:track:7hCMdUee5cbSfXSCO5ASez
Surat Shabda,Deuter,spotify:track:5HfoF3NosqWox5zMwr9NFV
J.L.T.,T2,spotify:track:7mn5Ezb8ikURiIEjVU1de2
Los Libros de la Buena Memoria,Invisible,spotify:track:2Xmngyu2TzYsxnleGTHq1D
La PÃÂÃÂ¡lida Ciudad,Billy Bond y La Pesada,spotify:track:1fJS3yy7RbUUVKqDv6sdEr
Got That Feeling,Bolder Damn,spotify:track:1ucsPO1KstZLF1c3r9QeLs
All Gates Open,CAN,spotify:track:0Vi0ZnIN11Ni2JD4QH2M5i
Mama Told Me (Not To Come) - Single Version,Three Dog Night,spotify:track:1CAO7hiNOxJRPW4nFv2aRO
Those Days,Headstone,spotify:track:4mEtcaUrvpLSAhI5tPCbEX
Streets of Baltimore - 2007 Remaster,Gram Parsons,spotify:track:2PFNJwPprlAGmYyuJeoX0x
Over to You - 2014 Remaster,Black Sabbath,spotify:track:3fCKNf4xWbPmrtKOvj0LzP
Sunburst Finish,Utopia,spotify:track:0a2WJFHhX7rQQi6VpkIy7o
Broomstraw Philosophers and Scuppernong Wine,Larry Jon Wilson,spotify:track:3185sSEQgoY1suwLvPhXRa
I Love Music,The O'Jays,spotify:track:7IoKA8yRibsK8Ryy4SH2NL
Sister's Coming Home/Down At The Corner Beer Joint,Willie Nelson,spotify:track:2oSKc0WxmFSsHwXx6UVArA
Got to Find Another Way,Alamo,spotify:track:6ROEZBSSQPBs0sdjUeMHZd
You're My Best Friend - Remastered 2011,Queen,spotify:track:4OKf7CcYuw5H2HptkcKxcP
Heroes - 2017 Remaster,David Bowie,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z
"For Emily, Whenever I May Find Her - Live",Simon & Garfunkel,spotify:track:2SywGUSqhArOyQmaj5tOY4
Run And Hide,"Speed, Glue & Shinki",spotify:track:0rfGELJpovFIA7J3NBKThG
An American Dream,Nitty Gritty Dirt Band,spotify:track:4zqFPSBji6hVDBFWxzp6Oz
