HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
Mt. Airy Groove,Pieces Of A Dream,spotify:track:4MAHOtOY1TwYzW2wTZx9BP
Corona,Minutemen,spotify:track:2LUVo82IKIpCuBNSaqF0G8
Ramblin' Man,"Hank Williams, Jr.",spotify:track:1fr4yHDvGB7gOcRGCMFokd
With All My Might,Sparks,spotify:track:6c1ksaCdaa0790s4gWW1Ee
Jardin chinois,Taxi Girl,spotify:track:1vCybJBnCTWSXnev3mOfAx
I Go Crazy,Flesh For Lulu,spotify:track:4nI98GEywAAxoA0i8Vap4s
Empty Garden (Hey Hey Johnny),Elton John,spotify:track:2pbmRBjiVO0afrPVReZiFb
I Love You,Stacey Q,spotify:track:2uIipcTChwwZTFFsx9wiv9
I'm Not the Man I Used to Be,Fine Young Cannibals,spotify:track:0ce4Ru8pHOZKijojglD4JS
Touch of Grey - 2013 Remaster,Grateful Dead,spotify:track:0mJQlCl9YgxW7kyeltNiVk
2000 Light Years from Home,The Danse Society,spotify:track:3b8hEmlGACGbjX2ykvRtCa
For Whom The Bell Tolls,Metallica,spotify:track:4hOohf45f0JtxYKNsEAIOV
Let's Groove,"Earth, Wind & Fire",spotify:track:4ZXxmmsp1Nd7ejbHs2BNBG
Pretty in Pink,The Psychedelic Furs,spotify:track:1K1TFdBh7NrDyKiwiJEmsy
Diggin' up Bones,Randy Travis,spotify:track:6JdbV5DDltMVCyV0twmKwj
Hammerhead,Flotsam & Jetsam,spotify:track:0FCvb6CiwfxdRqZOtgj5yt
Deep in Vogue - Introducing Lourdes & Willie Ninja,Malcolm McLaren,spotify:track:5cuAVhV0nGjImPZXBy9Tvt
Happy House,Siouxsie and the Banshees,spotify:track:0M1CyBWblWSkeh0UdYH8pn
AyÃÂÃÂºdala,Mari Trini,spotify:track:2St6YJUrIwP2hJLYLCrKGP
Waiting for Darkness,Ozzy Osbourne,spotify:track:7hj7j4Ym5NZxiEgSwzTSBY
Blazing Saddles - Remastered 2005,Yello,spotify:track:4ujGUs8FV3TBGnP8yUphGM
Cruisin',Tom Browne,spotify:track:2rwkemG224JESDlewRMuWt
