La La Means I Love You,Booker T. & the M.G.'s,spotify:track:76WFEffyHE6b15sZDF6AcJ
Mr. Bumble,Sunforest,spotify:track:5TJjLoQ5v0mGuYDlo3MxDL
Sette contro tutti 32,Francesco De Masi,spotify:track:4ArNrsAk9kI7LDI6x6G0To
She's Alright,Rainbow Ffolly,spotify:track:2U9cylzpQu6100RE6xnnK8
Tu en Mí,Los Brincos,spotify:track:7CSFQyTeGTLMy6evyjS6bK
Ghetto Funk,Ike Turner & The Kings Of Rhythm,spotify:track:3rUPbKZIqMmGd6AMsA6Ri5
She's Coming Home,The Blues Magoos,spotify:track:2KuUB3XueS4F86tec7iDAA
Eleanor Rigby,Booker T. & the M.G.'s,spotify:track:1bPb1xaBQSzv2GWDqeY3bI
Cajun Baby,Living Voices,spotify:track:0u5XBxnvRSLpKb26jzDJaq
Where Have All The Flowers Gone,Frankie Valli & The Four Seasons,spotify:track:03AE5jnFh4UYlsmd17K24O
Un jour comme un autre,Anna Karina,spotify:track:2nrkDn9GuwJzt73g8l4Dzg
Had To Cry Today,Blind Faith,spotify:track:0iwSCBiqp5WQ6v75lzR31M
Back Stabbin',James Brown & The Famous Flames,spotify:track:3emexacXXsRhOjvvF1XdJU
(I Know) You Don't Love Me - Take 1,Ike Turner & The Kings Of Rhythm,spotify:track:3IXI5ZIzT6nFKF5Ca8M237
This Is An Artistic Statement 1,The Beat Of The Earth,spotify:track:6MrjlEIjaKxXzt2iYJCMT4
The Eagle Never Hunts the Fly,The Bonniwell Music Machine,spotify:track:0gQSkTtzzvISS4aUyS9avj
Bad Eye,Wynder K. Frog,spotify:track:4p3v6GFTMLW0mczMhyWEtM
Silent Night - Album Version 2,Rotary Connection,spotify:track:1Dw8LrlTorYuQ3fRhE7Ykf
"A Woman, a Lover, a Friend",Booker T. & the M.G.'s,spotify:track:1HvSfBuqF7C5QfJonQpKG8
Hot Sand,Shocking Blue,spotify:track:5tXD2O9wWPnWghbrWSltsD
Let's Be Lovers,Tommy James & The Shondells,spotify:track:4uwvBSXmUBxHEofKpY7w7c
"Dear Heart (From the Warner Bros Film ""Dear Heart"")",Anita Kerr Quartet,spotify:track:1R2n4zEUT8CPHqPrPfqca9
Behave Yourself,Booker T. & the M.G.'s,spotify:track:7viT9kDjq8PIx57sRCID0b
Magician in the Mountain,Sunforest,spotify:track:6R30kLBHv3nSE3kL9jNUTz
I Scare Myself,Dan Hicks & His Hot Licks,spotify:track:7xy2GoOSfVtBueoQydlrYA
Rock Salt And Nails,Steve Young,spotify:track:4vuZnHyZvvFTjgrVxXIhNw
It's Really Love,Annette Funicello,spotify:track:5sRvcX9OSj1iRn3WEOTb96
Sara Wells,Stone Circus,spotify:track:3BEk0IJgqsJX2oMWnpeNHu
Death of a Gremme,Dick Dale,spotify:track:2UMaKDvk12sqoewpF3Oetk
Flighty,Dorothy Ashby,spotify:track:3IOksrZYxbalzZTPwnOd7H
Childsong,Friendsound,spotify:track:1Npmt3INKQs0MThei49Jx3
Pick-Up,Tommy James & The Shondells,spotify:track:1zpPx48zDsLmcm6Vh659Ai
