Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
﻿Arrogance Gave Him Up,The Associates,spotify:track:5UAY4pwW1hOdKHRHuNLjiC,0.417,0.943,2,-5.053,1,0.0681,0.025,0.841,0.115,0.756,150.884,183400,4,33.38032,11
No,The Associates,spotify:track:4QA05xs0BaIl9tgZfC0jOD,0.461,0.85,9,-6.339,1,0.0509,0.0128,0.00172,0.408,0.607,82.863,351480,4,51.33164,12
Bap De La Bap,The Associates,spotify:track:686J7iMcc4H70cfnJxg6YV,0.29,0.961,5,-5.317,1,0.217,0.0173,0.396,0.143,0.223,92.96,260040,4,38.63901,12
Gloomy Sunday,The Associates,spotify:track:2Jhiyqjl5UWU2VP1LcJClB,0.616,0.798,2,-6.441,1,0.0311,0.209,7.03e-06,0.112,0.719,109.083,252893,4,47.087,12
Nude Spoons,The Associates,spotify:track:2d5YmCK31SYfTcokhRBeBZ,0.477,0.968,7,-4.863,1,0.14,0.0302,0.0325,0.312,0.616,85.475,263600,4,34.1054,11
Skipping,The Associates,spotify:track:6cVzu3LZMA7CjT4TfuiGfL,0.361,0.885,4,-6.266,0,0.0913,0.00464,0.378,0.134,0.508,137.142,244387,4,53.47268,9
It's Better This Way,The Associates,spotify:track:2pMam8KRmdw4467xFmpuwj,0.35,0.84,5,-7.275,0,0.0638,0.0596,0.119,0.109,0.379,141.535,212587,4,28.08628,7
Party Fears Two,The Associates,spotify:track:6PN5Z4X40NqaM1WwhJGL73,0.597,0.874,7,-6.573,1,0.0665,0.0528,7.93e-05,0.0575,0.58,128.556,335800,4,39.19713,12
Club Country,The Associates,spotify:track:0NCbP9SpjDLcDDSR5L8Jlj,0.606,0.818,0,-7.793,1,0.0773,0.0276,6.42e-06,0.0451,0.497,131.895,339027,4,38.86467,10
Nothinginsomethingparticular,The Associates,spotify:track:2C8if614GGBqjGsL7OFRas,0.714,0.785,5,-7.791,1,0.0527,0.0632,0.012,0.148,0.968,140.962,140867,4,49.39749,5
18 Carat Love Affair,The Associates,spotify:track:0WqvpKi2TLijhQ5uNmKFZa,0.634,0.825,5,-7.021,1,0.12,0.0801,9.43e-06,0.318,0.857,142.739,222533,4,29.6168,11
Love Hangover,The Associates,spotify:track:2OU0qVFy1p8TPg82MX9IaL,0.671,0.798,11,-5.013,0,0.0592,0.132,0.135,0.149,0.885,128.899,371627,4,46.17597,14
Club Country - 12" Version,The Associates,spotify:track:4uL61JEPrJ0CXyxdCFTboB,0.625,0.856,0,-5.835,1,0.0832,0.011,0.00101,0.0629,0.728,131.971,418853,4,31.71457,13
Party Fears Two - Instrumental,The Associates,spotify:track:252bqm9GTOf5eYx6t33MXP,0.636,0.691,7,-8.371,1,0.0284,0.00135,0.681,0.337,0.885,128.413,281973,4,33.60123,13
It's Better This Way - Alternative Version,The Associates,spotify:track:26F5NvKzU5FCROZEzkbOci,0.533,0.631,10,-9.918,1,0.0575,0.0229,0.00295,0.0612,0.364,141.27,221467,4,49.14096,7
And Then I Read a Book - Alternative Version,The Associates,spotify:track:6FIU1bbCX3oHBQLiq8euCb,0.452,0.725,4,-8.083,0,0.0358,0.00257,0.783,0.112,0.525,87.539,228813,4,19.74779,11
Ulcragyceptimol - Alternate Version,The Associates,spotify:track:0M6sWi7dS2gGaQ39SOzwvV,0.368,0.879,9,-6.959,0,0.0988,0.0247,0.0941,0.546,0.494,150.034,273600,4,42.43405,11
Skipping - Alternative Mix,The Associates,spotify:track:4GGJbQodwv3OSc3TKyMlHQ,0.453,0.843,4,-6.685,0,0.101,0.00529,0.00136,0.937,0.485,137.284,229120,4,53.5087,9
Australia - John Leckie Recording,The Associates,spotify:track:0X2nBX28iphY1LUijOMbdS,0.323,0.965,9,-6.537,1,0.153,0.0444,0.617,0.35,0.57,137.83,211267,4,24.71828,10
