Lie of Redemption,Cypecore,spotify:track:3QSbea1lQNex5GxLkQjy8p
Apollo,Magic Man,spotify:track:7nFAVXIBZ6sIjFnSH0SGuk
Arteries of Blacktop,Pelican,spotify:track:3WuBCnAIc4iPlIeD7YXwP2
OutRight,Wild Party,spotify:track:6TGapnqEUkkSBanKyn5qYy
Oklahundt,Solkyri,spotify:track:27yrkm0MNEFZg0viGlEweh
Dreamer,Pray for Sound,spotify:track:1A62mPtvFOoihz4FAeS5Wu
The Wake,Before The Dawn,spotify:track:0SP6H5gkFjlMqWEqQOW0SP
Birth Into Being,Sky Architects,spotify:track:0Lu8dpPEiAuKUlFzlqDj7b
Crush,Pendulum,spotify:track:6hzwfFKrTabeUsW5SWti17
Demons in the Mist,Martyr Defiled,spotify:track:4uOgK9jn7C66cXnmCpvVDF
Monolith,Crossfaith,spotify:track:07aVQz9onBTqTSSYjf2T0T
All I Got,Oliver Tree,spotify:track:6euzJRzwBig3NESMppkxOK
Witnesses of Extinction,Analepsy,spotify:track:2mf9N4TDjalaPMubR3OJyO
Down,Emily King,spotify:track:5cA0vB8c9FMOVDWyJHgf26
Ligament,MÃÂÃÂL,spotify:track:1t7KSzH8dYk3Qk5f9LXIOa
Solid (feat. Babyface),Ty Dolla $ign,spotify:track:5BtwZ441YUmUFzNDItE5nI
The Glass Shelter and the View,Seas of Years,spotify:track:4L7mzRyYthBtcMfA6z4usC
Body And Blood,Ghost,spotify:track:5KzhRYHByOohaggemV04Lr
Blue Day for Croatoa,Rosetta,spotify:track:2T74t9PzwNuCmnfCP1RuWs
Kick Me,Sleeping With Sirens,spotify:track:5LfFjqx9c83BMXrJVfYT0Y
A Gallant Gentleman,We Lost The Sea,spotify:track:7MZM9KhwGQG8QJ4BycsnQn
Mood,Bobby Earth,spotify:track:0gpomUszUxGyfE6WKMINPL
Nail,Omnium Gatherum,spotify:track:2WXMUyDBGlXwoUVn4Kzsdu
Night & Day,Ranges,spotify:track:6bJHsaRlOZZhLunAA22qZ0
Disappear Here,Bad Suns,spotify:track:1cWD3SRnt48gFWzqTC3pWM
Majesty and Silence,Omnium Gatherum,spotify:track:7AmGX0C4mOg6zkyySU7d25
LUZ DELITO,WOS,spotify:track:13VEtVCYfLTVsq5STs3SlW
Sunset,Until Sunrise,spotify:track:1HtvXEjbh3ivPQnXZ6t60B
Sleeper,Pray for Sound,spotify:track:6BaIyArPOHgL2tvLFJ2mws
A Very Fond Poster Girl for Tatmadaw,MaÃÂÃÂ¯ak,spotify:track:0c8tYSJQnddUVQiRMgNlSf
Covered Landscapes,Windsor Airlift,spotify:track:1gm76CBXwvh6p2WKX8DCjH
In the Dark,D-A-L,spotify:track:0HRlnuqTYoQXuK7V7IkU8Y
Rabid,Cannibal Corpse,spotify:track:2V2ypDfO6zxqqgOEEWBXEB
Pamela,Tom Tripp,spotify:track:3NWHoD3H1s4PK7HuFsLr5l
Collapsing Words,Insomnium,spotify:track:4GAcJFqairkub5v96kQV5o
Digital Bath,Deftones,spotify:track:1VYh86zx47yaVgGU1YAFQI
Firebrand,FOREBODE,spotify:track:0Pbjqs69cSEQfSbJyKaOE7
Mascara,Jazmine Sullivan,spotify:track:1EIdwrjUNFB2qoKj033ABC
Dark Horse - Rock,Our Last Night,spotify:track:59Bh54xKNPQRmSxUuysmaH
Meine Kneipe,Von Wegen Lisbeth,spotify:track:5NBCRuSpMGY5ckTP6TfWDQ
Untouched Walls,Anomalie,spotify:track:5ZxxZgb3f0gJsvJs3ClFu2
Song Of The Sage,Amorphis,spotify:track:0knUeRMVd1YnTwVQNkI4G9
The Weigh Down,The Amity Affliction,spotify:track:63wYoblqcJImFMIIscrkPT
arrival,slenderbodies,spotify:track:0X6ngx7N5GdF1qlILkljen
Black Cat,Mayday Parade,spotify:track:2U6473fd0HcUyzTpWfBhZV
A Trophy of Corporate Disfigurement,Acrania,spotify:track:6zatdpaYWgskcTgl7unT0T
Frozen Feet,The Republic of Wolves,spotify:track:4rHnvmjhSwgNyD3lWElIHx
Progenitor,Mechina,spotify:track:26MRU4mHClE0h96RMMwtXQ
I Came to Party,Deuce,spotify:track:370CVdnNKT1AwL417gByZA
The Myth of Sanity,Dark Sermon,spotify:track:4kYKdU5ki6ZRur6tTVoVmK
The Other Son,Mouth Of The Architect,spotify:track:6FmKiJoNblfrbuktM8zlj2
Some Of Us Are Meant To Disappear,We Were Black Clouds,spotify:track:2D3FdDCBwQLGp5KThatGmD
Street Fight,Smallpools,spotify:track:0hxy93CbIX7Hd5WXaVjx5R
The Tellurian Pathos,Mechina,spotify:track:2jNwAcNhsIW5sjtojbBANf
MANTRA,Bring Me The Horizon,spotify:track:7dRj3sTBYkNbEx5kdNHriv
Birth of Violence,Chelsea Wolfe,spotify:track:4KhSU61Da0WGy4yUfuNq0h
Amongst Vermin,Ingested,spotify:track:4PlZKj1MnpQIMUTdCSvZ6f
Our Fallen Ideals,KREHATED,spotify:track:52vUjupHJeGrTNp2Q0IbFz
Not My Funeral,Children Of Bodom,spotify:track:0FP2frD9oUqsdYpefdntnN
Kadath,Ultar,spotify:track:7vWjR4sIvy8lTJJw9rTWwr
Old Souls,Callisto,spotify:track:5AgS1HfnjU0VX3Ud3X0ftH
Forever And A Day,Adept,spotify:track:5QZoiGF0welJNmR1j6ZfQA
Backbone,Callisto,spotify:track:7nB94Txlg8zOkseR3OvqDE
The Metatron,Light Bearer,spotify:track:37fTApo7KtR7VEtY4NJoCp
The Anthem,Good Charlotte,spotify:track:63t9x6MyYnZ9tYprnk6cty
This Could Be Us but You Playing (feat. Elijah Blake),DeStorm Power,spotify:track:3DrUHTCZbGPuDedIbqsz2G
