Brown Paper Sack,The Gentrys,spotify:track:2MUmxGWK06HQtnCklHgOio
Fixing A Hole - Speech And Take 3,The Beatles,spotify:track:1RFpFW3Nz67JX5Obt7MlLm
Circles - Stereo Version,The Who,spotify:track:5DwxcSfYLERsRfPqM2eQpB
Like A Rolling Stone (Mono),The Turtles,spotify:track:52PmJYTBYMUZkCWpy9M98z
I Want a Little Sugar In My Bowl,Nina Simone,spotify:track:3NcJu9876GBJuNU6vJOrbb
Wait Until Tomorrow,Jimi Hendrix,spotify:track:2YtVzmZzew1ILUdNueyWd7
Eli's Coming - Single Version,Three Dog Night,spotify:track:5VIydaqMX6oEirV8Te449y
Eighteen Is over the Hill,The West Coast Pop Art Experimental Band,spotify:track:2hHI4KanprSsWQz6DBbwZz
A Taste Of Honey,Barbra Streisand,spotify:track:1AOTeGTveXdUJrluqgovn0
It Was A Very Good Year (Mono),The Turtles,spotify:track:6EUCPXNW5RRzEEv7EbnZjO
You Need Loving,Small Faces,spotify:track:2VCzyqtK2zwbz7LQnMACi3
The Poster,The Monkees,spotify:track:3uVuD7WdoniYq5bT2kCxPa
(Sock It To Me) Harper Valley P.T.A.,Gene Harris & The Three Sounds,spotify:track:5BPUYPGdU77zn6WXsb5ZMh
I Just Don't Know,Banchee,spotify:track:2mxmuaYZVV4BRPsepnDBgK
96 Tears,? & The Mysterians,spotify:track:4PEeZ2U4UfP2Jo8EtIOjus
Watch Your Step,Floating Bridge,spotify:track:36BR32bm7TtA1eueLvA15m
(Dance With The) Guitar Man,Duane Eddy,spotify:track:207cqolTfI0vGLW6QrGfFa
Hallucinations (April),Hal Blaine,spotify:track:0QQuyKhph4U3uacfixSRKA
Sunny Girlfriend - Acoustic Remix of Master Vocal,The Monkees,spotify:track:3hAJjiyUCBwOnFIqt26JJx
By The Time I Get To Phoenix - Remastered 2001,Glen Campbell,spotify:track:1tZKsxgKebVQX9s6oiojG9
Venus,Shocking Blue,spotify:track:6yOyoTxw7tUOdyuRQVTn5k
Let's Spend the Night Together,The Uniques,spotify:track:2b8zOMHvg85TxI8BUNAEJu
Randy Scouse Git [Alternate Version] (2007 Remastered),The Monkees,spotify:track:4vwX2mdmtQKPJdFRyEzrrW
Shallow Impressions,Strawberry Alarm Clock,spotify:track:2IkAbJtlu39wx3yX1PDIWc
House of Pain - Remastered,The Turtles,spotify:track:1fQhIjwj7sJ5EnuXfnhqnM
Yesterday's New Song,The Apple Pie Motherhood Band,spotify:track:5LDsnAwAUhVXNhDmMEuC9W
Lazerander Filchy,49th Parallel,spotify:track:02WXQrZvWZx46WuribAeOi
Over The Rainbow - Live At Carnegie Hall/1961,Judy Garland,spotify:track:5Ko87OlLUgSM9U8Jc4dKl0
Someone's Coming - Incl. Radio London 'Weather Word' Jingle,The Who,spotify:track:2tfxFI1S8fxdIZWTGxvaQx
These Days,Nico,spotify:track:3uCkIqD0VzQUijbs8WIizs
Susie Q,The Rolling Stones,spotify:track:0KRJseIReGG7LyaWMi0dHJ
On Your Own Again,Scott Walker,spotify:track:3EfSO1aKk4QDOrZhGjnTlq
Confusion,The Tangerine Zoo,spotify:track:0FdLxMJeXiVpMPbR5pNwBH
Eleanor Rigby,Joan Baez,spotify:track:11g7tN5EprSCIwASIN6Jxn
"Long, Long, Long - Remastered 2009",The Beatles,spotify:track:40d2EcaOOCUjDzzo2YvUWn
You Won't Be Sorry,The Sacred Mushrooms,spotify:track:7IopL8pZsfADUQzXB92px5
"Hello L.A., Bye-Bye Birmingham",Blue Cheer,spotify:track:6KNrLyXyg5jl515gssiaVq
(Every Night Is) Date Night In Hawaii,Annette Funicello,spotify:track:6DkbKeTUSM9gp0SUMJ1ZYt
Trip Maker,The Fire Escape,spotify:track:0vy0v6PKaSRjKXEFsmmUfE
Eliza,The Motions,spotify:track:2esHSt5RPDuhWMzLLHcXZi
Jamie's Song,The Deviants,spotify:track:1VI8aB9rrzLw7eLrNcDZjH
The Girl Next Door Went A'Walking,Elvis Presley,spotify:track:4zRZfRxsvUIOETGCvkkboc
The Very Thought Of You,Nancy Wilson,spotify:track:1Ov2QxMauYfb0YUahrGqxe
Strawberries Mean Love,Strawberry Alarm Clock,spotify:track:6Xy8TDrsvUt9AmZEdcg2yl
Love Is Blue,Marty Robbins,spotify:track:1X3QZcv5bSyuibFazrif9u
I Don't Wanna Be Free - Stereo Version,The Sorrows,spotify:track:61QTIPetSfwh9uiHTDMl5o
Hey Girl - French EP Version,Small Faces,spotify:track:3HwcZmgNYzzOwZeBbTs6Bx
You're My World (Il Mio Mondo) - Alternate Take,Cilla Black,spotify:track:0CW6cZFJ9RWNK4CUXY1i5y
No Matter Where You Run,The Motions,spotify:track:2vkbxRlsWuvqZcEmc3UwBm
Out In The Street - Mono Version,The Who,spotify:track:2uuNL2c9zofbiYqLpRlRMT
No Time - Mono Master,The Monkees,spotify:track:3ielPwxP8XALNC3eWSW6JL
Sherry,Frankie Valli & The Four Seasons,spotify:track:7sqK6f8dHVx3Q1GjFrVyGl
No Particular Place To Go,Chuck Berry,spotify:track:3EdqjSDHNVOEgo6XYqxwPh
Mother Nature's Son - Remastered 2009,The Beatles,spotify:track:6TjUg1cTUzWHbal6yQAi7c
While My Guitar Gently Weeps - Remastered 2009,The Beatles,spotify:track:389QX9Q1eUOEZ19vtzzI9O
But I Do,The Walker Brothers,spotify:track:0XB3ilIma1kRDlhjEDTCmZ
Giant Sunhorse,The Electric Prunes,spotify:track:6Q984xBXpuOvReppFrK5BC
Yesterday - Remastered,The Beatles,spotify:track:1e0hllQ23AG0QGFgezgLOq
Slow Twistin',Chubby Checker,spotify:track:6Ie2IgHpf1Pgdo5swugul3
No Reply - Remastered 2009,The Beatles,spotify:track:4ltC6PrqkTtpcRNi5lvS4z
Angel Of The Morning,Merrilee Rush & The Turnabouts,spotify:track:5VRU4rEmimRYkT2CvOJo05
In the Ghetto,Dolly Parton,spotify:track:6GZ6O0bHsDndSAmqnxXMjn
Ticket To Ride - Remastered,The Beatles,spotify:track:2zO5cQdHLBOPlnQqWeNCFM
Rescue Me,Fontella Bass,spotify:track:1UE2mIj6uy9Tip2cvQx5xu
Chicken Little Was Right (Single Version) - Remastered,The Turtles,spotify:track:32bVdYp2yixE0tvQCjsqpA
Super Heep,Elephants Memory,spotify:track:4Zp5JAKEMs3arrggOdJLVT
Hoochie Coochie Man,Steppenwolf,spotify:track:3XEiDurjDQL0WF7SwqR4qt
Little Sister,Nico,spotify:track:0UEbWXCmAOVR45mmaGykFh
Money - Live,The Astronauts,spotify:track:3ZaxFtAKZJ1AO9EthQ5xUE
Shout And Shimmy - Stereo Version,The Who,spotify:track:3raZ6a3lILTM5DmZbXNcw2
"Oh, How To Do Now",The Monks,spotify:track:2ydpy4Ub6xclV2BsDxO7S9
Oh Lord Don't Let Them Drop That Atomic Bomb on Me - Alternate Version,Charles Mingus,spotify:track:1RUBO1juxaQoIZuycVFpHZ
Ain't Too Proud To Beg,The Temptations,spotify:track:47Hl7stDTmTWF8DgL99B0F
Cloudy,Simon & Garfunkel,spotify:track:0tlHYuvXEyYYyJDNTkIntf
(They Long To Be) Close To You,Dusty Springfield,spotify:track:4O2HaPlwUgjOwFnGtweiGy
Get Me to the World on Time,The Electric Prunes,spotify:track:7aRVxvubodRSjp875ZBYNC
Tema de Batman,Celio Balona,spotify:track:6cRFYvuEKnsLJt5A3OLlZ2
She Said Yeah - Remastered 2002,The Rolling Stones,spotify:track:5UQ5EV4TZAyvcpoWLYKUAG
Too Young To Be One,The Turtles,spotify:track:75YIHVG1rBkiIsPSbIDj6O
Happy Jack - Acoustic Mono Version,The Who,spotify:track:0CFB9QlwL7SzQ8tSWp83eh
Grow Your Own - Alternate Mix (Electronically Processed Stereo),Small Faces,spotify:track:7a6Nui4Pgdq8LDYNV20flA
Walls Of Respect,Gene Harris & The Three Sounds,spotify:track:458lzpligTeAUth8OMiLKk
Rock And Roll Music - Remastered,The Beatles,spotify:track:1Bx4cgnLSOTS5heoB2sIrb
Johnny B. Goode,The Astronauts,spotify:track:21ra74ZfdrlcunhGV5yxyZ
Turned On - Mono,The Deep,spotify:track:49wcuOCETCn7choQNbnIob
Bellyful Of Rock,Writing On The Wall,spotify:track:6BOGuT878ApLnCPkFPWo37
Groovin' - Single Version,The Young Rascals,spotify:track:3UB6yOPeImCCUuQzaggho1
As Children We Grew,The Who,spotify:track:1f7krRmYKdoKUmvaPtxDtT
I've Been Loving You Too Long,Otis Redding,spotify:track:4pdLyulbYLCrPmDzWWeJIZ
You Only Live Twice (Main Title),Nancy Sinatra,spotify:track:68qxZGCBmN5HY4gmK0iURW
Try Me on for Size,The Electric Prunes,spotify:track:4CpQ7XNjUOwgK9y4mDZfcg
Gimme Some,June Christy,spotify:track:4ixcneM5CwTduImvFJCrUN
Soul Woman,Big John Patton,spotify:track:29Npt8NkHyFDIEBNrF3i8A
"Monday, Monday - Single Version",The Mamas & The Papas,spotify:track:3EFb1qDgIqf9MegIryKtDj
