Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Come As You Are,Nirvana,spotify:track:7aCSKL5LmVhakVs0l483B5
Brushed,Paul Weller,spotify:track:0wGXPqkEPIhTyruuLwxxcu
"I'm Not Gonna Let You - ""12"" Extended Version""",Colonel Abrams,spotify:track:51uTbPmQnApLyfnfn0bpC7
Yawning Or Snarling,The Tragically Hip,spotify:track:5V007ZngPXilx7O843R9FU
Crazy over You,112,spotify:track:1ccgfX1rFVEzJqdA54jUyY
Love Is Gonna Be On Your Side,Firefly,spotify:track:1yPAPyNFvqXhAaDYbucVq5
Trains and Boats and Planes,Billy J. Kramer,spotify:track:2m4Pj6wQvhiBITHzjYZpsh
This Is How We Do It,Montell Jordan,spotify:track:1yRBHnXfl6wjCnM6dYRXq0
She's A Beauty,The Tubes,spotify:track:6lnP51cMlqpZ8bwmyVlgvG
Love Child,Diana Ross & The Supremes,spotify:track:0pOpAQ7568dzOsuwbcc7Bv
Leapfrog,Black Train Jack,spotify:track:57HmhpjDaw0pqfZTE4lfO0
Born To Be Wild,Steppenwolf,spotify:track:1nzcKrYRTWZJEwWzyAU8XM
Lay It on Me,Sylvia,spotify:track:1t8plCno96bBSbmm8j4Ya4
Here In Your Bedroom,Goldfinger,spotify:track:7MH63filSWHfjwMlQrlQQG
Beautiful Life,Ace of Base,spotify:track:74jTexO94dFGyXGyeu8krd
Motorcycle Drive By,Third Eye Blind,spotify:track:47wtXjG0Sk6DI6cjkRBcEg
Bernadette,Four Tops,spotify:track:4j7Ehav8SUUgSePBptGxTi
Drain You,Nirvana,spotify:track:5Ddlk6C2JVxb1SReZ6O1wk
Blue (Da Ba Dee),Eiffel 65,spotify:track:5FgtdSf7I5lClThz2ptWvl
Jesus Built My Hotrod,Ministry,spotify:track:0BX3ysoHJvxmLEhPMAfb2z
Then Comes Dudley,The Jesus Lizard,spotify:track:3SqwJSZ2AGgSuTUqicyXvJ
Body Farm,Gruntruck,spotify:track:2m3EknEb1F5YDFs857jfQ5
Low Down Freedom,Billy Joe Shaver,spotify:track:3jgF8bA8FQgzU1SmG10LY3
Good Morning Britain,Aztec Camera,spotify:track:0IVMSJTtLbhJEjnOVlbOYD
Playing for Time,Madleen Kane,spotify:track:2VzDr4U6uai6zZRuWN1hdv
Streets Of London,Ralph McTell,spotify:track:0VJWCHCcpwW26SpP2xXJzX
Ever Fallen in Love (With Someone You Shouldn't've)?,Buzzcocks,spotify:track:6xVq4SrxJHWLLKq91ZeCqm
Military Drums - Extended Version,Hubert Kah,spotify:track:1HKttfRzitgNV1S9a87b9X
Lo spazio inverso,Salvatore Sciarrino,spotify:track:32T3n9jYxsHqETW4SR96Zh
Nice 'n' Easy,Nancy Sinatra,spotify:track:1dpEW7x07eW0xj2cOz6ZBG
Iris,The Goo Goo Dolls,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs
Prophecy,Remy Zero,spotify:track:0fzovxafYWarpORGp5hGrp
Person to Person,Screamin' Jay Hawkins,spotify:track:5HJwsZ5gaiIEHMc9nivwtE
Fading Away,The Church,spotify:track:7gBzFUWmFDffjLNbgTpgGD
California,Wax,spotify:track:0Oi2D0vVXlCxaRhWa8AZEZ
Sexomatic,The Bar-Kays,spotify:track:2I1TOol6zDsfbBPcU0bsvV
Monster Side,Addict,spotify:track:1Djt22Ts5uyrItiDSTxDCp
Stop,The Eric Burdon Band,spotify:track:5nQKAOaa0W8Sd8rYLeZ7U7
Santeria,Sublime,spotify:track:6cJqlSO19vsfCsH1FeFI35
I Only Want To Be With You,Dusty Springfield,spotify:track:22O0VTGMYSMWHhQsZPEYoR
If I Had A Gun,The Dead Milkmen,spotify:track:3NuX9Z4qw6pjX9Nz6xxMJ5
Peace In The Valley,Sam Cooke,spotify:track:0dt77CzU2tlKwUR5hlC99X
"Sittin' Duck - Live At The It Club, Los Angeles/1970",Gene Harris & The Three Sounds,spotify:track:5x43kWZD8nkHXgofnCEimx
How Bizarre,OMC,spotify:track:0wJyFu6JHwUoKQN5X3uzVe
Heart-Shaped Box,Nirvana,spotify:track:6xofu37U6SfpzvL2VQK26s
Avignon,The Orchids,spotify:track:2iAOy9y99uUCp7RuwcW981
Hold Me Now,Thompson Twins,spotify:track:2L4t22pGXu9Icp6L7PHd14
Apocalipsis,Vox Dei,spotify:track:38RWYxYrnsFXI6IKh5Mnag
Corcovado,Grant Green,spotify:track:29SHmbd576uwpUeSpf8iwX
You Get What You Give,New Radicals,spotify:track:32lF1rsInDTdK6Av3KdfaY
Jimmy Mack,Martha Reeves & The Vandellas,spotify:track:5PVhe4ZseeCW8icDTbIcQJ
Roadrunner,The Animals,spotify:track:2yIJ513gZXUTUXc0C1Bpwv
Time Won't Let Me,The Outsiders,spotify:track:7i4rIZqwNg4wtmYO6SDKru
Crush On You,The Jets,spotify:track:2sYLlZU3FuCF8SKNeIvdKA
"Which Way You Goin', Billy?",The Poppy Family,spotify:track:0nF1CUagIOVyn5pIzf4PGr
Black Hole Sun,Soundgarden,spotify:track:2EoOZnxNgtmZaD8uUmz2nD
Rasputin,Boney M.,spotify:track:5lWSa1rmuSL6OBPOnkAqoa
Scream,Dr. Lonnie Smith,spotify:track:2hsMi0fYcgrni4tbVjsHN2
In The Still of the Night,The Five Satins,spotify:track:0GVvRmCoiLkhxJvlZy9bLk
Napiers,The Wrens,spotify:track:0UNtZUbrpysLZLa1DuIgSS
Who Knows Where The Time Goes?,Fairport Convention,spotify:track:1kxtStKyjUkbPqMZXh5i4q
"You're Sixteen, You're Beautiful (And You're Mine)",Johnny Burnette,spotify:track:5V27UQOURZROSg3UCoHOGe
Don't Stop The Feeling,Roy Ayers,spotify:track:3ZDW6AElGDqEchxoMvFwQ4
It's A Miracle / Miss Me Blind,Culture Club,spotify:track:2vexD4fGrQ2VI6mqogjjnD
It's Hard to Be an Egg,Eggs,spotify:track:2Q82LtKsyKBC9wE4PY4Qnq
"Funky Pullett - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:2bZE4AfbPLP3GzyEqfE8wc
The Sky Children,Kaleidoscope,spotify:track:24aq7KBvgKsiEaj2swDxM9
Soon,My Bloody Valentine,spotify:track:7ITRNB9OckYIp2SW2iXU8U
Leaving Here,The Birds,spotify:track:0TFyg4FayvGn9DyOMTsbcm
