About A Girl - Remastered,Nirvana,spotify:track:0zeqKbySjKbfW5jyl3PMsW
Negative Creep - Remastered,Nirvana,spotify:track:0xdiLQkal65DtxcIqpIxxb
Head Like a Hole,Nine Inch Nails,spotify:track:60ig0jG8TkhAwfDRUbP6Eo
Terrible Lie,Nine Inch Nails,spotify:track:3j5zpC6RXof7uKb9l9JApn
Down In It,Nine Inch Nails,spotify:track:2P5ysrk3SjKtxTBZZMEziR
Jane Says,Jane's Addiction,spotify:track:5QEt3kRZdl6Bj6h5IVIOfi
Had a Dad,Jane's Addiction,spotify:track:3HVS01vPf5NMGS7ACAyEXv
Mountain Song,Jane's Addiction,spotify:track:5fKZJHzJ9d3MADArbm9muW
Where Is My Mind?,Pixies,spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1
Here Comes Your Man,Pixies,spotify:track:0cs671lxX2eoDzr2KMuo3N
Girls,Beastie Boys,spotify:track:5h40ovzXu7rF7Giwb9oXYy
Brass Monkey,Beastie Boys,spotify:track:2tY1gxCKslfXLFpFofYmJQ
Hey Ladies,Beastie Boys,spotify:track:1X3U53BiZuDRTzz3XCQZnR
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,spotify:track:2oSpQ7QtIKTNFfA08Cy0ku
Runaway Train,Soul Asylum,spotify:track:3Ib3SJV8ZXuLvDiDb2w1As
Misery,Soul Asylum,spotify:track:5kKaNe8f5rR8cA3WE7Ol5N
Walking On Sunshine,Katrina & The Waves,spotify:track:05wIrZSwuaVWhcv5FfqeH0
Saved By Zero,The Fixx,spotify:track:1wD9NQhbVVLrDjUKvfgKbX
Away,The Bolshoi,spotify:track:2GRL794l2R1SFJc3Z0pIlr
"Believe It or Not (Theme from ""Greatest American Hero"")",Joey Scarbury,spotify:track:375ntCG12wzCyfzclwYFwG
Sweetheart,Franke & The Knockouts,spotify:track:5lHCW9ULjtgmgB1LmLBfCy
I.G.Y.,Donald Fagen,spotify:track:6bzwsAtj4TqaBysLDrGiO3
Big In Japan - Original,Alphaville,spotify:track:1KtMazpCseJ2TjKPas4d7h
Perfect Way,Scritti Politti,spotify:track:3WrOAryvCUOVsm8P8O2DoE
Sausalito Summernight,Diesel,spotify:track:2HOQhOWfkg4oFHNY1LD7lf
You Don't Want Me Anymore,Steel Breeze,spotify:track:0CzCmJ1gQO25qqSLlkf1ut
Girls With Guns,Tommy Shaw,spotify:track:7FfFE8UP7TcLopiCwUHg6E
Break My Stride,Matthew Wilder,spotify:track:1mCsF9Tw4AkIZOjvZbZZdT
Two of Hearts,Stacey Q,spotify:track:2dURQIBrw3XcHyVZlfdpC1
Edge Of A Broken Heart,Vixen,spotify:track:2mEk0VdrbDJ11DBC6Y92mh
Heartbeat,Don Johnson,spotify:track:01xc0Rvv19F2p2wno0KUF4
Welcome To The Boomtown,David & David,spotify:track:77btuAAez622DcWAqhL2kA
Right On Track,Breakfast Club,spotify:track:3UiuKZWtgXjeAfnfGqIeu0
Catch Me (I'm Falling),Pretty Poison,spotify:track:2MQ23MqDI0N9IVy8iaZddc
Paradise,Change,spotify:track:56nRvG4Te0dtmgxnhJBVm7
Trouble,Lindsey Buckingham,spotify:track:04ijIUVdT4Qy1SBWFUPROY
The Sign Of Fire,The Fixx,spotify:track:0yzAjMhKNNUWTPYn1zKRDl
Saved By Zero - Extended Version,The Fixx,spotify:track:7DWl93b607yLOea4gStTok
New Girl Now,Honeymoon Suite,spotify:track:1grnSNpTAe14gjtqfArZan
