I Fall In Love Too Easily - Vocal Version,Chet Baker,spotify:track:0F845nujLVqCb0XMZCh5Pc
Billy The Kid,Marty Robbins,spotify:track:7tnoflnylUKY7P7WKGj4n2
Sevmek İstiyorum,Grup M. Şanlıel,spotify:track:6v4gmF6ZfLKOjwwi08YLZL
Страсть к курению,Buerak,spotify:track:40JOYvbmO9FbyCVh2otyea
I Get Along Without You Very Well (Except Sometimes),Chet Baker,spotify:track:4gFlHAye7To29Fs4UszQUH
Time After Time - Vocal Version,Chet Baker,spotify:track:4m6OC8u2rC6LMFtFWsME7d
파도 The Wave,Se So Neon,spotify:track:1xPuirimusKDj7pO9sbIOH
Dream A Little Dream Of Me - Single Version,Ella Fitzgerald,spotify:track:78MI7mu1LV1k4IA2HzKmHe
My Jinji,落日飛車 Sunset Rollercoaster,spotify:track:1b2ReMGta2fe6lEMpvU6eB
ザ・ワード II,セキトオ・シゲオ,spotify:track:3OCxOUUH3FUf8xk0RuWADJ
Evil (Is Going On),Howlin' Wolf,spotify:track:1GlapUfSiDQvj5RhXE3V2U
How Many More Years,Howlin' Wolf,spotify:track:0jfb9tqTlm33yw5tOzatdF
Blue Suede Shoes,Elvis Presley,spotify:track:47gmoUrZV3w20JAnQOZMcO
"Death, When You Come To Me",Moondog,spotify:track:5xgkzzJlTC4F1eJXnXx9l4
Le claqueur de doigts,Serge Gainsbourg,spotify:track:1tzRK0GylJeQM0G7Kqwx5S
I Asked For Water,Howlin' Wolf,spotify:track:54JrKjQhf3y4ZqPRtlfqJS
Johnny B. Goode - Single Version,Chuck Berry,spotify:track:11cPCZ0BYWJmAm7N8eDxtu
Tutti Frutti,Little Richard,spotify:track:3Os0VNtvEnRFlXSK5dvOFu
I've Got a Woman,Ray Charles,spotify:track:2xar08Fq5xra2KKZs5Bw9j
Mess Around,Ray Charles,spotify:track:7DJsL4jyXA39GDiHFQYQ0t
Peggy Sue - Single Version,Buddy Holly,spotify:track:3fH6CZJEA7phRT0AHdbf2w
Cops And Robbers,Downliners Sect,spotify:local:Downliners+Sect:The+Sect+%26+The+Rock+Sects+In:Cops+And+Robbers:152
Crazy Arms,Jerry Lee Lewis,spotify:track:7mhL4tHAw3FEzIvTWAEHiK
Leader of the Sect,The Downliners Sect,spotify:local:The+Downliners+Sect:The+Definitive+Downliners+Sect+singles+A%27s+%26+B%27s:Leader+of+the+Sect:121
Rumble,Link Wray,spotify:track:5rQPkBBA2HO8hh9KtufPPo
Maybellene - Single Version,Chuck Berry,spotify:track:2poop0aex0YfrSkCKaYEI8
Reelin' And Rockin',Chuck Berry,spotify:track:5EqkrB1hqX5TwQnz09FUAM
Tornado,Dale Hawkins,spotify:track:3HeyJfTLTjxT29VklsRTi1
Too High,Lil Dicky,spotify:local:Lil+Dicky:So+Hard:Too+High:351
Poszłabym za tobą,Breakout,spotify:track:12OV9e97TVkKb33cPqVSOj
Oni zaraz przyjdą tu,Breakout,spotify:track:3pGbNgDouEys2kZZGHl6Rc
Wayfaring Stranger,H. P. Lovecraft,spotify:local:H.+P.+Lovecraft:H.+P.+Lovecraft:Wayfaring+Stranger:160
Let's Get Together,H. P. Lovecraft,spotify:local:H.+P.+Lovecraft:H.+P.+Lovecraft:Let%27s+Get+Together:279
The White Ship,H. P. Lovecraft,spotify:local:H.+P.+Lovecraft:H.+P.+Lovecraft:The+White+Ship:397
"Spin, Spin, Spin",HP Lovecraft,spotify:local:HP+Lovecraft:HP+Lovecraft+II:Spin%2C+Spin%2C+Spin:203
Keeper Of The Keys,HP Lovecraft,spotify:local:HP+Lovecraft:HP+Lovecraft+II:Keeper+Of+The+Keys:188
With a Little Help from My Friends,Joe Cocker,spotify:local:Joe+Cocker:Live+At+Woodstock:With+a+Little+Help+from+My+Friends:486
You Should Know,The Peanut Butter Conspiracy,spotify:local:The+Peanut+Butter+Conspiracy:Is+Spreading:You+Should+Know:132
Feelin' Groovy (Monterrey Pop Festival 1967),Simon & Garfunkel,spotify:local:Simon+%26+Garfunkel:Monterrey+Pop+Festival+1967+-+Disc+01+%28Friday+Evening+16.06.1967%29:Feelin%27+Groovy+%28Monterrey+Pop+Festival+1967%29:142
For Emily (Monterrey Pop Festival 1967),Simon & Garfunkel,spotify:local:Simon+%26+Garfunkel:Monterrey+Pop+Festival+1967+-+Disc+01+%28Friday+Evening+16.06.1967%29:For+Emily+%28Monterrey+Pop+Festival+1967%29:135
Sounds Of Silence (Monterrey Pop Festival 1967),Simon & Garfunkel,spotify:local:Simon+%26+Garfunkel:Monterrey+Pop+Festival+1967+-+Disc+01+%28Friday+Evening+16.06.1967%29:Sounds+Of+Silence+%28Monterrey+Pop+Festival+1967%29:255
Mr. You're A Better Man Than I,The Yardbirds,spotify:local:The+Yardbirds:Having+A+Rave+Up:Mr.+You%27re+A+Better+Man+Than+I:199
chapter-fourin-my-life-youtubemp3free.org,,spotify:local:::chapter-fourin-my-life-youtubemp3free.org:135
the-flies-im-not-your-stepping-stone-1966-45rpm-youtubemp3free.org,,spotify:local:::the-flies-im-not-your-stepping-stone-1966-45rpm-youtubemp3free.org:157
craig-i-must-be-mad-youtubemp3free.org,,spotify:local:::craig-i-must-be-mad-youtubemp3free.org:164
Subway (Smokey Pokey World),The Tickle,spotify:local:The+Tickle:Garage+Rock+Hits:Subway+%28Smokey+Pokey+World%29:144
The Pleasure,The Moon,spotify:local:The+Moon:Without+Earth:The+Pleasure:200
Faces,The Moon,spotify:local:The+Moon:Without+Earth:Faces:127
Children of the Sun,The Misunderstood,spotify:local:The+Misunderstood:Before+the+Dream+Faded:Children+of+the+Sun:171
Fruit & Icebergs,Blue Cheer,spotify:local:Blue+Cheer:New%2CImproved%21:Fruit+%26+Icebergs:365
Peace Of Mind,Blue Cheer,spotify:local:Blue+Cheer:New%2CImproved%21:Peace+Of+Mind:442
