Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Curse the Gods,Destruction,spotify:track:0ptyB7zQ0J1uqein1X1E8I,0.299,0.991,7,-3.061,1,0.0889,1.68e-06,0.659,0.0745,0.503,102.998,316453,4,33.20973,19
Mortal Share,Insomnium,spotify:track:47Dypa9yAYjZoXG58lgPyg,0.42,0.968,7,-2.332,1,0.0927,3.07e-05,0.861,0.0422,0.238,106.062,239840,4,61.45186,10
United Abominations,Megadeth,spotify:track:4vuCxfJNKm9tGIrYRq7ElT,0.503,0.954,0,-4.148,1,0.0728,9.94e-05,0.0273,0.147,0.473,131.03,333267,4,44.47726,9
Hearts On Fire,Hammerfall,spotify:track:4Z4Cfaio8SUozBrlNkfkIk,0.577,0.901,1,-5.981,1,0.0492,0.000431,3.59e-06,0.672,0.337,90.997,231387,4,22.46986,11
The Shore of Transcendence,Minsk,spotify:track:53fY2dPFRhAYSWB4LrV0JL,0.271,0.943,9,-6.467,1,0.077,0.0071,0.482,0.486,0.163,115.187,599067,4,26.01875,23
Legoknekt,Raubtier,spotify:track:6Yt3qxPwLJS9eWkK6091KX,0.551,0.987,10,-2.47,0,0.0817,2.97e-05,0.12,0.0668,0.604,99.917,186867,4,30.0423,7
Over and Over,Three Days Grace,spotify:track:6Dtq63g5m2sMIVd1Aw9ZDD,0.434,0.763,0,-4.123,1,0.0327,0.0283,0,0.153,0.249,138.941,191907,4,42.05035,8
Silence Is Deafening,Napalm Death,spotify:track:6jc2BFnAuZHfj9YkADqqpI,0.2,0.994,9,-4.328,1,0.163,7.7e-06,0.634,0.221,0.0674,115.323,228213,4,42.02526,10
Say My Name,Destiny's Child,spotify:track:6WAhLCL1XchQzYjl15rnFp,0.632,0.631,5,-3.801,0,0.13,0.311,0,0.142,0.684,68.88,268027,4,39.61793,10
She's A Lady,Forever The Sickest Kids,spotify:track:5bwOPUIvBX8wRYf3FwJPal,0.383,0.931,11,-3.148,1,0.185,0.00233,0,0.152,0.262,162.968,239136,4,23.62536,13
Heaven Help Us,My Chemical Romance,spotify:track:7D50nnDRmIkn3D9xnmhCXk,0.274,0.965,0,-4.568,1,0.103,0.00022,0,0.104,0.23,194.265,174613,4,32.26518,9
MakeDamnSure,Taking Back Sunday,spotify:track:4CBBz0LbA2ZNtPz7jb1laU,0.553,0.837,6,-5.608,1,0.0452,0.00941,0,0.372,0.432,140.495,208280,4,28.97667,7
Show Me How to Live,Audioslave,spotify:track:4j4GOtjzdDux57p39vJPnz,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840,4,44.12262,13
Cherry Lips (Go Baby Go),Garbage,spotify:track:6W3WXDyhgYovboUSLsorIP,0.895,0.456,6,-5.74,0,0.0383,0.128,0,0.496,0.965,115.858,192800,4,34.91098,10
Good Things Are Real,Valencia Robinson,spotify:track:3KixXb1QGviZAU7mYgHP2L,0.706,0.114,7,-16.72,0,0.0859,0.875,3.7e-06,0.114,0.501,80.811,303520,4,68.44078,14
Cave of Spleen,Battle Of Mice,spotify:track:0MmdjCIhy4PnHTjX50f9XC,0.399,0.524,6,-8.754,0,0.0341,0.0514,0.018,0.0812,0.0494,87.116,436907,4,17.66832,19
Goodbye Melody Mountain,The Samuel Jackson Five,spotify:track:7I6wEPk1ox4ETv3tsJfBjD,0.669,0.747,8,-11.02,1,0.0308,0.284,0.747,0.401,0.493,104.103,149427,3,19.6802,9
Awakening,The Absence,spotify:track:6Efh5K4HASgtCwSTfp3eKy,0.423,0.995,4,-2.991,1,0.204,3.72e-06,0.0035,0.055,0.0704,115.5,313680,3,43.8085,15
Psychosocial,Slipknot,spotify:track:3RAFcUBrCNaboRXoP3S5t1,0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,284120,4,81.18415,12
Comatose,Skillet,spotify:track:5pRElcsPZrgZXkoON2o5Go,0.359,0.955,4,-2.323,0,0.12,0.00116,0,0.349,0.446,170.033,230427,4,25.10983,8
Grind Denial,In Mourning,spotify:track:2k5fGSTCxwGKPOHeocbRGC,0.549,0.996,11,-4.694,1,0.117,0.014,0.819,0.164,0.458,117.512,273920,4,43.4619,11
Trouble Is Near,A Storm of Light,spotify:track:6Rlk5y2AA96LdHI3cJ9X8Q,0.0913,0.784,7,-4.914,1,0.0421,5.79e-06,0.0876,0.101,0.291,172.488,372680,3,40.07432,12
Headache,Floetry,spotify:track:3F88W29RUTBLMERyKpZ1ks,0.683,0.671,1,-6.051,0,0.185,0.239,2.75e-05,0.147,0.695,91.335,243827,4,41.69363,8
Down With The Sun,Insomnium,spotify:track:1uxjdr8oxqu5Ov1ICOYLJD,0.432,0.977,4,-4.535,0,0.0609,2.61e-06,0.9,0.0663,0.139,118.503,263720,4,44.04943,9
Someone Like You,Dina Carroll,spotify:track:0S4imq1CWC8wPxIBCSG2YY,0.606,0.515,7,-8.965,0,0.0344,0.771,0.025,0.106,0.284,138.01,201427,4,58.05816,9
Way Away,Yellowcard,spotify:track:63IIUzd6eJBfCGIcF8MFnJ,0.357,0.959,2,-4.081,0,0.113,6.93e-06,3.91e-05,0.0825,0.364,179.644,202093,4,54.34692,7
Blurry,Puddle Of Mudd,spotify:track:1YrJCGCuGZQFBwTb6gwIEM,0.44,0.932,3,-4.488,0,0.0584,0.0102,0,0.142,0.495,157.438,303920,4,48.18578,12
Vizhigalin Aruginil,Ramesh Vinayagam,spotify:track:41CwLFnWlKLqE9J7Whsumd,0.595,0.811,4,-6.742,1,0.0547,0.4,0,0.176,0.302,88.989,327513,4,23.17107,15
Animal I Have Become,Three Days Grace,spotify:track:3zUEGIKNFJB268GiwEvWXP,0.553,0.853,8,-3.668,1,0.0339,0.000684,0,0.126,0.506,122.023,231400,4,55.27598,10
The Beach,All Time Low,spotify:track:4DnRAvfHBRkxMMOAXsCJpZ,0.405,0.968,0,-2.211,1,0.119,0.0023,0,0.128,0.639,167.014,181720,4,31.80627,7
Candy Man,Mary Jane Girls,spotify:track:6NNIHshSAVQ1SM2NbTVn6a,0.844,0.6,3,-5.283,1,0.0425,0.0205,0.094,0.0328,0.965,120.466,279373,4,85.66916,8
Ladykiller,Jet Set Satellite,spotify:track:79oCOQtSsVzVkWwdUCVoV5,0.607,0.598,1,-4.693,1,0.0388,0.0151,0,0.101,0.664,104.603,228307,4,37.3622,11
Butterflies - Demo/Album Version,Floetry,spotify:track:17SLKNcZHfggqIkVHD08e5,0.708,0.644,8,-4.825,1,0.238,0.264,0,0.116,0.662,89.968,243440,4,41.49629,13
Deep B Flat,Daturah,spotify:track:7BPccqXkS6eYSjSLpLg34q,0.5,0.634,2,-9.622,0,0.0314,0.00824,0.828,0.0839,0.191,123.985,797400,4,30.85785,22
I'll Find You,Hundred Reasons,spotify:track:2FUAgbkTJbJPkH8ZFf0XxB,0.289,0.916,2,-4.766,1,0.0544,2.81e-06,8.93e-05,0.198,0.543,108.077,186280,4,22.03648,8
One Last Smoke,The 11Th Hour,spotify:track:2mM2PhcvJeTSuC8cwARI3N,0.316,0.697,0,-4.32,1,0.0646,0.000806,0.174,0.514,0.105,94.659,403893,4,94.45564,12
Wasteland,10 Years,spotify:track:3pO37BXsjMC2wApALxGbuB,0.409,0.783,6,-5.083,0,0.0731,0.000422,0.000354,0.0664,0.313,145.541,229867,4,71.82053,9
Blacking Out the Friction,Death Cab for Cutie,spotify:track:0izHt08h6Zu0BeyJEQ5U1z,0.592,0.832,0,-7.512,1,0.0416,0.0841,0.0013,0.105,0.36,153.038,207173,4,25.20942,8
Be Silent,Lights At Sea,spotify:track:4JPDO2WYXwr3bszp25N6Ff,0.238,0.597,2,-7.777,0,0.0438,0.00165,0.899,0.624,0.146,130.862,306267,3,63.42615,11
Karma Police,Radiohead,spotify:track:0hCW6LbmFCYwM1uGmnjjNe,0.41,0.53,7,-8.685,1,0.0271,0.0874,0.000223,0.137,0.341,74.923,261640,4,27.35752,10
HeysÃÂÃÂÃÂÃÂ¡tan - Live,Sigur RÃÂÃÂÃÂÃÂ³s,spotify:track:6fZuP343Mcu4uDmkX385Ka,0.129,0.0651,7,-13.2,1,0.0453,0.962,0.224,0.256,0.0549,74.561,283360,3,19.25241,17
Had Enough,Papa Roach,spotify:track:62nU1nMCxdD0ybzYBDJuXR,0.584,0.667,7,-5.771,1,0.0276,0.00598,3.85e-05,0.101,0.304,117.047,241947,4,66.24367,9
Cursed,Venom,spotify:track:6aBeiLx5oKYurKADHtTSoZ,0.24,0.604,9,-9.353,1,0.0406,0.00314,0.101,0.108,0.131,143.132,451693,4,33.90989,17
Caravan of Love,"Isley, Jasper, Isley",spotify:track:3qlPinQ9JHrAshoPslCEWY,0.683,0.612,2,-7.93,1,0.0236,0.566,0,0.282,0.764,88.159,343307,4,39.77495,13
It Sucks,Skye Sweetnam,spotify:track:36vDzkQavltP7pEvl3sy5a,0.497,0.95,1,-1.775,1,0.11,0.00126,1.3e-05,0.252,0.863,164.948,142160,4,46.00247,7
Voices,Saosin,spotify:track:71U9X93wy4BQGyvmjFqApv,0.307,0.925,9,-3.918,0,0.0926,9.39e-05,0.00925,0.377,0.261,179.962,217525,4,129.48853,6
So Contagious,Acceptance,spotify:track:3Nnm4EROP8wEnMpcmapvLR,0.411,0.702,1,-4.702,1,0.0334,0.133,0,0.0973,0.407,178.493,184440,4,37.21537,9
Silver And Cold,AFI,spotify:track:6RGV97HIkgZJjme2dzilfg,0.412,0.839,3,-4.543,0,0.0369,0.00258,7.1e-06,0.333,0.37,130.091,250707,1,28.80938,8
Loosu Pennae,Simbu,spotify:track:4Yy2VhegGoOHKNY1uDyZMM,0.669,0.53,5,-6.827,0,0.126,0.499,0.000484,0.099,0.522,192.383,407448,4,23.37848,16
My Curse,Killswitch Engage,spotify:track:6zKF4293k44ItKWJJgrhXv,0.197,0.956,10,-2.908,0,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,244773,3,42.17462,9
Overklock,Blue Stahli,spotify:track:2ens5MBzdXKTlh7JE5XBih,0.507,0.991,1,-6.476,1,0.0761,0.000386,0.756,0.0663,0.411,119.993,141999,4,32.78849,7
"I Wanna Be Down (feat. Queen Latifah, Yoyo & McLyte) - Remix",Brandy,spotify:track:1P0iAEz2vmTPfXtp2XTlcO,0.893,0.433,11,-5.88,0,0.396,0.33,0,0.395,0.675,86.01,256667,4,34.75817,11
Photobooth,Death Cab for Cutie,spotify:track:3UebODayXy0R9sLTvMVyPy,0.629,0.603,7,-10.291,1,0.0285,0.202,0.177,0.0835,0.87,109.656,226293,4,58.66882,6
