Rock Around The Clock,Bill Haley & His Comets,spotify:track:34AmZ4PMz9iNZVp9AMIGZj
Across The Great Divide - Remastered 2000,The Band,spotify:track:35Myb6spNkKlRsZQcm95mP
Telstar,The Tornados,spotify:track:2rtaHm5SkgFzVa5Gr8oTW6
Killing Floor,Kaleidoscope,spotify:track:1hOPXfvRZS9AgBP03q4yGh
We Love You - Single Version/Mono,The Rolling Stones,spotify:track:5dDPFVD26G55XYYaKIexRS
When Something Is Wrong with My Baby,Sam & Dave,spotify:track:056rtilqF4cqLOgDQGqYqv
You'll Come Back Again,The Easybeats,spotify:track:49UOIOzzfrGjgOXp2lhkYA
A Summer Place,Andy Williams,spotify:track:71kwIDWJ0xClRjxvIey6D0
Triad,The Byrds,spotify:track:7zoiA8mBoaiiYTkzUGtkIe
Kicks,Lou Reed,spotify:track:1oD6UVuuUJ6CSQhdjcHHED
Do It Again,Terry Callier,spotify:track:1jyZAbljkwNi9VKqoFmI22
Touch of Grey - 2013 Remaster,Grateful Dead,spotify:track:0mJQlCl9YgxW7kyeltNiVk
Mexican Radio,Wall Of Voodoo,spotify:track:7dOZxMY4U4YZ3eFwOTABXK
Manic Monday - Extended Remix,The Bangles,spotify:track:3JWumPw9b9Y9H0F0ox8KXM
Yaya,Ron Rogers,spotify:track:276XCIujSoTRoYFPbHD7SR
Coming to You Live,Charles Earland,spotify:track:0fe8ABoiVGgW0OUxzJWmNb
Flowers,Zaine Griff,spotify:track:4x7tmE0KusPCoy7FKtEA40
La Gata Bajo la Lluvia,RocÃÂÃÂ­o DÃÂÃÂºrcal,spotify:track:2kfSFdq2h0xLXq01em1zc7
This Time Around,Green On Red,spotify:track:79oKG1FeypbqOqxT2E9Ir9
Pump It Hottie,Redhead Kingpin,spotify:track:7B5crw8IJctURUQAuD2xml
Backlash Blues,Nina Simone,spotify:track:40Sq1gSrgCjjuMs43XuQgw
Love Machine - Pt. 1,The Miracles,spotify:track:1b833AsiKCEhLLxmdQu9Hw
Tears in Heaven,Eric Clapton,spotify:track:7utRJ4BeYx85khzP3lKoBX
