I Fall In Love Too Easily - Vocal Version,Chet Baker,spotify:track:0F845nujLVqCb0XMZCh5Pc
Billy The Kid,Marty Robbins,spotify:track:7tnoflnylUKY7P7WKGj4n2
Mary's theme,Stelvio Cipriani,spotify:track:7Be8fwUh9pt0idUpjWtmpI
Sophisticated shake,Stelvio Cipriani,spotify:track:6iHVN5Kp1KWRtdCRkBSubf
Un homme et une femme - Instrumental,Francis Lai,spotify:track:062Cv5UXgBHWkMoRScGkt0
For Once In My Life,Stevie Wonder,spotify:track:4kP69y3GKHi9tXckfgp4bK
Lujon,Henry Mancini,spotify:track:3hGgNSkBGcbdYTIcCa12pt
The Adoration,The Electric Prunes,spotify:track:1GjWSsRctqOQ9BxvMvdQVz
White Rabbit,Jefferson Airplane,spotify:track:4vpeKl0vMGdAXpZiQB2Dtd
Much Better Off - Album Version / Stereo,Smokey Robinson & The Miracles,spotify:track:42V7F468ieBbxKwaxBlpls
Wild Is The Wind - Live,Nina Simone,spotify:track:3muwYfpLZGYsvrrssEzrxF
I Get Along Without You Very Well (Except Sometimes),Chet Baker,spotify:track:4gFlHAye7To29Fs4UszQUH
Time After Time - Vocal Version,Chet Baker,spotify:track:4m6OC8u2rC6LMFtFWsME7d
Like It Is - Remastered,Yusef Lateef,spotify:track:23sTGlQIsLtAxKuJj9Ekrd
Rainy Day Mushroom Pillow,Strawberry Alarm Clock,spotify:track:35VcWn3lZ4ne9mhN8uMrFm
Rain,Walter Wanderley,spotify:track:5bXGJIOZZ4TwcUpRYqf450
Quanto costa morire,Francesco De Masi,spotify:track:6EWgQkbpK6QOPqGCdMFYCX
Juba Juba - Remastered,Yusef Lateef,spotify:track:0JzH4bb8aZlolWGaKQmBD0
Find a Man,Francesco De Masi,spotify:track:6beVYer4kHxsUX16Jpjs6X
Down Left,Carlo Savina,spotify:track:7CO6Y2ZvIvaZ9JNiK90Itc
The Lady Rachel - 2003 Remaster,Kevin Ayers,spotify:track:5f1IZwlYAP2cXhdE5CLwKN
The Price of Gold,Lavagnino Angelo Francesco/Roberto Matano,spotify:track:00CFLj7K7xO2DH5DBlUYWx
Dream A Little Dream Of Me - Single Version,Ella Fitzgerald,spotify:track:78MI7mu1LV1k4IA2HzKmHe
Season of the Witch,Donovan,spotify:track:6MOEQCtAWNSCmvg3SFKF5y
"Rainy Day, Dream Away",Jimi Hendrix,spotify:track:0xwG5stzrc5B70TycPwenY
I'm Glad,Captain Beefheart & His Magic Band,spotify:track:6vcF9napv3kwm8rSb4O2si
Holy Are You,The Electric Prunes,spotify:track:2PFYK7BI5JRoKOfA1FtfTV
Four Walls,Eddie Holman,spotify:track:4V4gWBXekAjyqkg3ZuFW8r
Harlem Hendoo,Al Hirt,spotify:track:5BZ9qaBC9BFuh2xDgFXVLl
When the Lights Are Low,The Paragons,spotify:track:5dfQhcik87RMJAvVs7xW95
Lonely Girl,Dorothy Ashby,spotify:track:27BtrpvBcG9onY7uXIJHkF
Light My Fire,Africa,spotify:track:5EWMey6EWacf5tu8X2JOeQ
"Rain, Rain, Go Away",Bob Azzam,spotify:track:2OxUB1px3wbFxdK517qBRg
Song of a Sinner,Top Drawer,spotify:track:0RNwTBz5DwicE8LEi9RLj5
Danube Incident,Lalo Schifrin,spotify:track:2QqouLGFYMynquwDMYUGk1
Action Line,Dorothy Ashby,spotify:track:1TZQO0HgZq6jj6P9GgD2xS
A Woman Will Do Wrong,Helene Smith,spotify:track:72dpf92jutua1DiHMSjqKq
Stormy,Gábor Szabó,spotify:track:3JeDm203MFpRlzSFaoNEv2
You Made Me Love You (I Didn't Want To Do It),Patsy Cline,spotify:track:4dDD9wDgw7qlPRQy4CwJ90
A Good Woman's Love,Hank Locklin,spotify:track:6EGg4oDb2rBVt2G9SnmZuK
A Fool Such As I,Slim Whitman,spotify:track:0OF37ym78wrRVdHP3JJNlz
She's Got You - Single Version,Patsy Cline,spotify:track:4H1POasJbrLNaQirsIH29e
Psychotic Reaction,Count Five,spotify:track:5JcaA4A9ZoXthwEnxOxWvP
Don't Look Back (feat. Van Morrison) - Mono Version,Them,spotify:track:4DPy8k0CXh4i8pm5gtHpuw
Not In Love With You,The Easybeats,spotify:track:3PwuCzAywVUW0vyLwmWjsH
The Gypsy Cried,Lou Christie,spotify:track:5NqB5TzcSdRl21iOUM0L59
Bury My Body - 1997 Remaster,The Animals,spotify:track:3KeQE5QcCU7rdTtAq4diWc
I'm a Tangerine,Tommy James & The Shondells,spotify:track:4PcAeBo9qzBP0xNvdHJLC3
"A ""B"" Side",Manfred Mann,spotify:track:32j6XpAsQ47PFtSyXHTMuI
Mystic Eyes (feat. Van Morrison) - Mono Version,Them,spotify:track:4jyTPINPO1Zc6an1zPWJTy
I'll Make You Sorry,The Shadows Of Knight,spotify:track:4aXBOO41ffIkNO4BFNJUiO
L.S.D.,Manfred Mann,spotify:track:39f58YWsf5jJUG1eNwzs36
Ain't Nothing But a House Party,The Tremeloes,spotify:track:3WijM9alAO8L18uHhounVO
Wine In The Wind,Margie Day,spotify:track:289JsleOBJoDHrh6iJfX5f
Love symbol,Stelvio Cipriani,spotify:track:3vNHs34l9b5snH8pplvZ6E
Hot skin,Stelvio Cipriani,spotify:track:2c4ZYFB3eVuv7D9i411OCo
Chorus and bass fugato,Stelvio Cipriani,spotify:track:1sUIuLIvS4n9sEFJtEzLCi
Fight of love,Stelvio Cipriani,spotify:track:6jO7D42miKp6jXtRDXtpGR
Lilac Wine,Nina Simone,spotify:track:3Hi4KlRtdgJbyIUpeFBckY
Come Live With Me,Dorothy Ashby,spotify:track:3YT2vdLbvfcjfCiNR4DsKT
Tezeta,Mulatu Astatke,spotify:track:0Dv2dILPDIqPjCqGbW9WTN
Little Sunflower,Dorothy Ashby,spotify:track:3A6e928yOFJ0MhlG7xrFDW
