Der Kommissar,After The Fire,spotify:track:0OCoPwxoxtmhwTzUCpilQc
Escape (The Pina Colada Song),Rupert Holmes,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ
You're No Good,Linda Ronstadt,spotify:track:23DZLSxCK6kM8FF2RlzKDl
Warm Leatherette,The Normal,spotify:track:7mxvuhmRrnQ31vHRm9A9qj
Jamie,"Ray Parker, Jr.",spotify:track:5yHQ8xAHLuQ2VZH3dgTPZE
Cars,Gary Numan,spotify:track:6HZ67VImxqr8aMBEEhblzf
Train in Vain - Remastered,The Clash,spotify:track:6ITuEsxEy2qPhqMowdDAeI
London Calling - Remastered,The Clash,spotify:track:5jzma6gCzYtKB1DbEwFZKH
"The Grand Duel (Part X) (From ""Il Grande Duello / The Grand Duel"")",Luis Bacalov,spotify:track:5cUaR8EDQlLEtu1p9EJg7J
A Reluctant Hero / Betsy / End Credits,Bernard Herrmann,spotify:track:1bbqHoPIr5qHUBcTq6i3NZ
Never Can Say Goodbye,The Jackson 5,spotify:track:59Rn3cbfrBjhHzXTG9BcUT
Dove,Cymande,spotify:track:6yYGrFfc595ggAwsYpH13v
La Femme,Alain Goraguer,spotify:track:4phvjcplOlWpOmd5hHPvVR
Méditation Des Enfants,Alain Goraguer,spotify:track:5n0NUEzYITfCMH3c6KwHV1
That's How I Got To Memphis,Tom T. Hall,spotify:track:2cNTnf90oAqCGtLCssSSYe
Messaggio,Lesiman,spotify:track:5un7RkR8c4YWLQfpTe6Cle
Elena Elena,Gianni Ferrio,spotify:track:2Y5IAZBw7mSct1jpLck07h
What You Won't Do for Love,Bobby Caldwell,spotify:track:1lB6TCFlx4f50wdetOuGcT
One,Harry Nilsson,spotify:track:5gEllFEEiROLHSe6wl5Fsz
It's Raining,Kim Jung Mi,spotify:track:2cyH63Rzf19Q43R4GBpVuD
"Erika, Seq. 1",Roberto Pregadio,spotify:track:73lFtrXAHci7wXHJZrfS6q
Fai presto fai presto,Gianni Ferrio,spotify:track:2NxHMwh2TeVReAk9dfCp63
Liquid Sunshine,John Cameron,spotify:track:5rXMjn480P9q0aomXjmj0Q
Goo Goo Wah Wah,Wah Wah Watson,spotify:track:0QlElL39pJBNijyLaCrp56
Dat Mistige Rooie Beest,Rogier Van Otterloo,spotify:track:7cuRZsJ1DjfTMILwkaNVau
Walking in the dark,Stefano Torossi,spotify:track:7c9w5yBbFYBx28JLY0Z8T2
I Got The... - 2006 Remaster,Labi Siffre,spotify:track:20VuO95A8RxUPlShnfYArW
Dancing Machine,The Jackson 5,spotify:track:0xqb2Euq1PAxKHBA36NUnx
Ankara,Gianfranco Plenizio,spotify:track:34zxYxUX0y8r4HkVizrMdb
Mercury,Harold Fisher,spotify:track:757qKWjaK8RV4sJxmwFjmt
Sweet Surrender,Duncan Lamont,spotify:track:4YCIj7tfmOTYM5iMTnNHkX
Ain't No Sunshine,The Equatics,spotify:track:2dcFp5BKSHTbzoyJd0MdRk
Purple,Shuggie Otis,spotify:track:510i2lQvSKIgFXVrq2Dg5Y
The Touch Of You,The Equatics,spotify:track:4BPQA11N0hEYYH043S1fMT
24-Carat Black (Theme),24 Carat Black,spotify:track:5OTfkTpOtfJcNaUWlmHxmo
Vibrations,Roy Ayers Ubiquity,spotify:track:7bwsqDTrvpqO4spefohQu3
What They Doin?,The Equatics,spotify:track:7s0BKoeNy67NDPayTv5Xd2
Merry Go Round,The Equatics,spotify:track:4X4NrHp5VpibgirzuImxXd
Yu-Ma / Go Away Little Boy,Marlena Shaw,spotify:track:7fBeuEb33oFgM4tM7XGs6g
Viva alleluja (2° versione),Stelvio Cipriani,spotify:track:7txxWCABGYdKnvoDRp9Nq4
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,spotify:track:2xSXw1EqGSAKc1e4TPaQvV
The Man in Me,Bob Dylan,spotify:track:7xRemq7GLu0Tbqe9OckG87
Supermarket Blues,Eugene McDaniels,spotify:track:0ShILYEuj2JA4Zx31gAhd0
Moonbird,De Wolfe Music,spotify:track:260Zf9uQYZh3Q3WZdk9alk
Quarto de Hotel,Hareton Salvanini,spotify:track:1rSirOSgJ7I6OyoOIpQ5N4
Piece of Mind,Idris Muhammad,spotify:track:72wP2qnBz48qHEutvvnpfY
When Your Parents Go to Sleep - 2003 Remaster,Kevin Ayers,spotify:track:5HUFcB9PHfVcvXF44u98SI
Bouzouki Solo,Özel Türkbas,spotify:track:3hvDOw1Kq9MwI9Gg7EIW8R
Le Bracelet,Alain Goraguer,spotify:track:2khUO1FMaVvGagUJpUJIwt
Breakfast In America - Remastered,Supertramp,spotify:track:4a5pNRjwmzYQuEY1E7O6pj
"Live On, Dream On",Sun,spotify:track:7j4js9vJphuYICKzVILJvw
Feeling tense,Stefano Torossi,spotify:track:6yJ64ERRCMNzHqNlVzpEpC
Goodbye Stranger - 2010 Remastered,Supertramp,spotify:track:67oyFnjJnn78fZP9KjeZx0
Thousand Watt Work-Out,John Moran,spotify:track:7dR2NwYNiVLjjHE4HV2sCA
Red Clay,Jack Wilkins,spotify:track:3Mbkhd9tdMwyqbrVE3IODX
Darkest Light - Remastered,Lafayette Afro Rock Band,spotify:track:72mudXRDKdCxUu0He3W6H6
Like a Ship,Pastor T.L. Barrett and the Youth for Christ Choir,spotify:track:2RcZIrOCedVC6RYHTnlm7y
I Wish You Were Here,Al Green,spotify:track:7d2RV57UI7JoYnF1emRH6m
You've Got a Woman,Lion,spotify:track:2YHO9pscU1ij1i2Oc3bCae
Inspiration Information,Shuggie Otis,spotify:track:6qH6xP8tzxvZlCcmHit4AL
Mermaid,Alan Hawkshaw,spotify:track:4LcogSQgiNo6rtCG70emJj
Golden Flyer,Howard Wales,spotify:track:25G5ITylSm989tmdoNJOE4
You're Gonna Need Me,Dionne Warwick,spotify:track:5ezYm2LkW25YhkkTp7bC9u
Aos Baroes,Lô Borges,spotify:track:69jkG8dCZw75fTxwc2IQ86
My Family,David Axelrod,spotify:track:4N1CexanVeSaWsGny4fOqI
Get It Up For Love,Ned Doheny,spotify:track:1pcG5AKS1PTa5sz9cBOCLZ
Don't You Know,Jan Hammer Group,spotify:track:3T37jKtvQzNExmz3DuQNoz
Running fast,Stefano Torossi,spotify:track:0wOiCSxhbj4rPmbXQxU2ld
Adrie's Dream,Sandro Brugnolini,spotify:track:54va6BEMi0UbEelkAKOW3u
Walk On By,The Equatics,spotify:track:0vBTlZLCQFlPIyUo0YYQDR
Plantasia,Mort Garson,spotify:track:4CyTrR4c13d57jCVstfS8T
Yellow Magic (Tong Poo),YELLOW MAGIC ORCHESTRA,spotify:track:12x2jPGYAjdiyemtFuqeU0
Sweet Thang,Shuggie Otis,spotify:track:2u3HmBPHrk3ooSdVikignW
San Juan Sunset,Deodato,spotify:track:0Pq0mOdgFXTezl6mMt8a39
We've Only Just Begun,O'Donel Levy,spotify:track:6bkvIebUYYgPo7I3t4eoQf
Pony,Annette Peacock,spotify:track:3Cioq9gEBcdBZi6SAIfR8l
It's Time To Break Down,The Supremes,spotify:track:6YQ1iVb2mGvkL5VOB8rwJx
What'll I Do,The New Birth,spotify:track:3Amm8NqM1tjWjGQpuOcQJ9
Omaca,Sestetto Dino Piana & Oscar Valdambrini,spotify:track:3xqbdVPULGQjcxnNmWpTNd
Take Me With You,Lyn Christopher,spotify:track:4yYJ3yJFf3LyMX2EcYy9Dt
Where Are We Going?,Donald Byrd,spotify:track:3E26XqV2an7iMYoEcUVdj4
Pásky Z Cívek Odvíjím,ORM,spotify:track:1yvOx5Be2vxKbL9JZwgYzV
Band On The Run - Remastered 2010,Paul McCartney,spotify:track:1H4idkmruFoJBg1DvUv2tY
Space Talk,Asha Puthli,spotify:track:4jTXmhMv91Fq0ivNQDzhPh
La rue,Cortex,spotify:track:6lzDycd60SJ7H8y6wuESGl
Be Thankful For What You Got,Love,spotify:track:73IrmhGaqTEWOEOnhhbFpL
Troupeau bleu,Cortex,spotify:track:2DTHWr5NK1igQZxctpYTA9
You Got the Stuff,Bill Withers,spotify:track:0ftZ5CjzOWGDa7h0zQP6Z9
