Severed Heads,Wham! U.K.
Hashim,Poison
Adeva,Joe Cocker
Grup M. ÃÂÃÂÃÂÃÂanlÃÂÃÂÃÂÃÂ±el,The Kings
Wipers,Little Steven
 New Mexico/Preaching the Blues - Live,Daryl Hall
The Jammers,Ta Mara & The Seen
Lisa Lisa & Cult Jam,Wham!
Ava Cherry,Great White
 6/20/86,Christopher Williams
Yaco Monti,Philip Bailey
Venom,Gordon Lightfoot
Secession,Bobby Brown
Soundgarden,Aurra
Biff Bang Pow!,"Crosby, Stills, Nash & Young"
 Myself and the Tragic Story - John Leckie Recording,Christopher Cross
Gangway,Lindsey Buckingham
Harlequin,Thompson Twins
Brian Briggs,Eric Clapton And His Band
Forrest,Carl Carlton
Rodney Franklin,Stage Dolls
Martin Gore,Roy Orbison
Yazz,The Graces
 11/10/86,Cliff Richard
Re-Flex,Dan Hill (Duet With Vonda Shepard)
The Nightingales,Dave Edmunds
The Jesus and Mary Chain,Madonna
Steve Arrington's Hall Of Fame,John Waite
The Cramps,Toni Childs
For Against,Cinderella
Visage,Mai Tai
Lucio Dalla,Tierra
808 State,Cameo
Orange Lemon,The Smithereens
Jaki Graham,Boys Don't Cry
Joyce Sims,Jennifer Rush (Duet With Elton John)
Mary Clark,Simon & Garfunkel
The Cassandra Complex,Michael Damian
Morrissey,Erasure
Trance Dance,Bruce Hornsby & The Range
Wood Allen,Josie Cotton
Death Angel,Sweet Sensation
China Crisis,Starship
Breakfast Club,Yazz And The Plastic Population
Swell Maps,Scandal Featuring Patty Smyth
Pesteg Dred,Zebra
Eyeless In Gaza,The Animals
Dee Dee Bridgewater,Chris de Burgh
Landscape,Joe Jackson
The Egyptian Lover,Roy Orbison & Emmylou Harris
Yellowman,El DeBarge With DeBarge
My Bloody Valentine,Nazareth
Nuclear Assault,Ronnie Laws
 Mr. Shankly - 2011 Remaster,Suzanne Vega
Cheri,Rita Coolidge
Pieces Of A Dream,Carl Anderson & Gloria Loring
Alexander Robotnick,Jerry Reed
Peter Murphy,Joe Cocker And Jennifer Warnes
The Delmonas,Rickie Lee Jones
Jeanette,Figures On A Beach
Del Amitri,Chris Christian (with Amy Holland)
The Colourfield,Texas
Criminal Element Orchestra,Pleasure
The Allman Joys,Men Without Hats
A.C. Marias,Saraya
Mantronix,Felony
X,U2 With B.B. King
Fellini,Barbra Streisand With Kim Carnes
The Cleaners From Venus,Atlantic Starr
Lisa Stansfield,Mary Jane Girls
Flotsam & Jetsam,Todd Rundgren
Manowar,Jenny Burton
The dB's,Dino
Wop Bop Torledo,Loose Ends
Vaughan Mason,Peter Gabriel
The Nails,Ringo Starr
Nicola Di Bari,Teddy Pendergrass
John Farnham,Joan Armatrading
Public Image Ltd.,Bonnie Raitt
Gil Scott-Heron,Dolly Parton
The Action,The Fabulous Thunderbirds
The Soft Boys,Big Pig
John Rocca,Utopia
Sonic Youth,Triumph
Fun Fun,Eight Seconds
Martin Hall,Ralph MacDonald With Bill Withers
E.U.,"Evelyn ""Champagne"" King"
Graham De Wilde,The Marshall Tucker Band
 1986; Medley,Models
 Pow,Paul Davis
David Allan Coe,Joni Mitchell
Mass,Marty Balin
The Dream Syndicate,George Thorogood & The Destroyers
The StingRays,The Invisible Man's Band
Shriekback,Yellow Magic Orchestra
EBN/OZN,Dead Or Alive
Brooklyn Funk Essentials,The Georgia Satellites
Lyres,Giuffria
CAN,Samantha Fox
The Flirts,The Style Council
A.R. Kane,Q-feel
The Birthday Party,Stevie B
Tokyo Blade,Gardner Cole
Harry Nilsson,Indigo Girls
Gayle Adams,Lita Ford (Duet With Ozzy Osbourne)
ESG,Rockwell
Apollonia,Fortune
Yukihiro Takahashi,Ben E. King
Dio,Mac McAnally
Kid Creole And The Coconuts,Vandenberg
Miki Howard with Gerald Levert,Madleen Kane
Troop,Timothy B. Schmit
Zapp,Underworld
Breakwater,Luther Vandross with Gregory Hines
Warp 9,The Alarm
Minutemen,Eddy Grant
Goblin,Surface
The Christians,Eric Clapton
The Sound,Diana Ross
Exodus,Aldo Nova
Royal House,Larry Elgart And His Manhattan Swing Orchestra
Colourbox,Timbuk 3
Bob Mould,Guns N' Roses
The Clean,The Del Fuegos
Stezo,The Romantics
Sha-Lor,Ali Thomson
Roxanne Shante,Trans-X
Loose Joints,Roman Holliday
Flamin' Groovies,Tane Cain
The Psychedelic Furs,Icehouse
The Bolshoi,Sheila E.
Al Johnson,Pat Travers Band
Loop,Walter Egan
Operation Ivy,Patrick Swayze (Featuring Wendy Fraser)
Whodini,Kenny Rogers Duet With Dolly Parton
Tompall & The Glaser Brothers,Phil Collins
Oran Juice Jones,Greg Lake
Ebn-Ozn,Jennifer Warnes
World Party,Yvonne Elliman
Howard Devoto,Tom Tom Club
Side Effect,Buckner & Garcia
Always,So
14 Iced Bears,UTFO
Charles Earland,Chic
Denroy Morgan,Karyn White
Nice & Wild,Basia
High Fashion,Rubber Rodeo
Twennynine,Roxanne
Tom Petty and the Heartbreakers,Roberta Flack With Donny Hathaway
