Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Marriage Is For Old Folks,Nina Simone,spotify:track:4u09k6HNZvdAUHCJRoWIOA,0.422,0.385,10,-10.789,1,0.0541,0.938,1.19e-05,0.191,0.849,135.281,209440,3,33.7405,11
Ten Cents A Dance,Anita O'Day,spotify:track:6uawJMhSxpHA7tvf6JjLZq,0.55,0.296,0,-9.238,1,0.057,0.662,0,0.318,0.358,109.604,135493,4,34.04302,5
It's Not True - 2014 Stereo Mix,The Who,spotify:track:62iSnraTKszodZFRhCt6lx,0.431,0.787,5,-7.656,1,0.0294,0.0337,0.0811,0.157,0.674,103.018,150053,4,26.82218,8
"Hot Pastrami, Mashed Potatoes, Come On To Rincon - Yeah!!!",Bruce Johnston,spotify:track:7eUy5bc2FNAlPcehJJTVpV,0.381,0.922,7,-6.972,1,0.107,0.356,0.00474,0.311,0.33,76.726,128200,4,102.67376,4
You Really Got Me - Mono LP With Reverb,The Kinks,spotify:track:0SCmnrMDiBO9Z5tF1qzNgp,0.541,0.987,1,-2.453,1,0.0977,0.156,0.000174,0.141,0.933,137.678,134533,4,39.03204,7
Rock Around The Clock,Bill Haley & His Comets,spotify:track:34AmZ4PMz9iNZVp9AMIGZj
Across The Great Divide - Remastered 2000,The Band,spotify:track:35Myb6spNkKlRsZQcm95mP
Baby Let's Play House,The Astronauts,spotify:track:1J9nwW2pkGn5ePKrpXorUr,0.632,0.533,9,-15.405,1,0.0362,0.177,6.31e-05,0.0946,0.925,77.299,148453,4,51.20942,9
The Yodel,Big John Patton,spotify:track:1noAQpvoCEoUw9LiTnWhuj,0.507,0.699,2,-8.814,0,0.0379,0.854,0.712,0.477,0.726,137.871,497933,4,29.47376,25
My Guy,Mary Wells,spotify:track:3WORyf3FVpYdVoHEgSEt1b,0.697,0.576,10,-7.836,1,0.0563,0.559,4.96e-05,0.132,0.927,126.454,174440,4,19.70169,9
Telstar,The Tornados,spotify:track:2rtaHm5SkgFzVa5Gr8oTW6
Fire,Jimi Hendrix,spotify:track:5LI7PoHEolR8plrf3I16sq,0.479,0.944,9,-5.167,1,0.115,0.00206,0.0283,0.356,0.572,153.45,163800,4,26.48784,10
