Super Fly Meets Shaft,John & Ernest
Mongoose,Elephant's Memory
Union Man,Cate Bros.
Amazing Grace,The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
So Far Away/Smackwater Jack,Carole King
Ain't No Love In The Heart Of The City,Bobby Bland
To The Door Of The Sun (Alle Porte Del Sole),Al Martino
The Harder I Try (The Bluer I Get),Free Movement
Feel So Bad,Ray Charles
Cry Cry Cry,Shirley And Company
Rub It In,Layng Martine
Baby Boy,Mary Kay Place As Loretta Haggers
As Time Goes By,Nilsson
You To Me Are Everything,Broadway
You're My Everything,Lee Garrett
Don't Leave Me Starvin' For Your Love (Part 1),Holland-Dozier
Over The Rainbow,Gary Tanner
We're An American Band,Grand Funk
Father Come On Home,Pacific Gas And Electric
Mammy Blue,Pop-Tops
You're The One For Me,Joe Simon
"God, Love And Rock & Roll",Teegarden & Van Winkle
Free Ride,Edgar Winter Group
We Gotta Get You A Woman,Runt
You Brought The Woman Out Of Me,Hot
Theme From Superman (Main Title),The London Symphony Orchestra/John Williams
Shoes,Brook Benton With The Dixie Flyers
Love Bug,Bumble Bee Unlimited
Help Me Find A Way (To Say I Love You),Little Anthony And The Imperials
Didn't I,Sylvia (r&b)
Last Kiss,J. Frank Wilson and The Cavaliers
Touch And Go,"Ecstasy, Passion & Pain Featuring Barbara Roy"
Nursery Rhymes (Part I),People's Choice
Sixteen Tons,The Don Harrison Band
Baby I Want You,Funky Communication Committee
Wildflower,Skylark
Since I Fell For You,Laura Lee
"Yes, Yes, Yes",Bill Cosby
Cat's Eye In The Window,Tommy James
One Light Two Lights,The Satisfactions
Home Bound,Ted Nugent
Escape-ism (Part 1),James Brown
Supernatural Thing - Part I,Ben E. King
Don't Stop Now/Since I Don't Have You,Eddie Holman
The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation"
You Says It All,Randy Brown
California Earthquake,Norman Greenbaum
Wait For Me,Daryl Hall John Oates
Mind Bender,Stillwater
"Baby, Hang Up The Phone",Carl Graves
I'm Gonna Make You Love Me,The Blend
We're Together,The Hillside Singers
Come Live With Me,Ray Charles
I Like To Do It,KC And The Sunshine Band
Baby Love,Mother's Finest
The Americans (A Canadian's Opinion),Gordon Sinclair
Ashes And Sand,Johnny Rivers
Can't Change My Heart,Cate Bros.
Rainy Night In Georgia/Rubberneckin',Brook Benton
Ffun,ConFunkShun
The Dream Never Dies,Cooper Brothers
Pay To The Piper,Chairman Of The Board
I'm Not My Brothers Keeper,The Flaming Ember
Keep On Keeping On,N.F. Porter
Melting Pot,Booker T. & The MG's
Feel The Need,Detroit Emeralds
If It's All Right With You,Dottie West
Call Me/Son Of A Preacher Man,Aretha Franklin
That's What Friends Are For,B.J. Thomas
Two Fine People,Cat Stevens
Woman Is The Nigger Of The World,John Lennon/Plastic Ono Band With Elephant's Memory
Like They Say In L.A.,East L.A. Car Pool
Think About Your Children,Mary Hopkin
She's Not Just Another Woman,The 8th Day
The Football Card,Glenn Sutton
There's Got To Be Rain In Your Life (To Appreciate The Sunshine),Dorothy Norwood
Cryin' In The Streets (Part 1),George Perkins & The Silver Stars
Overture From Tommy (A Rock Opera),The Assembled Multitude
(I'm A) YoYo Man,Rick Cunha
The Onion Song/California Soul,Marvin Gaye & Tammi Terrell
Dear Prudence,The 5 Stairsteps
Run Sally Run,The Cuff Links
Devil's Gun,C.J. & Company
My Pearl,Automatic Man
Okie From Muskogee,Merle Haggard And The Strangers
Hey There Little Firefly Part I,Firefly
"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn Featuring Tony Orlando
My Country,Jud Strunk
While I'm Alone,Maze Featuring Frankie Beverly
Bloat On Featuring the Bloaters,Cheech & Chong
Georgia Porcupine,George Fischoff
Please Pardon Me (You Remind Me Of A Friend),Rufus Featuring Chaka Khan
(She's A) Very Lovely Woman/The Long Way Around,Linda Ronstadt
Gudbuy T' Jane,Slade
Beautiful People,The New Seekers featuring Eve Graham
Rock And Roll Crazies,Stephen Stills-Manassas
Keep On Singing,Austin Roberts
There It Is (Part 1),James Brown
Cut The Cake,AWB
I' Been Watchin' You,The South Side Movement
Stay The Night,The Faragher Bros.
I'm Movin' On,John Kay
We're All Playing In The Same Band,Bert Sommer
Sad Sweet Dreamer,Sweet Sensation
Prisoner (Captured By Your Eyes),L.A. Jets
Let's Work Together (Part 1),Wilbert Harrison
I Can Make It Thru The Days (But Oh Those Lonely Nights),Ray Charles
In For The Night,The Dirt Band
Brand New Love Affair (Part I & II),Chicago
Papa Don't Take No Mess (Part I),James Brown
New Orleans Ladies,Louisiana's Le Roux
O-o-h Child/Dear Prudence,The 5 Stairsteps
This Is Love,Paul Anka
A Change Is Gonna Come & People Gotta Be Free/The Declaration,The 5th Dimension
Second Avenue,Garfunkel
A Song Of Joy (Himno A La Alegria),Miguel Rios
Across 110th Street,Bobby Womack & Peace
Red Hot,Robert Gordon With Link Wray
Do The Funky Penguin Part I,Rufus Thomas
It Could Have Been Me,Sami Jo
Don't Fight The Hands (That Need You),"Hamilton, Joe Frank & Dennison"
Lookin' Through The Windows,Jackson 5
Carolina In My Mind,Crystal Mansion Featuring Johnny Caswell
"Mary Hartman, Mary Hartman",The Deadly Nightshade
I'd Like To Teach The World To Sing (In Perfect Harmony),The Hillside Singers
How Can I Tell My Mom & Dad,The Lovelites
Tell Laura I Love Her,Johnny T. Angel
Steamroller Blues/Fool,Elvis Presley
