Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Ten Cents A Dance,Anita O'Day,spotify:track:6uawJMhSxpHA7tvf6JjLZq,0.55,0.296,0,-9.238,1,0.057,0.662,0,0.318,0.358,109.604,135493,4,34.04302,5
"Hot Pastrami, Mashed Potatoes, Come On To Rincon - Yeah!!!",Bruce Johnston,spotify:track:7eUy5bc2FNAlPcehJJTVpV,0.381,0.922,7,-6.972,1,0.107,0.356,0.00474,0.311,0.33,76.726,128200,4,102.67376,4
Rock Around The Clock,Bill Haley & His Comets,spotify:track:34AmZ4PMz9iNZVp9AMIGZj
Baby Let's Play House,The Astronauts,spotify:track:1J9nwW2pkGn5ePKrpXorUr,0.632,0.533,9,-15.405,1,0.0362,0.177,6.31e-05,0.0946,0.925,77.299,148453,4,51.20942,9
The Yodel,Big John Patton,spotify:track:1noAQpvoCEoUw9LiTnWhuj,0.507,0.699,2,-8.814,0,0.0379,0.854,0.712,0.477,0.726,137.871,497933,4,29.47376,25
Telstar,The Tornados,spotify:track:2rtaHm5SkgFzVa5Gr8oTW6
Space Oddity - 2015 Remaster,David Bowie,spotify:track:72Z17vmmeQKAg8bptWvpVG,0.299,0.443,0,-12.621,1,0.0346,0.0748,0.000138,0.177,0.434,139.539,318813,4,29.11265,14
Sophisticated shake,Stelvio Cipriani,spotify:track:6iHVN5Kp1KWRtdCRkBSubf,0.541,0.375,4,-17.513,0,0.0751,0.00355,0.868,0.126,0.916,120.894,224880,3,19.22102,11
Lucifer Sam - 2011 Remastered Version,Pink Floyd,spotify:track:2WGkeBfg0nDPSLAUJeDOfJ,0.349,0.744,7,-11.551,1,0.0384,0.504,0.000157,0.255,0.549,140.778,187400,4,15.89543,10
Prelude - Nightmare,Arthur Brown,spotify:track:74f8k4sJdIRCQKuqv6AXG8,0.274,0.689,2,-9.373,0,0.0447,0.143,0.881,0.617,0.28,141.182,208333,4,37.46514,10
I See the Rain,Marmalade,spotify:track:2BCVsvwkMxJ9LHLqolpXV4,0.301,0.729,3,-5.739,1,0.0315,0.000329,0.0693,0.0715,0.356,87.562,228693,4,68.54122,12
Rosalyn,The Pretty Things,spotify:track:2dBzLcwzdbhCkKJYUepZFF,0.449,0.962,5,-6.223,1,0.0846,0.779,0.000193,0.366,0.388,114.702,140643,4,25.75962,9
How Love Used to Be - Single Version,The Sorrows,spotify:track:2b8XoaDGhlHQx1DcdaLrX0,0.34,0.437,0,-8.984,1,0.0426,0.925,0,0.115,0.296,89.947,206920,4,58.40618,9
Killing Floor,Kaleidoscope,spotify:track:1hOPXfvRZS9AgBP03q4yGh
Hippie Hippie Hourrah,Jacques Dutronc,spotify:track:0rVCtvXYg2mnj9cDCMCPyA,0.263,0.438,9,-9.022,0,0.0601,0.74,0.19,0.473,0.57,172.551,193933,3,54.70596,8
Come Away Melinda,The Big Three,spotify:track:6gyAXOzofdrxdXVyYY9LGc,0.315,0.328,0,-9.543,0,0.0294,0.814,0,0.176,0.205,108.682,190493,4,33.61506,10
"Mercy, Mercy",The Remains,spotify:track:3TlgTkexX4cG1EXe7SKHcV,0.653,0.777,2,-8.394,1,0.0319,0.133,0.0137,0.129,0.857,133.173,155107,4,22.19871,10
Fallen Angel - Remastered,Michele,spotify:track:44BzmR1KBzU9iMkXf3fOix,0.267,0.419,2,-11.425,1,0.0343,0.0981,0.13,0.108,0.619,83.262,212240,4,42.53936,9
Venus,Shocking Blue,spotify:track:0Z3xhSOhrawLV81YdiDiiJ,0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,128.111,187533,4,31.98156,11
Black Angel's Death Song - Alternative Mix,The Velvet Underground,spotify:track:2zaFdjAhIN8zPbfjK9A0n0,0.334,0.553,7,-9.712,1,0.0475,0.451,0.0694,0.135,0.402,122.12,195973,3,36.48655,10
Don't Turn Away (From Me),Collectors,spotify:track:5IvnDBMRHMNYJFP0AQpeYv,0.566,0.481,7,-13.642,1,0.0318,0.374,0,0.142,0.524,115.045,192000,4,39.28284,9
Baila la Pulga,Los Brincos,spotify:track:28B2LwjfIfLCqswIUmDva8,0.336,0.967,9,-5.249,1,0.0884,0.34,0,0.142,0.484,168.459,117200,4,37.38897,9
Love Buzz,Shocking Blue,spotify:track:3kH1ziuJCIV1m3JZ8VKmaM,0.69,0.548,10,-9.587,0,0.352,0.0259,0.00243,0.106,0.717,121.509,225533,4,88.46435,7
I'll Be Your Mirror,The Velvet Underground,spotify:track:4PINSJIlBWsnVeveicq1S8,0.609,0.295,7,-14.933,1,0.0328,0.176,1.86e-06,0.0859,0.279,108.976,134040,4,111.09866,4
Secret Agent Man,Mel TormÃÂÃÂ©,spotify:track:6Kpsabh77p8aOAO7EqfKEw,0.558,0.362,10,-15.075,1,0.106,0.435,0,0.0858,0.916,166.631,155800,4,28.09986,9
Fly Away,The Blues Project,spotify:track:7iN29MnHEii5mKuV1Gws6L,0.478,0.487,9,-11.32,1,0.0345,0.734,7.87e-05,0.327,0.759,98.484,214053,4,56.19985,10
Final Song,Under Milkwood,spotify:track:1Pxz3q34G8Z0T6uZag3u9V,0.289,0.507,2,-9.459,1,0.0397,0.147,0.000156,0.103,0.436,171.463,370693,4,40.63731,16
Ridin' High (with Neal Hefti & His Orchestra),Doris Day,spotify:track:5ytRVR9A58IQc7SaruvrVJ,0.545,0.128,8,-15.285,1,0.0488,0.849,0,0.0609,0.391,131.79,123973,4,115.81523,3
European Son - Alternative Version,The Velvet Underground,spotify:track:4HWTsTy90S4q0BraXMDW19,0.306,0.763,2,-11.531,1,0.0988,0.000471,0.801,0.111,0.593,153.567,542547,4,32.68582,29
Monk Time,The Monks,spotify:track:6GjdtrmCSD3ENVp3uE5FcM,0.613,0.888,5,-6.95,1,0.0806,0.211,0.00231,0.0751,0.632,131.086,164667,4,29.99156,8
Book Song,Fairport Convention,spotify:track:5X2I1Xo5E6hlXlIUFnjdfa,0.598,0.238,7,-15.11,1,0.0279,0.272,7.79e-05,0.125,0.324,89.821,193507,3,27.47447,10
Too Young,Prufrock,spotify:track:1CqieVuUxywYWdrsrur7At,0.432,0.836,4,-5.381,0,0.0696,0.659,0.282,0.0977,0.574,108.843,190867,4,30.04781,6
"Young, Gifted And Brown",Joe Bataan,spotify:track:0sBzQAvZi57pVWw6SRu3MJ,0.595,0.723,1,-8.434,0,0.0455,0.409,0,0.144,0.811,103.592,179427,4,53.1137,8
Let The Sunshine In,James Last,spotify:track:4FKpJRRaIij4Yt9LfDTbbP,0.614,0.513,0,-15.048,0,0.0308,0.00643,0.928,0.0801,0.698,131.504,146306,4,78.56774,5
Come And Buy My Toys,David Bowie,spotify:track:3zj5ps7Zf8fwqHmHxNuhjz,0.627,0.188,7,-16.865,1,0.0453,0.842,1.62e-06,0.106,0.539,106.177,130587,4,27.99802,6
Poison - 2015 Remaster,Bert Jansch,spotify:track:3QUzLzqm5Rp6Hy0j9nHziU,0.72,0.484,2,-14.468,1,0.0328,0.633,0.00457,0.0925,0.622,93.941,196253,4,20.39622,9
Drown My Heart,Hector Rivera,spotify:track:3cAyhvkFnvwHjwcGqofF7k,0.577,0.458,5,-10.799,0,0.039,0.664,4.39e-06,0.699,0.708,123.809,183800,4,20.46446,9
I Wouldn't Buy a Used Car from Him,Norma Jean,spotify:track:1GZnoHAJgVbOL5wjZfS0pd,0.667,0.724,5,-7.326,1,0.0297,0.445,0,0.18,0.892,110.373,120053,4,44.23645,7
Surf Stomper,The Sentinals,spotify:track:6mxthspqG4ypvelDl5bidD,0.629,0.726,9,-10.611,1,0.0356,0.655,0.875,0.116,0.963,141.628,111773,4,17.64596,7
Ladybird,Writing On The Wall,spotify:track:7nM0p9D0qXKC5NoEkec3oz,0.224,0.832,0,-7.355,1,0.0542,0.00552,0.00547,0.114,0.532,162.999,227853,4,29.35175,12
Introduction: Scrap Book - 2017 Remaster,Clouds,spotify:track:7N02EFC8WuA4B9DmLR6Mis,0.563,0.0421,4,-23.75,0,0.0382,0.864,0,0.11,0.369,95.19,68413,4,22.43631,5
Walk Alone - The Factory Rehearsal,The Velvet Underground,spotify:track:3SeDIxD725Ww1YfwQAcLks,0.335,0.311,11,-19.334,1,0.0424,0.87,0.436,0.152,0.111,92.309,207840,4,37.90785,9
Remember a Day,Pink Floyd,spotify:track:2YcxeBmk9hvMH7RFFyqnIr,0.334,0.651,11,-11.734,0,0.0402,0.23,0.631,0.0898,0.341,121.955,272853,4,17.62969,11
If I Ride This Train,Joe Johnson,spotify:track:0pHUCb1RmWKLaoPT6uLvWn,0.7,0.213,6,-23.627,1,0.934,0.878,0,0.147,0.641,78.147,92667,4,25.76955,5
Lazerander Filchy,49th Parallel,spotify:track:02WXQrZvWZx46WuribAeOi,0.532,0.402,9,-9.816,1,0.0286,0.834,1.74e-06,0.197,0.596,86.569,182987,4,65.47527,9
Whew,Dave Grusin,spotify:track:6PCZHkz82BaNoZf9VNcVuc,0.398,0.246,7,-20.356,1,0.102,0.573,0.452,0.159,0.0943,127.576,130053,4,51.36692,6
The Legend Of Xanadu,"Dave Dee, Dozy, Beaky, Mick & Tich",spotify:track:4DYp1pEg6ebDJkChzvxjOi,0.403,0.902,9,-4.828,1,0.0498,0.0121,0.00857,0.0975,0.691,76.706,216373,4,39.95987,10
What's Your Name,The Motions,spotify:track:22Ow5qOqdsNSoxOIXV218R,0.647,0.315,0,-14.328,1,0.045,0.688,0,0.111,0.66,101.099,64867,4,50.172,3
Broadway Combination,Dyke & The Blazers,spotify:track:6tdkPyB2ug91EVfQZ1CYwj,0.632,0.518,10,-7.988,0,0.0361,0.153,0.0212,0.0722,0.896,128.696,206120,4,28.62125,11
Luckie,Laura Nyro,spotify:track:1c0HMSYtaT5LGLBEUKpHxR,0.568,0.565,0,-5.596,1,0.0455,0.719,0,0.0765,0.789,114.989,180000,4,31.64929,8
Lovin' Things,Marmalade,spotify:track:2oLIDWeTkmH9mLZ3Dy9GcD,0.531,0.632,7,-7.528,1,0.031,0.403,0,0.0709,0.732,126.098,185493,4,48.74232,10
Black Pearl,Sonny Charles And The Checkmates Ltd,spotify:track:0I1M0ETI5gHAHe2dwrdrlm,0.378,0.759,2,-6.016,1,0.0319,0.813,0.532,0.584,0.804,95.121,207227,4,54.25819,7
Aries,Writing On The Wall,spotify:track:4uT0YnGAaKFjK8iKxCyjc0,0.307,0.664,2,-9.163,1,0.0775,0.16,0.169,0.129,0.33,105.085,489987,4,57.24053,20
When Rain Is Black - Stereo,The Deep,spotify:track:0vBYPUNWQglua8FaMoSUB1,0.284,0.122,11,-19.836,0,0.033,0.0656,0.000166,0.152,0.0708,154.479,133147,3,31.74139,7
Sometimes I Think About,The Blues Magoos,spotify:track:23fMtT3EAnM0Nz3DPVKQxL,0.242,0.55,7,-8.859,1,0.0304,0.348,1.2e-05,0.142,0.385,175.656,250960,3,22.96366,10
Portrait,Coven,spotify:track:33RHZ3DASfHIVkuN4zrEuT,0.524,0.364,11,-11.563,1,0.0252,0.802,0.00121,0.13,0.397,96.011,157200,4,34.74835,9
Stop,The Weeds,spotify:track:1YKsHVQw34ScL7WwpZFMmf,0.368,0.68,9,-7.782,1,0.0306,0.552,0.015,0.155,0.543,146.685,239560,4,57.56641,9
Bat Macumba,Os Mutantes,spotify:track:37DLAQUXsHHuyxwfieh8wh,0.6,0.932,6,-2.739,1,0.193,0.0986,0.00264,0.104,0.637,122.918,190453,4,26.74306,8
A Friend You Know but Never See,Mighty Baby,spotify:track:0CQryO9MyLC1sDXizQ3yEJ,0.422,0.784,0,-13.802,1,0.0715,0.0102,0.251,0.266,0.378,141.212,267493,4,56.76678,10
"Melody Laughter - Live At Valleydale Ballroom, Columbus, Ohio / 1966",The Velvet Underground,spotify:track:2qBi3zGa2fVVbLjjLos04b,0.38,0.533,0,-13.197,1,0.044,0.389,0.563,0.171,0.392,124.187,1706720,4,28.35307,72
Heroin - The Factory Rehearsal,The Velvet Underground,spotify:track:5v0BhFwLopIhyfBFnqxYdm,0.0775,0.451,5,-12.289,1,0.0413,0.553,3.66e-06,0.119,0.212,68.489,375120,4,13.93402,12
Make It Legal,The Motions,spotify:track:0eRNePn6jv0LtxAzFD58LI,0.545,0.759,4,-7.687,1,0.0648,0.135,0.0317,0.519,0.677,99.844,200547,4,27.69291,9
I Can Never Say,The Pretty Things,spotify:track:15tsbEqqcKiKjgK2R2fVI1,0.521,0.794,9,-9.024,1,0.0345,0.218,0.000519,0.652,0.891,99.526,156549,4,37.00071,7
Black Gold,Gene Harris & The Three Sounds,spotify:track:4Vc200GlaMXrjbS0kEPnlV,0.723,0.879,0,-6.548,1,0.0287,0.654,0.0393,0.0944,0.889,130.27,207029,4,38.40128,11
Night Time Is the Right Time,The Sonics,spotify:track:5LQVs5I0r6PngDCELhQzAi,0.612,0.827,0,-6.337,1,0.0465,0.551,0,0.0726,0.596,105.539,178133,3,36.04871,9
Koeeoaddi There - 2010 Remaster,The Incredible String Band,spotify:track:5b2a3EwlierAubBmzyzZcg,0.365,0.297,0,-11.92,1,0.0333,0.698,0,0.141,0.151,96.294,286320,4,39.90133,9
Femme Fatale - Mono,The Velvet Underground,spotify:track:0pygbYoagPtMts7nJjZPkg,0.318,0.121,0,-14.526,1,0.0356,0.967,5.03e-05,0.0896,0.144,207.834,158387,4,28.46374,10
She's Coming Home,The Blues Magoos,spotify:track:2KuUB3XueS4F86tec7iDAA,0.414,0.675,3,-9.334,1,0.042,0.541,0,0.0785,0.733,125.723,162400,4,24.64041,9
Supernatural Fairy Tales,Art,spotify:track:0wsQNI6UR6mSVeJauESWkT,0.373,0.951,0,-6.726,1,0.098,0.00595,0.00438,0.284,0.434,143.642,216720,4,17.65645,12
I can see for miles,Lord Sitar,spotify:track:60SG6KCc4ixZTxeJqUnihn,0.374,0.677,2,-7.923,1,0.0319,0.287,0.000483,0.208,0.736,142.228,221333,4,35.99246,13
Once Before,The Remains,spotify:track:0z1IkoZpBxVpzf9LCLKueG,0.467,0.861,4,-7.586,1,0.0474,0.552,0,0.131,0.871,143.753,126120,4,32.1952,7
All Good Things,The Remains,spotify:track:2CV0L1CfgeJf8lToHFUs4c,0.468,0.685,0,-7.347,1,0.0347,0.307,0,0.0803,0.802,122.714,134147,4,16.8178,11
I Wanna Be There,The Blues Magoos,spotify:track:70MGv2i8l4SqG5YMQeqVFz,0.376,0.839,2,-5.233,1,0.0761,0.324,2.41e-06,0.275,0.68,152.979,177240,4,19.30641,12
Johnny B. Goode,The Astronauts,spotify:track:21ra74ZfdrlcunhGV5yxyZ,0.389,0.947,2,-9.247,1,0.0726,0.35,0,0.807,0.811,163.164,168213,4,21.24696,7
Venus In Furs - Alternative Version,The Velvet Underground,spotify:track:707829ylf9OUun5W32nWSx,0.244,0.594,7,-10.397,1,0.0566,0.0799,0.659,0.0687,0.309,166.908,269467,4,41.7519,14
Worried Life Blues,The Blues Magoos,spotify:track:3BFy1p2oS9bXY2uk9l5jVL,0.256,0.523,7,-10.614,1,0.0335,0.603,0,0.052,0.382,176.585,231293,3,56.29867,13
Blister On The Moon,Taste,spotify:track:6fGTwrORSxE6rmX9OzQNbN,0.393,0.588,9,-15.232,1,0.04,0.0144,0.0102,0.238,0.509,136.535,204893,4,26.62283,10
I've Waited So Long,The Motions,spotify:track:2cGVKQgTa2bEMW21CB10cr,0.408,0.928,0,-8.682,1,0.15,0.228,2.99e-06,0.501,0.671,101.195,115187,4,52.64996,5
The Nile Song,Pink Floyd,spotify:track:4YJ1sPlEa0nSUVzsLlZ7Zz,0.135,0.835,3,-9.112,0,0.0496,0.00456,0.0056,0.0364,0.269,182.613,206960,4,41.33232,11
You've Got What I Want - Single Version,The Sorrows,spotify:track:3TfMfqmojATnJGG8ovhKyM,0.362,0.931,0,-6.129,1,0.106,0.0719,0.0207,0.297,0.522,93.462,118560,4,52.94578,6
