Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
Gangsta	Bell Biv DeVoe	spotify:track:1XgiaKAh3lzjaABhHUB0IX	0.724	0.778	1	-8.924	1	0.0618	0.00151	0.112	0.387	0.768	112.518	269067	4	22.44643	10	1
Do You Want to Know a Secret?	Billy J. Kramer	spotify:track:5CgLuHE3B4mKTI2yIDXaXR	0.533	0.538	4	-9.829	1	0.0312	0.763	0	0.394	0.741	137.495	123667	4	43.34693	7	0
Invision	Chris & Cosey	spotify:track:26xEA4zi7HNwPtR9wY3TO2	0.516	0.259	5	-22.183	1	0.0322	0.651	0.86	0.113	0.416	103.97	430160	4	24.94465	22	0
U Don't Know Me (Like U Used To)	Brandy	spotify:track:1iuwzRxWxDB7VbBldAtmrP	0.782	0.449	5	-4.233	0	0.0443	0.00284	0.0623	0.0921	0.816	95.013	267960	4	22.33906	12	1
When I'm Back On My Feet Again	Michael Bolton	spotify:track:47SOobTLWvyZpUfpmuUARJ	0.429	0.326	5	-12.703	1	0.03	0.377	0	0.101	0.185	77.849	228267	4	21.60423	11	1
Night Goat	Melvins	spotify:track:5JSk2ijn31XVo0x0wHyWTc	0.462	0.884	10	-8.888	1	0.0364	0.00327	0.735	0.125	0.247	141.197	281067	4	80.17474	13	0
Ooh La La	Rod Stewart	spotify:track:1xQeNjkcWb2at409bfedop	0.405	0.681	5	-8.755	0	0.0359	0.0213	0	0.0748	0.598	151.235	256133	4	28.66053	14	1
To The Moon And Back	Savage Garden	spotify:track:6FRtjadDsEhZIQIlh1loEM	0.584	0.76	0	-7.369	0	0.0359	0.0205	7.25e-06	0.1	0.325	104.101	341067	4	24.32685	10	1
Chasin' The Wind	Chicago	spotify:track:5MhKJbDDBve7H2UMSpAhKo	0.408	0.65	7	-5.844	1	0.0329	0.201	2.3e-05	0.344	0.271	80.116	258667	4	35.40152	8	1
Children	Robert Miles	spotify:track:4wtR6HB3XekEengMX17cpc	0.604	0.755	0	-10.761	1	0.0337	0.000295	0.812	0.0625	0.388	137.064	243267	4	35.42465	8	1
You're a God	Vertical Horizon	spotify:track:758wp6xs3ADdgIwdeHoXmX	0.65	0.851	5	-6.519	0	0.0303	0.00117	3.39e-05	0.0937	0.294	96.651	218760	4	40.39356	8	0
It's Electric	Diamond Head	spotify:track:1AR2VBeuqLQJYgsF33Pbgv	0.469	0.762	5	-12.566	1	0.0384	7.61e-05	0.118	0.101	0.751	90.853	206560	4	53.32249	8	0
Galileo	Indigo Girls	spotify:track:1Q0DVZhtZJZs9t45b8zNSD	0.49	0.701	5	-7.94	1	0.0394	0.708	0	0.119	0.785	102.504	252960	4	77.06826	8	1
Thank U	Alanis Morissette	spotify:track:3CVDronuSnhguSUguPoseM	0.672	0.616	0	-5.764	1	0.0258	0.379	2.73e-05	0.0887	0.566	92.094	258773	4	32.53936	9	1
Spanish Harbour	Vangelis	spotify:track:6PKyIEkpoyOh9K47NdHTzG	0.564	0.461	2	-15.854	1	0.0347	0.168	0.783	0.342	0.402	156.762	402493	4	41.03035	16	0
Too Late To Turn Back Now	Cornelius Brothers & Sister Rose	spotify:track:2OyaNAq8BcGstyzueloqpE	0.516	0.73	7	-7.136	1	0.0494	0.344	0	0.425	0.907	115.126	198693	4	37.6022	8	0
Inherit The Wind - 12" Version	Wilton Felder	spotify:track:43XY9s9zUjedNh6ALN1y4Q	0.771	0.6	0	-11.441	0	0.0374	0.0385	0.18	0.107	0.966	116.265	415907	4	59.41386	16	0
Whiskey In The Jar	Metallica	spotify:track:77gY3WsOnEsq9JOWgBmdLj	0.511	0.972	10	-3.751	1	0.0413	5.36e-06	0.00101	0.19	0.532	132.97	304893	4	101.74054	11	0
Fortune Teller	Sugar	spotify:track:3kFuIYz4jYu1Wgq5HuFnid	0.334	0.994	4	-4.073	1	0.183	0.000607	0.0027	0.619	0.293	164.852	268027	4	75.94101	6	0
Rain	SWV	spotify:track:4G1qRhOk1YY0kewtMaCrMC	0.643	0.486	4	-10.443	0	0.0278	0.337	3.86e-06	0.702	0.146	138.151	264507	3	66.59797	7	1
The Clairvoyant - Live	Iron Maiden	spotify:track:3t2RT0l53O21bfKeybyKin	0.236	0.96	2	-6.809	1	0.0632	0.00676	0.000903	0.7	0.495	103.267	269867	4	46.39979	14	0
Hurting Kind (I've Got My Eyes On You)	Robert Plant	spotify:track:3OmJpNqoJtxO3leWJkk53O	0.528	0.919	9	-7.005	1	0.0761	0.000446	0.00201	0.339	0.514	159.197	251160	4	21.72976	11	1
No Fool No More	En Vogue	spotify:track:1RhaF2Eq1Zg1zR1MIaY9I1	0.53	0.679	2	-5.987	0	0.0523	0.444	0	0.0728	0.338	76.045	257573	4	35.00537	10	1
Does She Love That Man?	Breathe Featuring David Glasper	spotify:track:7Cbz21BW7tzfNtUmaUnEfj	0.55	0.339	5	-14.157	1	0.0295	0.531	0	0.0873	0.301	149.662	287267	3	20.90032	13	1
It's All In The Game	Tommy Edwards	spotify:track:01OFUZ8btJxFI6n5igQUqx	0.332	0.148	3	-17.523	1	0.032	0.864	0.0609	0.206	0.613	70.881	156440	4	99.79165	6	0
The End Moment	Chris & Cosey	spotify:track:5je9svEb0rNjAsA6RpHGot	0.0636	0.144	5	-29.887	1	0.0462	0.401	0.884	0.121	0.0417	72.876	323213	3	51.3751	12	0
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja	spotify:track:4LGMSdeKOUoy5Wf75Je0Hl	0.792	0.694	8	-8.496	0	0.33	0.0619	2.32e-05	0.25	0.804	177.094	309773	4	28.68133	18	1
The Stroll	The Diamonds	spotify:track:4hKtaVTrYqmflvc1jb21MC	0.575	0.685	5	-8.2	1	0.031	0.845	4.93e-05	0.392	0.673	142.719	150360	3	20.90814	10	0
Beyond The Invisible	Enigma	spotify:track:5gPdjsmYkLm5FWT2PXIhnF	0.422	0.773	7	-7.921	0	0.0371	0.0524	0.0166	0.107	0.186	99.004	275200	4	19.95162	11	1
Chunky	Ronnie Foster	spotify:track:0W9dYpl9QDv16vZFf6Eq1F	0.392	0.82	1	-8.949	0	0.0338	0.417	0.907	0.199	0.864	132.405	293200	4	52.60563	12	0
What'd You Come Here For?	Trina & Tamara	spotify:track:1Mg13VMaQj4fhPtQT41vUZ	0.817	0.625	1	-3.643	1	0.0719	0.0508	0.00123	0.058	0.759	102.907	246000	4	44.42429	10	1
Here Comes My Baby	Dottie West	spotify:track:5MmEAUKy8QbNkU7erQapkE	0.384	0.391	2	-9.666	1	0.0262	0.541	0	0.197	0.324	88.395	153480	4	26.32882	5	0
All My Love	London Philharmonic Orchestra	spotify:track:26KMXEdlXswkYDWIIFIz9d	0.148	0.192	9	-18.352	0	0.0361	0.882	0.908	0.0815	0.0609	78.352	635000	4	50.41568	29	0
Forever My Lady	Jodeci	spotify:track:2pY99npaZKTVAyw2DhV9Bo	0.707	0.5	9	-15.198	0	0.0387	0.136	0	0.237	0.77	117.997	320360	4	17.0905	13	1
Take Some Time	Sparque	spotify:track:38Cb1yZUbZSlXqqfS5xies	0.729	0.711	11	-10.515	1	0.0799	0.0413	0.0453	0.0399	0.964	112.926	309773	4	35.36573	12	0
Nicety	Michel'le	spotify:track:1vw9MuorZMUxhsQBGsgyo1	0.83	0.712	11	-7.447	1	0.0446	0.0105	0.24	0.049	0.814	103.141	211160	4	56.5586	9	1
All I Want	Susanna Hoffs	spotify:track:53m1rGnPJVtI0zUryVyL9N	0.617	0.559	4	-5.738	1	0.0269	0.0359	0	0.141	0.664	111.747	198373	4	28.0558	11	1
Love II Love	Damage	spotify:track:1m1xRfGOhuGUdgbqfU0U0B	0.803	0.684	6	-7.668	0	0.0351	0.0801	0	0.0887	0.626	97.011	267093	4	36.12207	7	1
If I Say Yes	Five Star	spotify:track:7ajCddd4v6rYvmixeVIklF	0.665	0.915	10	-8.501	1	0.0537	0.0227	0.0375	0.356	0.888	120.126	243400	4	33.7055	13	0
Hot Spot	Foxy Brown	spotify:track:27vsyn5d9HPSkeLleEnL1x	0.895	0.768	10	-6.798	0	0.308	0.000687	4.58e-05	0.0413	0.622	92.943	230000	4	70.36948	11	1
My Heart Is Failing Me	Riff	spotify:track:695sRCJTtOHIY5ACQa7qtZ	0.617	0.578	6	-10.632	1	0.0255	0.173	0	0.129	0.518	90.502	260133	4	21.96102	12	1
Opiate	TOOL	spotify:track:6jxVSzwyQflnOfFp7f5EaO	0.289	0.729	7	-9.929	1	0.116	0.000499	0.395	0.128	0.0499	163.113	510587	4	87.70894	13	0
Kind & Generous	Natalie Merchant	spotify:track:6VrjF67WFChXh8uYYBfeRr	0.593	0.611	3	-6.773	1	0.0504	0.35	0.533	0.605	0.473	93.171	241013	4	20.05735	10	0
Every Road Leads Back To You	Bette Midler	spotify:track:2Rqjs2uSnjmbpAMG4T4G64	0.574	0.251	11	-14.57	1	0.0293	0.388	0	0.166	0.128	126.139	227907	4	23.97384	11	1
Here We Are	Gloria Estefan	spotify:track:4asTNYhhrp323lLp81KIKQ	0.694	0.467	9	-14.437	1	0.0329	0.639	1.61e-05	0.0869	0.63	142.132	289707	4	32.93968	14	1
Stand Back - Radio Edit	Stephanie Mills	spotify:track:4UMB0K47DFXWIuLyJLvMJT	0.806	0.683	5	-11.893	1	0.116	0.431	0.00309	0.286	0.718	108.839	310600	4	43.48143	14	0
Garden of Senses	Jon Anderson	spotify:track:7gbQiOh68T3XoMh4510pjU	0.547	0.417	0	-13.967	1	0.0341	0.648	0.0331	0.0765	0.0829	148.136	382320	4	22.61308	18	0
Tobacco Road	Bob Hocko	spotify:track:0Zd4iuGzt9Ej5fMbbNLwwI	0.333	0.445	11	-6.502	0	0.0394	0.00171	0.483	0.194	0.145	128.729	293840	4	31.02911	10	0
I Miss My Baby	The Tremeloes	spotify:track:6QBxUi0KsyFxfkI1lRsWEn	0.413	0.623	9	-7.706	1	0.0287	0.626	3.56e-06	0.149	0.277	109.312	175387	4	15.78744	9	0
Speed x Distance = Time	Blonde Redhead	spotify:track:1H6UmJsGnhRYm7ovSLxdFE	0.472	0.646	1	-8.237	0	0.0283	0.225	0.00169	0.078	0.498	122.09	234400	4	60.13619	7	0
Roll on Babe	Ronnie Lane & Slim Chance	spotify:track:1OzhRpXrFUFPsjs6SDmemU	0.487	0.35	4	-14.03	1	0.043	0.773	0.0101	0.0677	0.772	163.781	200987	4	28.1253	10	0
On Green Dolphin Street - Live At The It Club, Los Angeles, CA/1970	Gene Harris & The Three Sounds	spotify:track:3hIMXAsKqBm3zJlFRAMwfI	0.459	0.157	3	-21.589	1	0.0441	0.649	0.886	0.544	0.35	185.51	442493	4	68.33465	21	0
I Knew You When - Original	The Buckinghams	spotify:track:6RbJqJ5wrGW8GZWhfMyxvk	0.786	0.508	1	-9.714	1	0.0453	0.508	6.69e-06	0.0902	0.647	122.094	277840	4	48.32453	13	0
She's Not Cryin' Anymore	Billy Ray Cyrus	spotify:track:5dlXZv1VpEbDgKUQgsTWJV	0.611	0.309	2	-12.084	1	0.0246	0.344	1.82e-06	0.338	0.606	88.556	205773	4	36.38411	11	1
I Got The Hook Up!	Master P Featuring Sons Of Funk	spotify:track:3qEEoMccf3U90pM47dbQtX	0.608	0.704	11	-5.655	0	0.258	0.0447	0	0.397	0.818	79.302	256013	4	57.84832	10	1
Cupid	112	spotify:track:3kVIFDE3G89I2RPVkiRaRj	0.685	0.38	8	-11.219	1	0.112	0.373	0	0.0371	0.87	175.562	252267	4	28.82987	11	1
How About That	Bad Company	spotify:track:0cpI4jYr4D2W7knJg4nvKn	0.661	0.504	2	-10.176	1	0.0279	0.00103	0.0174	0.0735	0.156	113.129	326707	4	35.10424	14	1
When I Grow Up	Garbage	spotify:track:0jh0sSxteIjHCBIppejg8k	0.58	0.846	7	-7.72	0	0.0379	0.000762	0.000649	0.8	0.796	139.681	204484	4	29.45556	10	0
Go For Soda	Kim Mitchell	spotify:track:7jPHNXpJCVZQvSRf4F1WLB	0.626	0.719	10	-9.422	1	0.0356	0.0012	0.000775	0.12	0.697	124.126	206440	4	24.53442	12	0
Hit By Love	CeCe Peniston	spotify:track:5rFjHAGSOv7PdK4vYfl6eS	0.774	0.929	8	-8.76	1	0.0404	0.00154	0.000467	0.133	0.765	119.03	275667	4	66.21707	11	1
We Danced Anyway	Deana Carter	spotify:track:4fOFOwrAHA9PdhOL7lciok	0.629	0.721	6	-3.722	1	0.0277	0.502	0	0.307	0.651	94.054	202533	4	36.43378	7	1
Another You, Another Me	Brady Seals	spotify:track:3XA6fH5pqQSjTnH7xhCwsZ	0.611	0.406	0	-8.71	1	0.03	0.323	0	0.0841	0.154	123.492	232773	4	34.72991	11	1
Sway	Bic Runga	spotify:track:35PYCZLdGi3gRMdA26dZ59	0.565	0.429	9	-9.196	1	0.0261	0.157	0	0.13	0.266	95.701	262493	4	24.65783	13	0
Groovin'	Booker T. & the M.G.'s	spotify:track:29bU062RLWPo6OR6rjonrN	0.723	0.228	4	-17.689	1	0.0328	0.318	0.725	0.159	0.839	107.371	163800	4	28.62341	10	0
Significas Todo Para Mi	Alberto Vazquez	spotify:track:5H4ro3Egc2eoQWgiPyJpul	0.356	0.327	3	-9.219	1	0.0289	0.785	2.22e-05	0.351	0.453	110.358	160624	3	24.29135	10	0
Bye and Bye	The Turbans	spotify:track:6FPUDR4smO0xhGSOWBKkUL	0.536	0.462	8	-9.424	1	0.0476	0.685	0	0.35	0.827	106.648	135573	4	19.33642	7	0
The Angel Song	Great White	spotify:track:1JxRLFVoFx2f7zumJwRDSw	0.594	0.21	9	-17.807	0	0.0293	0.685	0.00184	0.0918	0.099	110.415	291067	4	53.15433	12	1
My Up And Down	Adina Howard	spotify:track:3XmaNnRquEYkDjw2ODrjjz	0.712	0.647	8	-4.149	1	0.0987	0.206	1.05e-06	0.046	0.7	140.216	221093	4	44.03005	8	1
Devash	Chris & Cosey	spotify:track:2C9cmPqcx6o50cqrzXqnmg	0.526	0.524	1	-19.372	1	0.044	0.155	0.718	0.101	0.0934	119.911	470200	4	56.67594	19	0
Stayin' Alive	N-Trance	spotify:track:7pcjhiKODADooP7IFPgetr	0.805	0.863	6	-7.853	0	0.0771	0.0515	0.000427	0.98	0.826	106.787	245907	4	31.96659	9	1
Speak Low	Grant Green	spotify:track:4jxfZWelS1CJf6tNADO4xa	0.501	0.644	7	-11.119	0	0.0543	0.793	0.0329	0.2	0.688	128.912	433907	4	21.43697	20	0
Everybody Be Somebody	Ruffneck Featuring Yavahn	spotify:track:5tpVALLHkoSJykjhmE4UQi	0.758	0.874	11	-4.804	0	0.0504	0.00202	0.418	0.0544	0.621	125.007	280320	4	30.73473	9	1
Sinatra	Helmet	spotify:track:5n4HiXIkGjxlBlbeUbbBsv	0.107	0.864	2	-7.513	1	0.0554	0.00123	0.0159	0.0617	0.279	169.319	263000	4	32.33462	7	0
On the Upside	Xena	spotify:track:1S4YVRL02Fmqi9Es3k3rZB	0.68	0.731	0	-12.697	0	0.0751	0.00144	0.0512	0.512	0.903	118.887	351133	4	51.24466	15	0
