Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Illusion Of Time,Black Metal Raccoons,spotify:track:6S9AeyLvGBNvtjoxqkW2Cq,0.483,0.914,7,-6.497,1,0.0506,5.5e-06,0.865,0.135,0.264,130.008,281206,4,24.08287,12
Sid Metal Legacy,Machinae Supremacy,spotify:track:2QfXd8NrGbO0XeFoqZEwHu,0.428,0.859,2,-7.299,0,0.0287,6.23e-06,0.576,0.334,0.372,100.017,158200,4,25.64385,8
Calling,Muni Yogi,spotify:track:4wqD9eGm8zB3f3xYRlC3Bq,0.153,0.0148,6,-34.538,1,0.0482,0.972,0.679,0.122,0.0376,137.103,191237,3,38.42536,12
Samajavaragamana,Sid Sriram,spotify:track:3j9DrRebdWK1jkpOw9FZUy,0.568,0.663,8,-6.179,1,0.0345,0.91,4.82e-05,0.124,0.808,165.203,219818,3,55.4691,8
Physical Education,Animals As Leaders,spotify:track:0JGuSgtmWyfuxLGBs2wX0C,0.57,0.945,1,-5.665,0,0.0567,0.00017,0.827,0.0543,0.53,114.987,280956,4,43.47364,9
Black Metal Is Alive VII,Abrasion,spotify:track:7ln8VHpAzTG3FvstH8QSZ6,0.164,0.256,10,-23.93,1,0.0483,0.993,0.985,0.141,0.196,128.048,389564,4,71.11724,11
Destroyer,The Stills,spotify:track:2eqeNonMdCCdqWaJO7vaVe,0.542,0.769,2,-4.916,1,0.0336,0.000461,0.254,0.0919,0.33,116.024,191493,4,42.17473,6
Rudolph the Red Nosed Reindeer (Heavy Metal Version),Orion's Reign,spotify:track:3IUxODcR9IOJpYIcPEhqfK,0.357,0.825,7,-3.171,1,0.0568,0.00821,0,0.0705,0.526,180.01,133333,4,48.37465,7
Rock And Roll - Live,The Velvet Underground,spotify:track:6AkIGtaVYaAV9cH7nij7Ik,0.473,0.643,5,-11.077,1,0.0347,0.492,0.00135,0.711,0.321,142.245,414160,4,42.11903,11
Jesus Paid It All,Holy Communion Instrumental Duo,spotify:track:6LX9hB0iQiZaukDisDtiV4,0.439,0.219,9,-17.192,1,0.0429,0.99,0.93,0.114,0.226,75.348,183971,3,22.84625,9
Loungin',Guru,spotify:track:2K0WrUkHGTkDIw8DQpMBTK,0.725,0.681,10,-9.823,0,0.202,0.0774,1.13e-06,0.91,0.71,99.074,278227,4,46.69692,13
Sophisticated Savage,Les Baxter,spotify:track:1kbW7vmN04NkdkSpAEgRj7,0.456,0.163,7,-23.139,0,0.0416,0.723,0.0242,0.156,0.723,116.364,135853,4,42.88932,7
Hip Hop & Love,Murs,spotify:track:4hCmFyAChr81lgcp0NpymJ,0.887,0.772,10,-6.127,0,0.22,0.484,1.85e-05,0.11,0.79,96.99,182933,4,20.79824,11
"Poro, re delle indie, HWV 28 : Duetto Cleofide e Poro ""Caro! Dolce! Amico amplesso""",George Frideric Handel,spotify:track:6Avbdv7x2VwoJMvW6kzfEi,0.218,0.0621,5,-22.23,0,0.0455,0.991,7.12e-05,0.105,0.0533,107.684,167453,4,73.24638,8
Gone,Gavin Luke,spotify:track:331iLszrgVOeYNl2KKn12j,0.173,0.0611,11,-25.657,0,0.0342,0.954,0.908,0.111,0.0389,93.118,178927,3,60.09135,5
Statesboro Blues,Blind Willie Johnson,spotify:track:68vumBEmWHDVBtM4Cd1EeH,0.531,0.258,5,-14.041,1,0.127,0.857,8.96e-06,0.347,0.552,169.308,162880,4,34.45429,8
"O Saki Saki (From ""Batla House"")",Neha Kakkar,spotify:track:4cFwhwH5ydnHgB0Tv3lZsm,0.737,0.961,10,-0.155,0,0.0747,0.163,0,0.361,0.567,108.014,191089,4,20.859,11
Airwave [Mix Cut] - Original Mix,Rank 1,spotify:track:26IwKRZHFfH2PgTH2eNXx9,0.651,0.882,0,-9.9,1,0.0426,0.000126,0.891,0.294,0.0653,137.998,347827,4,54.50131,14
"D.N.R. (Do Not Resuscitate) - Live @ Paramount Theatre, Huntington, New York",Testament,spotify:track:540RPIWzBFzCXWfHQDIUXb,0.186,0.934,1,-8.287,1,0.0854,9.28e-06,0.0335,0.719,0.0449,96.611,263187,4,18.37158,9
HyperParadise - Flume Remix,Hermitude,spotify:track:1LQiF6aZfnNgxerxWJRbxw,0.603,0.827,6,-7.372,1,0.0714,0.0453,0.619,0.0833,0.311,144.992,268307,4,27.30218,14
Akuma (feat. Rachel Mcalpine),ALEX,spotify:track:39DQfjkrW2JnVbcTdjaih4,0.81,0.652,2,-7.458,1,0.0457,0.00125,0.0622,0.08,0.565,120.004,234126,4,34.00761,10
"Song Of Mor'du - From ""Brave""/Soundtrack",Patrick Doyle,spotify:track:3AVQq5hpwkuJxAzM3g34hz,0.547,0.741,7,-8.787,1,0.125,0.338,0,0.0602,0.495,120.875,137853,4,37.08509,6
Dust,Hans Zimmer,spotify:track:2khIaVUkbMmDHB596lyMG3,0.121,0.123,4,-23.025,0,0.0443,0.964,0.696,0.103,0.0297,95.182,341396,4,71.05343,15
Roll 'n Rock,Bali Bandits,spotify:track:7p2a3eDdVHD7xlwSFstAsF,0.735,0.866,2,-4.47,1,0.033,0.139,0.00737,0.0668,0.643,128.044,150000,4,45.48827,6
Dog eat dog,The Souljazz Orchestra,spotify:track:32gtSO10v6vgTl0CvikODe,0.725,0.818,0,-7.272,0,0.0299,0.0917,0.000763,0.0881,0.872,116.0,425529,4,40.98398,15
Dil Ki Hai Tamanna,Vijay Prakash,spotify:track:103mJr1oXxLGqeaoGsDo8G,0.639,0.559,7,-7.475,1,0.0427,0.057,8e-06,0.129,0.597,85.939,331558,4,23.01682,16
All Over,Tiwa Savage,spotify:track:23nv9GP4iBcQsCyN1bj2nF,0.831,0.844,1,-4.589,1,0.0585,0.217,0,0.115,0.768,112.048,211292,4,38.86894,7
We R Who We R,"Chunk! No, Captain Chunk!",spotify:track:27YVSySYjPT11wXLcO3PTn,0.501,0.972,6,-2.078,1,0.128,3.45e-05,0,0.109,0.61,132.018,206493,4,36.37793,13
Sketchy Metal,The Hold Steady,spotify:track:5oTBTgFxMm8jEc1wORooJv,0.429,0.562,0,-6.755,1,0.045,0.0187,1.45e-05,0.129,0.358,116.037,255920,4,36.5263,14
Screaming from a Chamber - Live,Living Death,spotify:track:6lH6bphGsSEwnz6YXHMVcT,0.302,0.878,1,-10.617,0,0.0881,0.0109,5.28e-05,0.97,0.18,138.927,396040,4,41.32872,18
"Breakout - Punk Dead, Nah Mate Compilation LP '82",Anti-System,spotify:track:6z55FkZDkgFWE6uWfsiQsv,0.314,0.937,0,-6.127,0,0.0678,0.000552,0.448,0.336,0.539,93.106,117960,4,30.74004,4
Vanitas,Watered,spotify:track:27gESWmg8dejDv2IHXfkvY,0.191,0.881,7,-7.255,0,0.0812,0.00035,0.894,0.0868,0.143,84.128,490680,4,80.81901,17
The Heretic Prevails,Shadow of Intent,spotify:track:5pEynJLDHQw18Nqpci58Ss,0.433,0.997,0,-3.386,0,0.312,0.00383,0.597,0.436,0.0391,140.011,288054,4,122.52501,7
Cry No More,The Cross Movement,spotify:track:2xr5WyYoY17KJ9eaU9Vn3Q,0.827,0.694,11,-3.905,0,0.29,0.268,0,0.0805,0.548,93.014,267480,4,20.81604,13
Feeling Punk - Asle Remix,Todd Terry,spotify:track:12tdr6RaqnKpAHNTdcAeGv,0.739,0.772,4,-10.172,1,0.09,0.00126,0.708,0.0751,0.699,122.997,345854,4,97.5751,8
This Beat - Original Mix,Agent K,spotify:track:6E6lH2j9KHUVLiGEwYRPe8,0.507,0.833,9,-6.234,1,0.0603,0.007,0.157,0.0808,0.198,127.611,258462,4,29.55778,8
And I Love Her,Pat Metheny,spotify:track:6ITNRagpLcw79jH8gkiyBS,0.621,0.113,2,-16.842,0,0.0491,0.97,0.834,0.116,0.203,107.75,262107,4,31.43491,14
Neptune,Sleeping At Last,spotify:track:1RgiH5ucgoEWDKmGyA5drQ,0.602,0.371,9,-11.575,0,0.0322,0.23,0,0.0887,0.211,120.01,280371,4,17.86342,16
Empty Room,Roger Eno,spotify:track:64H22EiabPyDbutMnCD5uz,0.292,0.0062,3,-28.108,1,0.0381,0.993,0.935,0.0995,0.0378,64.736,230425,4,49.04169,11
Where To Now?,Roger Eno,spotify:track:1fj2JSPeWK7YoCsr0ZXOOv,0.559,0.000251,0,-29.365,1,0.0821,0.988,0.913,0.0867,0,67.965,92300,5,29.81211,5
Piece of Metal,Lars Graugaard,spotify:track:0PxoeNxNK9utPXqorOnO0V,0.286,0.509,5,-12.548,1,0.0709,0.925,0.362,0.129,0.0539,103.872,419250,4,33.07356,13
Infant Eyes,Wayne Shorter,spotify:track:1mVrrhxrHAzzUu83NpjrXN,0.247,0.0119,3,-21.038,1,0.0483,0.988,0.704,0.098,0.132,77.255,414840,4,44.57116,21
Nausea,Jeff Rosenstock,spotify:track:4a36plr4LAg42ECHPiGQbj,0.445,0.747,0,-5.857,1,0.0456,0.375,3.48e-06,0.354,0.533,135.219,164286,4,42.94123,6
Instrumental Music for Dogs,Sleepy Dogs,spotify:track:0CgEOd5B3JSlKs6MHMDgJv,0.333,0.0783,9,-17.705,1,0.0405,0.99,0.913,0.112,0.0676,120.592,46133,3,20.47804,4
Bring De Scotch for Christmas,Lord Kitchener,spotify:track:6PkCgo04ixcVBDzrx0qm1c,0.694,0.952,2,-12.42,1,0.0722,0.597,0.00016,0.0513,0.833,126.29,223613,4,55.13804,9
"Reppin N.Y. (feat. Lil Fame, Kool G Rap)",Joell Ortiz,spotify:track:0ZwvXK06Nu8NnmmccKg9Ml,0.671,0.73,6,-7.001,1,0.352,0.286,0,0.229,0.631,93.392,181291,4,23.25407,10
