Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
The Lovers' Waltz Duet,Jay Ungar,spotify:track:5nnIpCkco7JYxvcmmvzFW0,0.312,0.149,7,-14.864,1,0.038,0.98,0.173,0.149,0.484,74.48,207120,4,62.95369,6
Filme Triste - 1990 Remaster,Trio Esperanca,spotify:track:1FO1zHcP20Sk9Br1eJGHEX,0.538,0.136,3,-15.528,1,0.0299,0.771,0,0.102,0.687,112.626,194933,4,40.43923,8
Bloodline (Original Version),The Crüxshadows,spotify:track:3GyMj9MMhUrHsUTulHQhat,0.672,0.686,11,-5.179,1,0.0595,0.0876,0.00862,0.194,0.673,119.954,420000,4,33.66533,14
Texture,Claude Larson,spotify:track:6BlKtvdcuWdyg9M3VumPEJ,0.589,0.352,1,-16.238,1,0.035,0.823,0.879,0.0835,0.336,106.019,268200,4,29.07294,14
Long Lost To Where No Pathway Goes,Summoning,spotify:track:6jPQuZQnyRQQD9EoV4bV2Y,0.138,0.846,3,-5.372,0,0.0667,0.0178,0.824,0.0668,0.283,81.862,443467,4,86.24529,15
Rue St. Vincent,Yves Montand,spotify:track:22aRQ1fGmxU116u61dS0lU,0.538,0.214,0,-15.671,1,0.135,0.961,0.000107,0.165,0.437,103.696,201573,4,19.11506,11
Dome Of Yellow Turtles,Edgar Froese,spotify:track:29lroipsbA8KijG5lVg5A9,0.507,0.448,9,-10.312,0,0.0287,0.388,0.845,0.35,0.093,94.89,312360,4,35.51758,19
TOBIUME,Susumu Yokota,spotify:track:5JpfGKhIFJqGYdTf8wlr8q,0.241,0.254,6,-17.03,1,0.0416,0.994,0.88,0.0639,0.0378,138.97,278693,5,33.33994,13
"Sonata, Op.143a - Adagio, Ma Non Troppo",Vagn Holmboe,spotify:track:1SQmK9QofZl3qO2MAuXuhP,0.156,0.00217,2,-32.645,1,0.0465,0.956,0.000898,0.132,0.0985,74.833,161515,3,26.57168,9
Huntington Ashram Monastery,Alice Coltrane,spotify:track:5mONFtMn8yHhOWGF5wwX2U,0.547,0.405,5,-15.534,1,0.05,0.764,7.34e-05,0.116,0.632,116.813,333307,4,33.246,13
Disfigured,Cannibal Corpse,spotify:track:67gauLFb25vQYR7qMhNnTT,0.245,0.915,1,-8.992,1,0.0718,9.86e-05,0.704,0.633,0.482,101.017,228733,3,31.70419,9
The Devil In Miss Jones,Mike Ness,spotify:track:59oD2JbcFRLcnhgQvQL1Kx,0.539,0.937,10,-5.74,0,0.0448,0.000236,0.0574,0.0915,0.492,114.86,230693,4,66.63641,8
Analogue Rock,Stereolab,spotify:track:6bCqUryAdyRR8ATRCxyfmG,0.347,0.443,4,-14.969,1,0.0341,4.75e-06,0.0951,0.0731,0.371,140.845,253067,4,30.30699,10
Misty Roses,Astrud Gilberto,spotify:track:50RBM1j1Dw7WYmsGsWg9Tm,0.527,0.316,1,-15.769,1,0.031,0.693,0.00699,0.168,0.543,116.211,158840,4,53.89523,6
POKKA POKKA,Fishmans,spotify:track:2diC2THH55uAw4GGpZQjwn,0.63,0.378,0,-11.204,1,0.0346,0.796,0.0137,0.117,0.229,97.973,244640,4,20.56308,10
The Golden Vanity,Jez Lowe,spotify:track:3ys8bWgBBlC0ajBf2asMu4,0.562,0.199,7,-19.042,1,0.0391,0.818,0,0.194,0.704,125.272,234600,4,21.06273,12
