Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Pop Music - Early Version,R. Stevie Moore,spotify:track:2ZtH2j4DfiSiPb52sPXO5O,0.446,0.386,7,-17.752,1,0.0786,0.0311,0.00186,0.102,0.377,175.806,203920,3,27.97545,11
Señora De Tal,Vicente Fernández,spotify:track:2qRPJ8fJNXqfkFgOws7hzY,0.42,0.306,7,-8.998,1,0.0641,0.262,0,0.417,0.445,87.74,189933,4,29.36528,8
The Art of Happiness,Jean-Luc Ponty,spotify:track:78wL7Xal9HycTXnSyuYzMZ,0.549,0.652,4,-14.167,0,0.0352,0.0609,0.964,0.224,0.702,128.475,269027,4,46.41653,9
Na Real Sekele Fo' Ya,Pasteur Lappe,spotify:track:61CV0JyrE4BbyvPrsrgFB6,0.787,0.592,9,-14.847,1,0.0594,0.158,0.356,0.333,0.9,116.735,381867,4,42.79951,19
Hei De Esquecer (Me Olvidaré),Reginaldo Rossi,spotify:track:4BI5BPGKC50mYufLeIbc4j,0.73,0.662,1,-13.939,1,0.128,0.554,0.00165,0.128,0.969,93.357,155200,4,38.4468,7
I'm a Conservative,Iggy Pop,spotify:track:5Uq4h4aQtPsYw9hkLs5zzR,0.319,0.769,11,-10.021,0,0.0574,0.000433,0,0.174,0.291,137.644,238627,4,46.35422,8
Honky Tonk - Live,James Cotton,spotify:track:5o6SDHpvuDnCndAfP4g89M,0.373,0.776,9,-7.745,0,0.115,0.022,0.00307,0.307,0.911,115.931,257333,4,77.41837,11
El Xicot Canta Molt Bé,Al Tall,spotify:track:3jzegZ4r2pArB2VjGIJ6D3,0.498,0.354,9,-10.327,1,0.0466,0.846,1.85e-06,0.0582,0.414,80.467,174213,4,25.37508,8
Coluna Do Meio,Zeca Do Trombone,spotify:track:7bBn2Iw0MG8Zvdp0vrDhQr,0.57,0.671,4,-11.336,0,0.0511,0.0673,0.00622,0.0652,0.852,114.806,177827,4,24.85938,11
Good Morning Little School Girl,Muddy Waters,spotify:track:5RtYCgEeHdycKZWr9PUJNA,0.455,0.688,2,-9.882,1,0.0356,0.73,0.839,0.301,0.809,167.959,196000,4,29.41502,8
Harmony in My Head,Buzzcocks,spotify:track:1bagOWgCY6ZYVI0rrzz6Y2,0.318,0.911,9,-6.989,0,0.137,0.0104,9.94e-06,0.36,0.462,171.61,187000,4,87.92436,7
Liczenie od konca,Adam Makowicz,spotify:track:7fPTACkLSBgST4zT7VMLna,0.425,0.205,2,-20.974,1,0.0446,0.995,0.949,0.113,0.269,92.142,179293,4,122.8989,5
Sad Sad Day,Muddy Waters,spotify:track:7MtTOg86IBLphq4YU3t31z,0.362,0.641,9,-9.224,1,0.0421,0.407,0.0201,0.184,0.57,173.743,323227,3,36.70889,16
Sodoma E Gomorra,Erasmo Carlos,spotify:track:3eICaYaapc9KPw4y0AVRPB,0.24,0.492,2,-7.193,0,0.0311,0.653,0,0.169,0.448,80.961,137893,4,79.71125,5
Se Segura Malandro,Jorge Ben Jor,spotify:track:3LyeB5mKdybZ7zjgjH9fcz,0.535,0.847,7,-7.553,1,0.0497,0.723,0.107,0.0883,0.943,157.729,174320,4,28.0375,9
Dead Faces,Pholhas,spotify:track:3NdqpU3WQbREXMYaIMrlUk,0.515,0.646,6,-10.022,0,0.0385,0.00557,0.095,0.146,0.76,129.786,120693,4,47.34036,6
Coroné Antonio Bento,Tim Maia,spotify:track:5GzX9ZgX16D1F2her7bEsv,0.714,0.636,9,-8.589,1,0.217,0.0215,0,0.129,0.786,87.213,131626,4,33.51394,7
