Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Then Came You,Dionne Warwicke & Spinners,spotify:track:2ARBXxaM4pzXhGpFoZPAg7,0.803,0.73,9,-7.458,0,0.0608,0.643,0,0.585,0.816,116.626,240240,4,40.51196,10,1
Take Me to the River - 2005 Remaster,Talking Heads,spotify:track:1oV1tu8utgHQjLJsEK9sVl,0.66,0.485,2,-8.101,1,0.0258,0.242,0.0102,0.0585,0.829,99.828,302520,4,100.8555,11,0
EFS No. 99 "Can Can",CAN,spotify:track:2dkyFqYFw1Qg3269v314QQ,0.436,0.936,0,-6.162,1,0.0377,0.00672,0.868,0.0728,0.962,155.03,192960,4,22.58978,13,0
Lake Shore Drive,Aliotta Haynes Jeremiah,spotify:track:46MX86XQqYCZRvwPpeq4Gi,0.434,0.885,4,-7.367,1,0.0396,0.204,0,0.0811,0.843,93.999,235173,4,46.51447,12,0
Eddie's Love,Eddie Kendricks,spotify:track:1GnZ2BX4a6ob0TBSj8xHQO,0.637,0.608,8,-12.755,1,0.034,0.285,8.24e-05,0.0959,0.846,95.783,209867,4,34.64909,10,0
Bloody Well Right,Supertramp,spotify:track:2SmlWvdYG6FsagxN3FkHMI,0.575,0.446,3,-13.839,1,0.105,0.426,0.0175,0.0656,0.532,75.501,272432,4,39.50297,11,1
She Believes In Me,Kenny Rogers,spotify:track:5ggOAMsJCAYDHnyoqJ0xAD,0.32,0.413,10,-12.472,1,0.0314,0.484,4.97e-06,0.346,0.313,142.765,258720,4,35.50729,14,1
Alipid,Sandro Brugnolini,spotify:track:7D0DNQyALn3LUJ6q2EwdQI,0.375,0.368,9,-15.864,0,0.0342,0.0884,0.919,0.107,0.74,142.047,227684,4,31.78077,12,0
Gettin' Ready For Your Love,Minnie Riperton,spotify:track:5jZjUcnzJT9oQXhqC12cou,0.686,0.575,5,-8.57,1,0.0391,0.31,0,0.107,0.828,128.103,218733,4,31.88919,12,0
Christine Sixteen,KISS,spotify:track:5CDjsfoaBs7pTi97rUcNnf,0.643,0.866,1,-7.666,1,0.0412,0.0858,4.49e-05,0.0934,0.92,125.869,192520,4,20.26892,8,0
No Fun - Remastered 2012,Sex Pistols,spotify:track:3k4y4NgljXUpb9JKyAzNTl,0.453,0.887,9,-9.509,1,0.0797,0.0267,0.00111,0.254,0.44,138.751,385027,4,46.13526,12,0
To Know You Is To Love You,B.B. King,spotify:track:4c0Mgs559lG4sPiEC3XcxY,0.872,0.384,0,-16.204,1,0.0388,0.418,0.317,0.0687,0.938,102.597,515000,4,26.14268,31,1
I'll Come Running - 2004 Digital Remaster,Brian Eno,spotify:track:6ZWVeMysm8Q8zZu3lKnY2v,0.589,0.488,9,-13.165,1,0.0322,0.558,0.0461,0.0918,0.811,124.774,229785,4,36.07287,10,0
See the Sky About to Rain - 2016 Remaster,Neil Young,spotify:track:4tYPrKSZJQTocvTiPkA87i,0.424,0.311,7,-13.56,1,0.0879,0.846,0.0364,0.125,0.548,86.569,302040,4,36.42263,11,0
Let Me Make Love To You,The O'Jays,spotify:track:5XTdQEuQhO3sUCcm2K1YnR,0.333,0.634,10,-7.503,1,0.0568,0.589,0.00103,0.163,0.544,176.33,216600,3,43.63721,12,0
Wonderful World, Beautiful People,Jimmy Cliff,spotify:track:7vCEPLGrLHqBHyRPPsweYY,0.782,0.386,2,-15.443,1,0.0302,0.0184,0,0.0525,0.904,105.85,195558,4,20.19359,6,1
That'll Be the Day,Flamin' Groovies,spotify:track:4KOWQHmojlvXcQxkbLSvBF,0.571,0.759,9,-2.068,1,0.036,0.605,0,0.0477,0.96,125.551,141760,4,34.72918,7,0
Science Has Gone Too Far,The Dictators,spotify:track:1RgLU6YM8GsPxaI4rvAsJy,0.21,0.857,9,-12.438,1,0.0586,0.333,0,0.364,0.264,162.971,207261,4,36.92631,11,0
Lovin' You,Minnie Riperton,spotify:track:4twhYPDyCP6ICeW3TtQVxP,0.392,0.213,9,-12.494,1,0.0415,0.903,1.01e-06,0.12,0.312,100.518,203507,3,75.94975,7,1
Shake It About - Remastered,UFO,spotify:track:73zIKJzmZjyRfm1VtJ6iXu,0.349,0.581,0,-7.345,1,0.0839,0.0335,1.71e-05,0.108,0.743,165.569,226987,4,19.9586,13,0
Summer (The First Time),Bobby Goldsboro,spotify:track:0LjdDekNQzCC6n5wac2JEC,0.268,0.344,4,-15.614,1,0.0454,0.624,0.0271,0.342,0.429,168.677,281000,4,24.46206,12,1
River,Joe Simon,spotify:track:4sWKNf3U5cPXG09d8LM38N,0.474,0.791,1,-9.037,1,0.114,0.111,5.17e-05,0.289,0.689,100.086,199027,4,22.56629,8,1
Ricordo del sud America,Arawak,spotify:track:7Gfs31EDWLPyl3iCkekCm6,0.684,0.17,5,-28.546,0,0.0425,0.966,0.908,0.0917,0.946,142.6,129289,4,55.75462,6,0
Failure (Demo),Agnes Strange,spotify:track:1GdeQKIHSbzqInFmPE7awC,0.327,0.677,1,-7.846,0,0.0517,0.0218,0.109,0.0757,0.372,80.737,353333,4,19.22623,21,0
Love From The Sun,Roy Ayers,spotify:track:2kLAhyeljxwmzqDMrFpuZ0,0.57,0.491,6,-13.679,0,0.0455,0.625,0.00618,0.153,0.592,134.317,163427,4,88.14792,7,0
Song On The Radio,Al Stewart,spotify:track:477NR3TPQPWYPj7e1FHFpk,0.658,0.706,5,-7.693,1,0.03,0.0282,0.000715,0.144,0.673,120.185,385880,4,48.76853,17,1
Fish Ain't Bitin',Lamont Dozier,spotify:track:0yk2EFU25dtsa4owrgdXFy,0.435,0.685,4,-10.331,1,0.135,0.158,4.11e-05,0.0499,0.9,165.858,261529,4,51.8445,12,1
Love Theme From "Eyes Of Laura Mars" (Prisoner),Barbra Streisand,spotify:track:2X51AKflJTB6IVPwrbMtMS,0.349,0.427,4,-13.096,0,0.0365,0.271,9.73e-05,0.442,0.273,126.029,233200,4,52.15823,7,1
