Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt,0.698,0.605,9,-11.492,0,0.0302,0.313,0.000238,0.0783,0.8,134.092,248987,4,30.18313,12
Mt. Airy Groove,Pieces Of A Dream,spotify:track:4MAHOtOY1TwYzW2wTZx9BP,0.766,0.516,2,-13.171,1,0.0487,0.00102,0.894,0.0417,0.466,106.865,211480,4,31.34236,8
Corona,Minutemen,spotify:track:2LUVo82IKIpCuBNSaqF0G8,0.47,0.913,7,-10.196,1,0.0343,6.59e-05,0.267,0.222,0.977,130.425,145533,4,38.47022,5
Ramblin' Man,"Hank Williams, Jr.",spotify:track:1fr4yHDvGB7gOcRGCMFokd,0.574,0.404,4,-13.523,0,0.0285,0.416,0.000489,0.1,0.521,105.411,216640,4,30.07577,13
With All My Might,Sparks,spotify:track:6c1ksaCdaa0790s4gWW1Ee,0.707,0.483,0,-11.62,1,0.0287,0.135,7.72e-06,0.055,0.96,111.885,220480,4,16.81207,13
Jardin chinois,Taxi Girl,spotify:track:1vCybJBnCTWSXnev3mOfAx,0.672,0.826,7,-6.642,1,0.0258,0.0177,0.000267,0.136,0.831,129.842,206373,4
I Go Crazy,Flesh For Lulu,spotify:track:4nI98GEywAAxoA0i8Vap4s,0.631,0.814,7,-6.702,1,0.0353,0.012,8.2e-05,0.23,0.831,127.341,231027,4,31.0046,10
Empty Garden (Hey Hey Johnny),Elton John,spotify:track:2pbmRBjiVO0afrPVReZiFb,0.662,0.329,4,-14.374,1,0.0293,0.0853,0,0.223,0.239,109.404,310933,4,47.24671,13
I Love You,Stacey Q,spotify:track:2uIipcTChwwZTFFsx9wiv9,0.73,0.405,9,-15.668,0,0.039,0.0615,5.33e-05,0.0892,0.962,132.433,248773,4,30.13338,12
I'm Not the Man I Used to Be,Fine Young Cannibals,spotify:track:0ce4Ru8pHOZKijojglD4JS,0.811,0.629,7,-12.571,0,0.0363,0.206,0.161,0.0564,0.867,110.42,258867,4,44.82217,12
Touch of Grey - 2013 Remaster,Grateful Dead,spotify:track:0mJQlCl9YgxW7kyeltNiVk
2000 Light Years from Home,The Danse Society,spotify:track:3b8hEmlGACGbjX2ykvRtCa,0.467,0.907,2,-8.775,0,0.0866,0.0229,0.227,0.0682,0.299,121.95,241106,4,38.43952,11
For Whom The Bell Tolls,Metallica,spotify:track:4hOohf45f0JtxYKNsEAIOV,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846,309933,4,74.48216,10
