Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
The Last In Line	Dio	spotify:track:1V0p6CzMVJPtAPpJPA2O6d	0.44	0.68	9	-12.169	0	0.0485	0.000804	0.397	0.0844	0.611	86.935	340360	4	31.38154	9	0
Another One Bites The Dust	Queen	spotify:track:6bGfLXep8L61VFcIHDCRb0	0.933	0.463	5	-9.338	0	0.152	0.0938	0.28	0.121	0.765	109.886	218200	4	38.12491	11	0
Is It All Over My Face? - Female Version	Loose Joints	spotify:track:2Qh9MsIYs02rHeG12watCV	0.715	0.677	6	-7.828	0	0.134	0.00435	0.444	0.0811	0.822	120.104	428000	4	21.018	15	0
Disorientation	Robert Sharples	spotify:track:3EQ7rfR2KSWzSAwRHFHmGc	0.338	0.0584	11	-28.312	1	0.0434	0.988	0.945	0.0917	0.0395	80.161	197732	4	27.0043	9	0
Woman of the World - Long Instrumental Version	Double	spotify:track:6v8GMlArKwUBnj1nb00eym	0.776	0.345	0	-17.542	1	0.0875	0.0219	0.876	0.0781	0.767	111.2	279944	4	30.20431	16	0
Angel Eyes	The Jeff Healey Band	spotify:track:3gDtrR0W8CmkyS6mweesSS	0.536	0.571	0	-6.879	1	0.0278	0.355	0	0.0595	0.397	126.909	280933	4	34.20599	14	1
Sweet And Sexy Thing - 12" Extended Mix	Rick James	spotify:track:5lu8maIHYBzgSqHbOdqWWU	0.856	0.502	2	-9.928	1	0.0484	0.00757	0.292	0.168	0.341	116.93	546587	4	23.65339	24	0
Black Sun	Loop	spotify:track:5xQaWdkc5wKoEiNXRKoqAY	0.294	0.937	0	-8.378	1	0.0742	0.000242	0.841	0.111	0.0876	145.251	313533	4	38.07306	14	0
Piece By Piece	Slayer	spotify:track:4S4wP2qMvJY69mdyr1WwZI	0.464	0.997	6	-4.332	1	0.0929	0.000182	0.0701	0.304	0.0849	109.842	122560	4	21.61735	8	0
I Want To Walk You Home	Fats Domino	spotify:track:0bnzRp6ghPlYV9lCubDtDA	0.631	0.514	1	-10.017	1	0.0308	0.592	0	0.122	0.896	88.731	143933	4	29.14167	7	0
