Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Mr. Bumble,Sunforest,spotify:track:5TJjLoQ5v0mGuYDlo3MxDL,0.628,0.141,5,-17.166,0,0.0512,0.993,0.626,0.11,0.639,122.944,109467,4,27.81455,6
That Kind of Livin',Gram Parsons,spotify:track:5xhiZTx1xwcrhgJ7MdRleS,0.459,0.393,2,-13.157,1,0.0648,0.889,0.275,0.0959,0.58,165.697,119520,4,28.63446,9
Multiplication,Eric Gale,spotify:track:2tW4cVrTLbT181PjJZkwfk,0.686,0.56,1,-13.205,1,0.0285,0.0648,0.683,0.0332,0.764,107.344,319600,4,40.87484,11
Cajun Baby,Living Voices,spotify:track:0u5XBxnvRSLpKb26jzDJaq,0.541,0.718,0,-5.546,1,0.0308,0.226,0,0.164,0.942,138.293,160653,4,18.52373,8
Between the Lines,Flamin' Groovies,spotify:track:4THASECp2TRAyMCDyfp4ac,0.347,0.937,9,-8.489,1,0.0983,0.0109,0.809,0.614,0.398,140.453,229200,4,53.99506,10
Hot Sand,Shocking Blue,spotify:track:5tXD2O9wWPnWghbrWSltsD,0.54,0.888,9,-4.135,0,0.0764,0.35,0,0.357,0.721,129.435,156733,4,28.75586,7
Baba O'Riley - Remix,The Who,spotify:track:0TzCim4sBQZ9N0AAG25lOM,0.404,0.589,5,-11.131,1,0.0396,0.364,0.0512,0.196,0.129,117.952,308693,4,58.63726,11
A Day Like Today,Irish Coffee,spotify:track:7JPtFfcRXbTNSAwgdHrHo4,0.411,0.764,4,-8.77,0,0.341,0.104,0.0274,0.0966,0.224,129.909,414209,4,23.16007,22
Live In Me,Rufus & Chaka Khan,spotify:track:5PmfFUaNTDqUnhiaOB4omT,0.714,0.467,10,-15.068,0,0.0326,0.112,2.99e-05,0.116,0.805,107.047,234773,4,45.67315,10
Between The Worlds - Single Version, 2019 Remaster,Be Bop Deluxe,spotify:track:1CqlgryPoPlDHLgeyrkemq,0.405,0.661,9,-9.108,0,0.0363,0.133,0.00409,0.193,0.529,138.384,199173,4,18.5534,10
Feelin' Alright - Live at Universal Amphitheater, Los Angeles, CA - 1975,Dave Mason,spotify:track:1EpNicLvl0fmssAOAxBIfW,0.586,0.886,0,-8.779,1,0.0496,0.035,0.00178,0.103,0.834,106.536,381760,4,57.36099,15
Stay Still,Ronnie Laws,spotify:track:6x8lPxzvMISY1OmFoGDXWn,0.404,0.538,7,-8.546,0,0.0327,0.231,0.352,0.533,0.44,125.612,444267,4,48.35938,15
Sunday's Best,Elvis Costello & The Attractions,spotify:track:0IhFcpQCNgJ583F6hTRYNK,0.668,0.596,2,-10.108,1,0.0254,0.0906,0,0.0953,0.767,95.383,202320,3,30.05185,11
Oh Mommy - Live,Brewer & Shipley,spotify:track:37svm7F6UtXIXW2gYmeuGQ,0.525,0.497,7,-12.466,1,0.0618,0.774,0.000148,0.725,0.535,135.962,216373,4,33.62106,11
First,Ugo Fusco,spotify:track:6asVQz0CLh35jiKPQeqQ7T,0.68,0.501,10,-14.399,1,0.0377,0.658,0.804,0.261,0.831,105.014,129235,4,30.49035,6
Baby I'll Give It To You - Live,Seals and Crofts,spotify:track:2NLa7NKElfMjctOtgYkDEw,0.54,0.624,8,-13.04,1,0.134,0.045,0,0.258,0.668,166.858,194907,4,24.60763,11
